"요일별보고서(2025.06.01.~2025.06.30.),sms59316:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,15,0.59,2.4,366,"5,489",0,0
"월요일",01시~02시,6,0.51,2.5,138,825,0,0
"월요일",02시~03시,3,0.4,2.6,532,"1,595",0,0
"월요일",03시~04시,4,0.87,2.6,239,957,0,0
"월요일",04시~05시,3,0.82,2.7,84,253,0,0
"월요일",05시~06시,8,1.45,2.3,279,"2,233",0,0
"월요일",06시~07시,5,0.56,2.6,537,"2,684",0,0
"월요일",07시~08시,15,0.87,2.5,299,"4,488",0,0
"월요일",08시~09시,8,0.31,2.6,461,"3,685",0,0
"월요일",09시~10시,8,0.29,3.1,367,"2,937",0,0
"월요일",10시~11시,22,0.66,3.1,337,"7,403",0,0
"월요일",11시~12시,16,0.48,3.1,452,"7,238",0,0
"월요일",12시~13시,17,0.56,2.9,421,"7,161",0,0
"월요일",13시~14시,19,0.5,3,316,"5,995",0,0
"월요일",14시~15시,22,0.57,3.1,307,"6,743",0,0
"월요일",15시~16시,20,0.5,3,372,"7,436",0,0
"월요일",16시~17시,21,0.54,3,327,"6,875",0,0
"월요일",17시~18시,24,0.71,2.8,281,"6,754",0,0
"월요일",18시~19시,7,0.28,2.7,509,"3,564",0,0
"월요일",19시~20시,22,0.97,2.5,336,"7,392",0,0
"월요일",20시~21시,21,0.93,2.7,320,"6,710",0,0
"월요일",21시~22시,17,0.56,2.5,357,"6,061",0,0
"월요일",22시~23시,20,0.61,2.5,278,"5,555",0,0
"월요일",23시~00시,20,0.66,2.4,245,"4,906",0,0
"화요일",00시~01시,13,0.77,2.4,316,"4,114",0,0
"화요일",01시~02시,0,0,2.5,0,0,0,0
"화요일",02시~03시,7,1.24,2.6,336,"2,354",0,0
"화요일",03시~04시,0,0,2.6,0,0,0,0
"화요일",04시~05시,5,1.22,2.6,310,"1,551",0,0
"화요일",05시~06시,1,0.22,2.4,99,99,0,0
"화요일",06시~07시,6,0.85,2.4,482,"2,893",0,0
"화요일",07시~08시,9,0.72,2.5,599,"5,390",0,0
"화요일",08시~09시,7,0.38,2.7,398,"2,783",0,0
"화요일",09시~10시,13,0.73,3.1,296,"3,850",0,0
"화요일",10시~11시,17,0.76,3.2,285,"4,851",0,0
"화요일",11시~12시,16,0.75,3.2,456,"7,293",0,0
"화요일",12시~13시,16,0.89,3.2,259,"4,136",0,0
"화요일",13시~14시,12,0.5,3.2,246,"2,948",0,0
"화요일",14시~15시,22,0.87,3.1,302,"6,644",0,0
"화요일",15시~16시,20,0.79,3.2,490,"9,790",0,0
"화요일",16시~17시,17,0.67,3.2,400,"6,798",0,0
"화요일",17시~18시,23,1.02,3,353,"8,129",0,0
"화요일",18시~19시,14,0.84,2.7,354,"4,950",0,0
"화요일",19시~20시,15,1.04,2.8,282,"4,235",0,0
"화요일",20시~21시,7,0.47,2.7,448,"3,135",0,0
