"요일별보고서(2025.06.01.~2025.06.30.),sooppeu:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,3,0.24,4.7,323,968,0,0
"월요일",01시~02시,1,0.19,4.6,451,451,0,0
"월요일",02시~03시,1,0.15,7.4,"1,573","1,573",0,0
"월요일",03시~04시,0,0,4.5,0,0,0,0
"월요일",04시~05시,0,0,6.3,0,0,0,0
"월요일",05시~06시,1,0.24,3,418,418,0,0
"월요일",06시~07시,0,0,3.2,0,0,0,0
"월요일",07시~08시,0,0,3.3,0,0,0,0
"월요일",08시~09시,2,0.54,3.9,"1,232","2,464",0,0
"월요일",09시~10시,4,0.89,4.2,748,"2,992",0,0
"월요일",10시~11시,12,3.21,4.2,815,"9,779",0,0
"월요일",11시~12시,9,2.41,4.4,"1,216","10,945",1,"26,500"
"월요일",12시~13시,8,2.12,3.9,"1,023","8,184",0,0
"월요일",13시~14시,7,1.38,4.3,900,"6,303",1,"732,500"
"월요일",14시~15시,5,1.09,7.1,832,"4,158",0,0
"월요일",15시~16시,8,2.4,3.8,"1,165","9,317",1,"276,000"
"월요일",16시~17시,11,2.77,6.3,984,"10,824",0,0
"월요일",17시~18시,7,1.29,3.4,"1,265","8,855",0,0
"월요일",18시~19시,6,1.64,3.1,798,"4,785",0,0
"월요일",19시~20시,1,0.32,2.7,"1,540","1,540",0,0
"월요일",20시~21시,3,0.68,3.3,462,"1,386",0,0
"월요일",21시~22시,0,0,3,0,0,0,0
"월요일",22시~23시,3,0.33,5.9,759,"2,277",0,0
"월요일",23시~00시,1,0.15,5.7,242,242,0,0
"화요일",00시~01시,0,0,5.3,0,0,0,0
"화요일",01시~02시,3,1.97,2.9,"1,159","3,476",0,0
"화요일",02시~03시,0,0,4.9,0,0,0,0
"화요일",03시~04시,1,1.73,4.1,55,55,0,0
"화요일",04시~05시,1,1.73,3.3,352,352,0,0
"화요일",05시~06시,0,0,2.1,0,0,0,0
"화요일",06시~07시,0,0,2.2,0,0,0,0
"화요일",07시~08시,0,0,3.5,0,0,0,0
"화요일",08시~09시,3,2.26,3.8,851,"2,552",0,0
"화요일",09시~10시,5,1.86,4.3,"1,060","5,302",0,0
"화요일",10시~11시,3,2.19,3.7,792,"2,376",0,0
"화요일",11시~12시,4,2.3,3.3,"1,339","5,357",0,0
"화요일",12시~13시,2,1.2,3,930,"1,859",0,0
"화요일",13시~14시,5,3.13,4.5,933,"4,664",0,0
"화요일",14시~15시,6,2.82,4.1,502,"3,014",0,0
"화요일",15시~16시,5,2.66,4.1,911,"4,554",0,0
"화요일",16시~17시,5,1.82,8.3,627,"3,135",0,0
"화요일",17시~18시,8,2.23,3.5,975,"7,799",0,0
"화요일",18시~19시,4,1.36,3.7,"1,056","4,224",0,0
"화요일",19시~20시,1,0.29,3.4,385,385,0,0
"화요일",20시~21시,3,0.44,4.2,"1,140","3,421",0,0
"화요일",21시~22시,2,0.22,8.1,270,539,0,0
"화요일",22시~23시,2,0.33,7.9,"1,282","2,563",0,0
"화요일",23시~00시,1,0.18,7.4,429,429,0,0
"수요일",00시~01시,1,0.18,8.7,"1,474","1,474",0,0
"수요일",01시~02시,1,0.47,10.1,473,473,0,0
"수요일",02시~03시,0,0,7.6,0,0,0,0
"수요일",03시~04시,0,0,5.7,0,0,0,0
"수요일",04시~05시,0,0,6.8,0,0,0,0
"수요일",05시~06시,1,0.82,6.1,88,88,0,0
"수요일",06시~07시,3,3.07,2.8,847,"2,541",0,0
"수요일",07시~08시,1,0.64,4.1,693,693,0,0
"수요일",08시~09시,3,2.18,3.6,708,"2,123",0,0
"수요일",09시~10시,5,2.28,4.7,816,"4,081",0,0
"수요일",10시~11시,5,1.63,4.6,983,"4,917",0,0
"수요일",11시~12시,3,1.24,7.4,715,"2,145",0,0
"수요일",12시~13시,2,0.96,5,"1,029","2,057",0,0
"수요일",13시~14시,4,1.48,3.7,"1,205","4,818",0,0
"수요일",14시~15시,11,4.44,5.5,936,"10,296",0,0
"수요일",15시~16시,6,1.91,4.4,667,"4,004",0,0
"수요일",16시~17시,9,2.91,5.4,572,"5,148",1,"192,000"
"수요일",17시~18시,8,2.12,3.8,967,"7,733",0,0
