"요일별보고서(2025.06.01.~2025.06.30.),thesicdang:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,78,0.98,1.7,479,"37,400",0,0
"월요일",01시~02시,39,0.89,2.2,582,"22,704",0,0
"월요일",02시~03시,28,0.97,2.1,512,"14,333",0,0
"월요일",03시~04시,16,0.85,2,584,"9,339",0,0
"월요일",04시~05시,15,0.95,1.9,524,"7,854",0,0
"월요일",05시~06시,19,1.09,1.9,666,"12,661",0,0
"월요일",06시~07시,24,0.81,2,661,"15,873",0,0
"월요일",07시~08시,47,0.94,2,658,"30,932",0,0
"월요일",08시~09시,77,0.8,2.1,549,"42,295",0,0
"월요일",09시~10시,100,0.66,2.3,588,"58,773",0,0
"월요일",10시~11시,160,0.86,2.3,686,"109,703",0,0
"월요일",11시~12시,180,1.01,2.4,652,"117,359",0,0
"월요일",12시~13시,112,0.72,2.4,652,"73,040",0,0
"월요일",13시~14시,110,0.6,2.3,710,"78,045",0,0
"월요일",14시~15시,120,0.7,2.2,625,"74,943",0,0
"월요일",15시~16시,109,0.62,2.3,654,"71,269",0,0
"월요일",16시~17시,128,0.79,2.4,660,"84,502",0,0
"월요일",17시~18시,130,0.81,2.4,605,"78,595",0,0
"월요일",18시~19시,111,0.76,2.6,630,"69,905",0,0
"월요일",19시~20시,104,0.76,2.6,577,"60,049",0,0
"월요일",20시~21시,112,0.7,2.4,555,"62,128",0,0
"월요일",21시~22시,206,1.03,1.9,562,"115,753",0,0
"월요일",22시~23시,141,1.04,1.6,563,"79,354",0,0
"월요일",23시~00시,63,0.98,1.5,568,"35,761",0,0
"화요일",00시~01시,34,0.74,1.8,719,"24,453",0,0
"화요일",01시~02시,32,0.77,2.2,561,"17,952",0,0
"화요일",02시~03시,23,0.84,2.1,606,"13,948",0,0
"화요일",03시~04시,9,0.55,1.9,550,"4,950",0,0
"화요일",04시~05시,16,1.15,1.8,603,"9,647",0,0
"화요일",05시~06시,16,0.9,1.9,629,"10,065",0,0
"화요일",06시~07시,29,0.96,1.9,556,"16,115",0,0
"화요일",07시~08시,53,1.11,2.1,593,"31,405",0,0
"화요일",08시~09시,70,0.95,2.2,561,"39,237",0,0
"화요일",09시~10시,97,0.95,2.4,626,"60,742",0,0
"화요일",10시~11시,123,1.07,2.3,607,"74,635",0,0
"화요일",11시~12시,157,1.55,2.4,711,"111,606",0,0
"화요일",12시~13시,89,1.12,2.5,628,"55,913",0,0
"화요일",13시~14시,92,1.02,2.4,698,"64,240",0,0
"화요일",14시~15시,79,0.98,2.3,689,"54,461",0,0
"화요일",15시~16시,96,1.09,2.4,641,"61,567",0,0
"화요일",16시~17시,95,1.1,2.6,613,"58,267",0,0
"화요일",17시~18시,91,1.08,2.6,632,"57,552",0,0
"화요일",18시~19시,92,1.27,2.7,591,"54,351",0,0
"화요일",19시~20시,64,0.93,2.7,576,"36,861",0,0
"화요일",20시~21시,81,1.1,2.7,537,"43,527",0,0
"화요일",21시~22시,118,1.22,2,595,"70,202",0,0
"화요일",22시~23시,107,1.07,1.7,581,"62,128",0,0
"화요일",23시~00시,71,1.76,1.5,528,"37,499",0,0
"수요일",00시~01시,53,1.52,1.6,588,"31,141",0,0
"수요일",01시~02시,26,0.98,2.2,565,"14,685",0,0
"수요일",02시~03시,18,1.14,2.3,578,"10,395",0,0
"수요일",03시~04시,12,1.23,2.2,567,"6,798",0,0
"수요일",04시~05시,9,1.11,2.1,422,"3,795",0,0
"수요일",05시~06시,10,1.04,1.9,911,"9,108",0,0
"수요일",06시~07시,32,1.85,2,565,"18,095",0,0
"수요일",07시~08시,41,1.19,2.2,548,"22,484",0,0
