"요일별보고서(2025.06.01.~2025.06.30.),tj3174:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.76,2.3,444,444.4,0,0
"월요일",01시~02시,4,3.51,1.5,475,"1,899.15",0,0
"월요일",02시~03시,4,4.77,1.7,368,"1,471.8",0,0
"월요일",03시~04시,1,2.33,1.7,447,446.6,0,0
"월요일",04시~05시,0,0,1.4,0,10.45,0,0
"월요일",05시~06시,1,1.41,1.1,353,353.1,0,0
"월요일",06시~07시,1,0.46,1.5,416,415.8,0,0
"월요일",07시~08시,5,2.44,1.3,610,"3,048.1",0,0
"월요일",08시~09시,6,1.77,1.7,489,"2,934.25",0,0
"월요일",09시~10시,12,3.21,1.5,462,"5,549.5",0,0
"월요일",10시~11시,8,2.24,1.5,581,"4,648.6",0,0
"월요일",11시~12시,15,3.66,1.8,351,"5,265.15",0,0
"월요일",12시~13시,11,3.84,1.7,412,"4,533.65",0,0
"월요일",13시~14시,11,2.71,1.7,598,"6,573.05",0,0
"월요일",14시~15시,9,2.38,2.1,565,"5,086.95",0,0
"월요일",15시~16시,6,2.06,2.1,135,811.8,0,0
"월요일",16시~17시,6,1.46,1.9,411,"2,466.75",0,0
"월요일",17시~18시,4,1.7,2.2,465,"1,861.75",0,0
"월요일",18시~19시,1,0.57,3.3,92,92.4,0,0
"월요일",19시~20시,4,2.49,2.6,54,216.15,0,0
"월요일",20시~21시,4,2.74,2.6,305,"1,219.9",0,0
"월요일",21시~22시,2,1.11,2.4,81,161.7,0,0
"월요일",22시~23시,4,2.46,2.6,189,757.35,0,0
"월요일",23시~00시,1,0.66,3.7,87,87.45,0,0
"화요일",00시~01시,0,0,3.5,0,9.9,0,0
"화요일",01시~02시,2,4.09,3.4,235,469.15,0,0
"화요일",02시~03시,3,6.39,1.9,468,"1,404.7",0,0
"화요일",03시~04시,2,5,1.7,549,"1,097.25",0,0
"화요일",04시~05시,2,6.25,1.5,487,974.05,0,0
"화요일",05시~06시,0,0,1.5,0,9.35,0,0
"화요일",06시~07시,0,0,1.5,0,22,0,0
"화요일",07시~08시,2,1.2,1.6,475,950.4,0,0
"화요일",08시~09시,6,4.96,1.9,374,"2,244.55",0,0
"화요일",09시~10시,4,1.93,1.7,475,"1,900.8",0,0
"화요일",10시~11시,5,2.61,2.2,594,"2,968.35",0,0
"화요일",11시~12시,4,1.87,1.8,679,"2,717",0,0
"화요일",12시~13시,6,3.43,2,317,"1,900.25",0,0
"화요일",13시~14시,3,1.78,2.1,325,975.15,0,0
"화요일",14시~15시,3,1.54,2.1,453,"1,357.95",0,0
"화요일",15시~16시,7,5.7,2.5,228,"1,594.45",0,0
"화요일",16시~17시,3,1.64,3.1,248,745.25,0,0
"화요일",17시~18시,2,1.37,2.9,835,"1,669.8",0,0
"화요일",18시~19시,0,0,2,0,20.9,0,0
"화요일",19시~20시,2,2.11,2.6,39,78.1,0,0
"화요일",20시~21시,3,2.35,2.8,171,511.5,0,0
"화요일",21시~22시,2,1.99,2.6,442,883.3,0,0
"화요일",22시~23시,0,0,2.7,0,19.8,0,0
"화요일",23시~00시,3,4.17,1.9,52,154.55,0,0
"수요일",00시~01시,0,0,1.6,0,20.35,0,0
"수요일",01시~02시,1,1.54,1.9,469,468.6,0,0
"수요일",02시~03시,2,5.27,1.6,282,564.85,0,0
"수요일",03시~04시,0,0,1.3,0,4.95,0,0
"수요일",04시~05시,0,0,1.4,0,4.95,0,0
"수요일",05시~06시,1,1.7,1.3,497,497.2,0,0
"수요일",06시~07시,1,1.54,1.4,23,22.55,0,0
"수요일",07시~08시,4,3.37,1.4,351,"1,403.6",0,0
"수요일",08시~09시,5,4.77,1.7,303,"1,512.5",0,0
"수요일",09시~10시,4,2.54,1.6,271,"1,085.15",0,0
"수요일",10시~11시,2,1.08,1.8,237,474.65,0,0
"수요일",11시~12시,6,3.45,1.7,437,"2,622.4",0,0
"수요일",12시~13시,5,2.53,2,438,"2,188.45",0,0
"수요일",13시~14시,9,3.83,1.9,478,"4,299.35",0,0
"수요일",14시~15시,6,1.93,1.7,458,"2,745.05",0,0
"수요일",15시~16시,13,3.8,2.3,519,"6,751.8",0,0
"수요일",16시~17시,4,1.2,2.4,334,"1,335.4",0,0
"수요일",17시~18시,3,1.08,2.1,203,608.3,0,0
"수요일",18시~19시,3,1.36,2.3,671,"2,012.45",0,0
"수요일",19시~20시,5,2.5,2.1,462,"2,310",0,0
"수요일",20시~21시,4,1.96,1.9,440,"1,761.65",0,0
"수요일",21시~22시,4,2.02,1.7,625,"2,498.65",0,0
"수요일",22시~23시,4,2.11,1.9,369,"1,474.55",0,0
"수요일",23시~00시,2,1.27,1.9,257,514.25,0,0
"목요일",00시~01시,1,0.61,2.2,463,463.1,0,0
"목요일",01시~02시,1,1.36,1.8,491,490.6,0,0
"목요일",02시~03시,1,0.97,2.5,684,684.2,0,0
"목요일",03시~04시,1,1.45,2.8,508,508.2,0,0
"목요일",04시~05시,1,1.97,1.7,515,514.8,0,0
"목요일",05시~06시,0,0,1.6,0,21.45,0,0
"목요일",06시~07시,1,0.83,1.5,42,41.8,0,0
"목요일",07시~08시,4,2.08,1.6,369,"1,476.75",0,0
"목요일",08시~09시,6,3.18,1.8,479,"2,875.95",0,0
"목요일",09시~10시,3,1.11,1.8,343,"1,029.05",0,0
"목요일",10시~11시,5,1.66,2,713,"3,564",0,0
"목요일",11시~12시,1,0.35,2.2,531,530.75,0,0
"목요일",12시~13시,6,2.05,2.1,409,"2,456.85",0,0
"목요일",13시~14시,10,2.74,2.2,417,"4,166.25",0,0
"목요일",14시~15시,7,2.23,2.2,349,"2,444.2",0,0
"목요일",15시~16시,1,0.34,1.9,51,51.15,0,0
"목요일",16시~17시,10,2.4,2.4,663,"6,629.7",0,0
"목요일",17시~18시,7,2.04,1.9,397,"2,778.6",0,0
"목요일",18시~19시,9,3,2,397,"3,572.8",0,0
"목요일",19시~20시,3,1.3,1.9,430,"1,289.2",0,0
"목요일",20시~21시,6,2.72,2,653,"3,917.1",0,0
"목요일",21시~22시,7,2.68,2.3,473,"3,311.55",0,0
"목요일",22시~23시,6,2.65,2.2,526,"3,157.55",0,0
"목요일",23시~00시,1,0.56,2.1,41,41.25,0,0
"금요일",00시~01시,3,2.21,2.1,652,"1,957.45",0,0
"금요일",01시~02시,2,1.53,2.3,466,932.8,0,0
"금요일",02시~03시,2,2.67,2,489,978.45,0,0
"금요일",03시~04시,2,4.66,1.9,686,"1,372.25",0,0
"금요일",04시~05시,2,2.99,2.1,231,462,0,0
"금요일",05시~06시,0,0,1.7,0,15.95,0,0
"금요일",06시~07시,2,1.53,1.6,229,457.6,0,0
"금요일",07시~08시,1,0.41,1.9,480,479.6,0,0
"금요일",08시~09시,4,1.8,1.9,449,"1,796.85",0,0
"금요일",09시~10시,9,3.39,2.1,568,"5,115",0,0
"금요일",10시~11시,3,0.9,2.2,719,"2,157.65",0,0
"금요일",11시~12시,4,1.41,1.9,348,"1,393.15",0,0
"금요일",12시~13시,3,1.02,2.1,158,474.1,0,0
"금요일",13시~14시,8,2.5,2.1,329,"2,628.45",0,0
"금요일",14시~15시,7,1.64,2.2,537,"3,758.15",0,0
"금요일",15시~16시,9,2.61,2,504,"4,536.4",0,0
"금요일",16시~17시,9,2.8,1.7,501,"4,504.5",0,0
"금요일",17시~18시,5,1.57,1.7,356,"1,782",0,0
"금요일",18시~19시,11,3.82,1.8,404,"4,440.15",0,0
"금요일",19시~20시,10,3.65,1.7,433,"4,326.3",0,0
"금요일",20시~21시,10,4,2.3,359,"3,591.5",0,0
"금요일",21시~22시,3,1.73,3.2,668,"2,002.55",0,0
"금요일",22시~23시,4,2.71,2.6,275,"1,101.65",0,0
"금요일",23시~00시,1,0.91,3.5,88,88,0,0
"토요일",00시~01시,3,1.87,2.8,191,574.2,0,0
"토요일",01시~02시,4,3.85,2.4,365,"1,458.05",0,0
"토요일",02시~03시,4,3.13,2.4,475,"1,901.9",0,0
"토요일",03시~04시,0,0,2.4,0,9.35,0,0
"토요일",04시~05시,1,1.5,1.9,485,484.55,0,0
"토요일",05시~06시,1,1.76,1.4,446,446.05,0,0
"토요일",06시~07시,0,0,2,0,28.05,0,0
"토요일",07시~08시,3,1.4,1.9,338,"1,014.2",0,0
"토요일",08시~09시,8,2.39,2.1,543,"4,346.1",0,0
"토요일",09시~10시,20,4.51,2,505,"10,091.95",0,0
