"요일별보고서(2025.06.01.~2025.06.30.),youngah0201:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,5,0.71,2.6,89,446.6,0,0
"월요일",01시~02시,3,0.78,2.6,96,287.65,0,0
"월요일",02시~03시,1,0.37,3.2,95,94.6,0,0
"월요일",03시~04시,5,1.94,2.9,100,497.75,0,0
"월요일",04시~05시,1,0.41,2.9,98,98.45,0,0
"월요일",05시~06시,1,0.25,2.1,164,163.9,0,0
"월요일",06시~07시,2,0.3,1.9,81,161.15,0,0
"월요일",07시~08시,5,0.59,1.9,81,404.8,0,0
"월요일",08시~09시,6,0.64,2.3,109,652.3,0,0
"월요일",09시~10시,10,0.84,2.8,79,788.15,0,0
"월요일",10시~11시,13,0.93,2.9,100,"1,296.9",0,0
"월요일",11시~12시,22,1.35,3,90,"1,980.55",0,0
"월요일",12시~13시,19,1.27,2.7,83,"1,582.35",0,0
"월요일",13시~14시,7,0.49,2.7,100,702.35,0,0
"월요일",14시~15시,14,0.89,2.9,90,"1,266.65",0,0
"월요일",15시~16시,21,1.14,2.8,92,"1,936",0,0
"월요일",16시~17시,10,0.55,3.1,96,959.2,0,0
"월요일",17시~18시,16,0.83,2.9,98,"1,563.1",0,0
"월요일",18시~19시,16,0.93,2.8,91,"1,453.1",0,0
"월요일",19시~20시,11,0.63,2.6,96,"1,057.1",0,0
"월요일",20시~21시,11,0.7,2.7,97,"1,065.35",0,0
"월요일",21시~22시,8,0.52,2.6,108,867.9,0,0
"월요일",22시~23시,12,0.79,2.9,81,969.65,0,0
"월요일",23시~00시,7,0.6,2.9,107,746.9,0,0
"화요일",00시~01시,5,0.64,3,86,429,0,0
"화요일",01시~02시,1,0.26,3,110,110,0,0
"화요일",02시~03시,4,1.42,3,99,394.35,0,0
"화요일",03시~04시,5,2.24,3.3,100,497.75,0,0
"화요일",04시~05시,2,0.83,2.8,101,202.95,0,0
"화요일",05시~06시,2,0.49,2.4,110,220,0,0
"화요일",06시~07시,6,0.88,2.1,110,661.1,0,0
"화요일",07시~08시,0,0,2,0,92.95,0,0
"화요일",08시~09시,16,1,2.9,85,"1,365.1",0,0
"화요일",09시~10시,10,0.85,2.6,99,987.8,0,0
"화요일",10시~11시,15,1.16,2.7,83,"1,248.5",0,0
"화요일",11시~12시,16,0.98,2.6,92,"1,471.8",0,0
"화요일",12시~13시,8,0.51,2.6,98,780.45,0,0
"화요일",13시~14시,14,0.82,2.7,94,"1,310.1",0,0
"화요일",14시~15시,9,0.64,2.7,94,844.25,0,0
"화요일",15시~16시,11,0.69,2.8,100,"1,100",0,0
"화요일",16시~17시,16,0.93,2.9,78,"1,255.65",0,0
"화요일",17시~18시,23,1.15,2.9,81,"1,873.85",0,0
"화요일",18시~19시,10,0.58,2.8,113,"1,125.3",0,0
"화요일",19시~20시,21,1.34,2.7,91,"1,920.6",0,0
"화요일",20시~21시,11,0.89,2.5,100,"1,095.05",0,0
"화요일",21시~22시,15,1.08,2.6,86,"1,295.8",0,0
"화요일",22시~23시,8,0.67,2.8,94,752.95,0,0
"화요일",23시~00시,6,0.56,2.7,119,715.55,0,0
"수요일",00시~01시,3,0.46,2.8,91,274.45,0,0
"수요일",01시~02시,4,1.06,2.8,84,334.95,0,0
"수요일",02시~03시,2,0.74,2.9,105,209.55,0,0
"수요일",03시~04시,3,1.08,3.1,132,397.1,0,0
"수요일",04시~05시,1,0.38,2.4,36,35.75,0,0
"수요일",05시~06시,3,0.7,2.2,122,365.2,0,0
"수요일",06시~07시,4,0.73,2.1,90,358.05,0,0
"수요일",07시~08시,4,0.58,2,144,576.4,0,0
"수요일",08시~09시,3,0.36,2.4,107,320.1,0,0
"수요일",09시~10시,5,0.49,2.7,123,616,0,0
"수요일",10시~11시,12,0.93,2.8,91,"1,094.5",0,0
"수요일",11시~12시,14,0.9,3,89,"1,247.4",0,0
"수요일",12시~13시,9,0.67,2.6,89,803,0,0
"수요일",13시~14시,13,0.99,2.8,93,"1,207.25",0,0
"수요일",14시~15시,12,0.88,2.9,105,"1,255.65",0,0
"수요일",15시~16시,13,0.83,3,100,"1,302.95",0,0
"수요일",16시~17시,17,1.05,3,95,"1,623.05",0,0
"수요일",17시~18시,10,0.6,2.8,86,859.65,0,0
"수요일",18시~19시,12,0.8,2.8,102,"1,228.15",0,0
"수요일",19시~20시,21,1.44,2.7,96,"2,012.45",0,0
"수요일",20시~21시,13,0.96,2.6,77,994.95,0,0
"수요일",21시~22시,13,0.89,2.5,86,"1,124.2",0,0
"수요일",22시~23시,17,1.27,2.6,86,"1,453.65",0,0
"수요일",23시~00시,7,0.58,2.8,95,666.6,0,0
"목요일",00시~01시,3,0.43,2.7,109,326.7,0,0
"목요일",01시~02시,5,1.18,3.1,84,421.3,0,0
"목요일",02시~03시,3,1.02,3.2,106,316.8,0,0
"목요일",03시~04시,2,0.8,2.9,91,182.6,0,0
"목요일",04시~05시,1,0.37,3.1,145,145.2,0,0
"목요일",05시~06시,8,1.81,2.3,102,816.75,0,0
"목요일",06시~07시,8,1.37,2.1,105,839.3,0,0
"목요일",07시~08시,11,1.45,2.1,100,"1,098.9",0,0
"목요일",08시~09시,4,0.44,2.6,103,411.4,0,0
"목요일",09시~10시,10,0.86,2.8,106,"1,064.8",0,0
"목요일",10시~11시,15,1.03,3.1,67,999.35,0,0
"목요일",11시~12시,18,1.14,2.9,86,"1,542.2",0,0
"목요일",12시~13시,15,1.1,2.6,81,"1,211.65",0,0
"목요일",13시~14시,9,0.66,2.9,69,622.6,0,0
"목요일",14시~15시,8,0.58,2.8,101,811.25,0,0
"목요일",15시~16시,13,0.82,3,104,"1,350.8",0,0
"목요일",16시~17시,15,0.81,2.9,90,"1,349.7",0,0
"목요일",17시~18시,20,1.08,2.9,89,"1,784.2",0,0
"목요일",18시~19시,17,1.04,2.9,90,"1,522.95",0,0
"목요일",19시~20시,14,0.97,2.7,93,"1,295.8",0,0
"목요일",20시~21시,9,0.6,2.6,94,850.3,0,0
"목요일",21시~22시,17,1.11,2.6,90,"1,533.95",0,0
"목요일",22시~23시,17,1.07,2.8,92,"1,557.05",0,0
"목요일",23시~00시,10,0.82,2.7,83,826.65,0,0
"금요일",00시~01시,7,0.9,3,100,699.05,0,0
"금요일",01시~02시,4,1.14,3,110,439.45,0,0
"금요일",02시~03시,2,0.84,2.7,48,96.8,0,0
"금요일",03시~04시,1,0.47,3,100,100.1,0,0
"금요일",04시~05시,3,1.34,2.1,66,197.45,0,0
"금요일",05시~06시,4,1.08,2.5,111,445.5,0,0
"금요일",06시~07시,3,0.54,2.1,74,222.75,0,0
"금요일",07시~08시,5,0.76,2,92,462,0,0
"금요일",08시~09시,7,0.78,2.2,119,835.45,0,0
"금요일",09시~10시,13,1.2,2.6,93,"1,211.65",0,0
"금요일",10시~11시,17,1.25,2.6,88,"1,490.5",0,0
"금요일",11시~12시,22,1.48,2.5,96,"2,105.95",0,0
"금요일",12시~13시,19,1.4,2.4,85,"1,618.65",0,0
"금요일",13시~14시,15,1.21,2.5,87,"1,302.4",0,0
"금요일",14시~15시,15,1.19,2.7,96,"1,439.35",0,0
"금요일",15시~16시,10,0.79,2.7,85,854.15,0,0
"금요일",16시~17시,13,0.89,2.8,94,"1,225.95",0,0
"금요일",17시~18시,27,1.65,2.6,94,"2,536.6",0,0
"금요일",18시~19시,24,1.5,2.4,88,"2,117.5",0,0
"금요일",19시~20시,16,1.05,2.4,94,"1,509.2",0,0
"금요일",20시~21시,22,1.61,2.5,89,"1,958",0,0
"금요일",21시~22시,10,0.78,2.6,91,908.05,0,0
"금요일",22시~23시,7,0.61,2.6,94,658.35,0,0
"금요일",23시~00시,5,0.55,2.8,99,495.55,0,0
"토요일",00시~01시,4,0.55,2.6,102,407,0,0
"토요일",01시~02시,2,0.59,2.5,55,109.45,0,0
"토요일",02시~03시,0,0,2.9,0,26.4,0,0
"토요일",03시~04시,3,1.57,2.5,109,326.15,0,0
"토요일",04시~05시,1,0.42,2.3,97,97.35,0,0
"토요일",05시~06시,4,0.93,2.3,77,309.65,0,0
"토요일",06시~07시,4,0.71,2.1,80,320.65,0,0
"토요일",07시~08시,16,2.09,2.1,94,"1,501.5",0,0
"토요일",08시~09시,6,0.68,2.1,93,558.8,0,0
"토요일",09시~10시,10,0.9,2.4,85,846.45,0,0
"토요일",10시~11시,16,1.27,2.4,82,"1,316.15",0,0
"토요일",11시~12시,21,1.47,2.6,83,"1,751.2",0,0
"토요일",12시~13시,8,0.59,2.6,84,674.3,0,0
"토요일",13시~14시,21,1.4,2.6,94,"1,984.4",0,0
"토요일",14시~15시,23,1.74,2.6,80,"1,830.4",0,0
"토요일",15시~16시,17,1.23,2.7,87,"1,482.8",0,0
"토요일",16시~17시,27,1.68,2.7,85,"2,299",0,0
"토요일",17시~18시,29,1.68,2.6,83,"2,411.75",0,0
"토요일",18시~19시,26,1.47,2.6,82,"2,137.85",0,0
"토요일",19시~20시,16,1.07,2.5,92,"1,472.9",0,0
"토요일",20시~21시,5,0.38,2.7,101,505.45,0,0
"토요일",21시~22시,4,0.33,2.6,99,397.1,0,0
"토요일",22시~23시,9,0.82,2.7,92,825.55,0,0
"토요일",23시~00시,9,0.86,2.9,92,825,0,0
"일요일",00시~01시,7,0.78,2.6,85,595.1,0,0
"일요일",01시~02시,6,1.2,2.9,94,561.55,0,0
"일요일",02시~03시,4,1.21,3.2,105,419.65,0,0
"일요일",03시~04시,2,0.98,3,90,180.95,0,0
"일요일",04시~05시,1,0.4,2.5,101,101.2,0,0
"일요일",05시~06시,8,1.87,2.5,95,762.85,0,0
"일요일",06시~07시,13,2.21,2.1,76,982.85,0,0
"일요일",07시~08시,11,1.45,2.4,95,"1,041.15",0,0
"일요일",08시~09시,18,1.7,2.4,92,"1,652.2",0,0
"일요일",09시~10시,17,1.34,2.6,90,"1,530.65",0,0
"일요일",10시~11시,21,1.29,2.6,93,"1,954.7",0,0
"일요일",11시~12시,21,1.19,2.6,85,"1,776.5",0,0
"일요일",12시~13시,23,1.24,2.5,90,"2,075.15",0,0
"일요일",13시~14시,25,1.44,2.6,88,"2,202.75",0,0
"일요일",14시~15시,17,1.09,2.6,89,"1,509.2",0,0
"일요일",15시~16시,11,0.67,2.7,96,"1,057.1",0,0
"일요일",16시~17시,12,0.71,2.7,89,"1,062.6",0,0
"일요일",17시~18시,30,1.53,2.6,87,"2,607.55",0,0
"일요일",18시~19시,19,0.99,2.7,84,"1,593.35",0,0
"일요일",19시~20시,16,0.79,2.7,88,"1,414.6",0,0
"일요일",20시~21시,12,0.55,2.8,89,"1,068.1",0,0
"일요일",21시~22시,13,0.64,2.6,99,"1,282.6",0,0
"일요일",22시~23시,11,0.65,2.6,87,961.4,0,0
"일요일",23시~00시,9,0.68,2.7,88,793.65,0,0
