"일별보고서(2025.03.31.~2025.06.30.),1zari2204:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,731,3,0.42,"1,749","5,247",0,0
2025.03.31.,모바일,789,21,2.67,"1,179","24,750",0,0
2025.04.01.,PC,741,3,0.41,"1,192","3,575",0,0
2025.04.01.,모바일,746,19,2.55,"1,084","20,592",0,0
2025.04.02.,PC,839,4,0.48,"1,114","4,455",0,0
2025.04.02.,모바일,747,15,2.01,"1,159","17,391",0,0
2025.04.03.,PC,304,0,0,0,0,0,0
2025.04.03.,모바일,289,8,2.77,"1,334","10,670",0,0
2025.04.04.,모바일,1,0,0,0,0,0,0
2025.04.06.,PC,196,1,0.52,682,682,0,0
2025.04.06.,모바일,223,4,1.8,"1,084","4,334",0,0
2025.04.07.,PC,782,3,0.39,"1,408","4,224",0,0
2025.04.07.,모바일,850,11,1.3,"1,523","16,753",0,0
2025.04.08.,PC,746,0,0,0,0,0,0
2025.04.08.,모바일,740,9,1.22,"1,360","12,243",0,0
2025.04.09.,PC,743,5,0.68,"1,098","5,489",0,0
2025.04.09.,모바일,"1,380",14,1.02,"1,142","15,994",0,0
2025.04.10.,PC,781,4,0.52,"1,051","4,202",0,0
2025.04.10.,모바일,838,8,0.96,"1,211","9,691",0,0
2025.04.11.,PC,744,3,0.41,928,"2,783",0,0
2025.04.11.,모바일,655,14,2.14,"1,270","17,776",0,0
2025.04.12.,PC,239,0,0,0,0,0,0
2025.04.12.,모바일,248,4,1.62,"1,548","6,193",0,0
2025.04.13.,PC,50,0,0,0,0,0,0
2025.04.13.,모바일,51,1,1.97,77,77,0,0
2025.04.14.,PC,767,4,0.53,"1,295","5,181",0,0
2025.04.14.,모바일,850,10,1.18,"1,625","16,247",0,0
2025.04.15.,PC,585,3,0.52,"1,041","3,124",0,0
2025.04.15.,모바일,595,20,3.37,"1,181","23,628",0,0
2025.04.16.,PC,715,3,0.42,198,594,0,0
2025.04.16.,모바일,668,10,1.5,"1,526","15,257",0,0
2025.04.17.,PC,574,4,0.7,693,"2,772",0,0
2025.04.17.,모바일,558,10,1.8,"1,555","15,554",0,0
2025.04.18.,PC,266,2,0.76,"1,089","2,178",0,0
2025.04.18.,모바일,436,22,5.05,"1,029","22,627",0,0
2025.04.19.,PC,427,4,0.94,814,"3,256",0,0
2025.04.19.,모바일,525,8,1.53,"1,724","13,794",0,0
2025.04.20.,PC,382,0,0,0,0,0,0
2025.04.20.,모바일,499,16,3.21,"1,178","18,854",0,0
2025.04.21.,PC,527,6,1.14,838,"5,027",0,0
2025.04.21.,모바일,717,30,4.19,"1,222","36,652",0,0
2025.04.22.,PC,253,2,0.8,864,"1,727",0,0
2025.04.22.,모바일,229,8,3.5,"1,654","13,233",0,0
2025.04.23.,PC,593,5,0.85,862,"4,312",0,0
2025.04.23.,모바일,776,19,2.45,"1,461","27,753",0,0
2025.04.24.,PC,594,8,1.35,"1,207","9,658",0,0
2025.04.24.,모바일,796,18,2.27,"1,184","21,307",0,0
2025.04.25.,PC,489,3,0.62,"2,105","6,314",0,0
2025.04.25.,모바일,610,14,2.3,"2,059","28,831",0,0
2025.04.28.,PC,341,5,1.47,845,"4,224",0,0
2025.04.28.,모바일,542,9,1.67,873,"7,854",0,0
2025.04.29.,PC,741,4,0.54,649,"2,596",0,0
2025.04.29.,모바일,986,21,2.13,"1,029","21,604",0,0
2025.04.30.,PC,718,10,1.4,791,"7,909",0,0
2025.04.30.,모바일,892,21,2.36,855,"17,963",0,0
2025.05.01.,PC,608,2,0.33,"1,854","3,707",0,0
2025.05.01.,모바일,760,15,1.98,"1,453","21,802",0,0
2025.05.02.,PC,369,2,0.55,"2,376","4,752",0,0
2025.05.02.,모바일,454,13,2.87,679,"8,822",0,0
2025.05.04.,PC,163,1,0.62,77,77,0,0
2025.05.04.,모바일,230,5,2.18,"1,877","9,383",0,0
2025.05.05.,PC,526,8,1.53,"1,232","9,856",0,0
2025.05.05.,모바일,677,21,3.11,"1,259","26,433",0,0
2025.05.06.,PC,375,0,0,0,0,0,0
2025.05.06.,모바일,500,19,3.8,"2,034","38,654",0,0
2025.05.07.,PC,622,3,0.49,682,"2,046",0,0
2025.05.07.,모바일,884,26,2.95,"1,412","36,718",0,0
2025.05.08.,PC,710,3,0.43,704,"2,112",0,0
2025.05.08.,모바일,859,28,3.26,"1,030","28,853",3,0
2025.05.09.,PC,652,4,0.62,547,"2,189",0,0
2025.05.09.,모바일,763,15,1.97,849,"12,738",4,0
2025.05.10.,PC,445,1,0.23,77,77,0,0
2025.05.10.,모바일,486,9,1.86,"1,500","13,497",1,0
2025.05.11.,PC,373,3,0.81,282,847,0,0
2025.05.11.,모바일,495,12,2.43,"1,080","12,958",0,0
2025.05.12.,PC,317,2,0.64,473,946,0,0
2025.05.12.,모바일,491,22,4.49,"1,676","36,861",2,0
2025.05.13.,PC,309,2,0.65,655,"1,309",0,0
2025.05.13.,모바일,450,15,3.34,"1,305","19,580",0,0
2025.05.14.,PC,102,0,0,0,0,0,0
2025.05.14.,모바일,191,10,5.24,858,"8,580",1,0
2025.05.15.,PC,614,6,0.98,"1,067","6,402",0,0
2025.05.15.,모바일,883,23,2.61,"1,430","32,901",0,0
2025.05.16.,PC,694,3,0.44,766,"2,299",0,0
2025.05.16.,모바일,788,15,1.91,"1,148","17,215",0,0
2025.05.17.,PC,393,0,0,0,0,0,0
2025.05.17.,모바일,503,14,2.79,"1,738","24,332",3,0
2025.05.18.,PC,186,2,1.08,429,858,0,0
2025.05.18.,모바일,207,3,1.45,"1,969","5,907",0,0
2025.05.21.,PC,118,1,0.85,"1,067","1,067",0,0
2025.05.21.,모바일,154,3,1.95,"1,753","5,258",0,0
2025.05.22.,PC,613,0,0,0,0,0,0
