"일별보고서(2025.03.31.~2025.06.30.),ablegym333:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,294,4,1.37,88,352,0,0
2025.03.31.,모바일,"1,185",19,1.61,"2,288","43,472",0,0
2025.04.01.,PC,256,2,0.79,"2,574","5,148",0,0
2025.04.01.,모바일,981,19,1.94,"2,732","51,909",0,0
2025.04.02.,PC,325,3,0.93,55,165,0,0
2025.04.02.,모바일,986,12,1.22,"2,463","29,557",0,0
2025.04.03.,PC,244,3,1.23,"2,094","6,281",0,0
2025.04.03.,모바일,926,9,0.98,"2,498","22,484",0,0
2025.04.04.,PC,215,2,0.94,"2,723","5,445",0,0
2025.04.04.,모바일,740,11,1.49,"1,747","19,217",0,0
2025.04.05.,PC,125,4,3.2,"1,449","5,797",0,0
2025.04.05.,모바일,935,14,1.5,"1,905","26,664",0,0
2025.04.06.,PC,88,1,1.14,55,55,0,0
2025.04.06.,모바일,934,18,1.93,"1,528","27,500",0,0
2025.04.07.,PC,234,7,3,715,"5,005",0,0
2025.04.07.,모바일,"1,013",22,2.18,"2,224","48,917",0,0
2025.04.08.,PC,271,6,2.22,543,"3,256",0,0
2025.04.08.,모바일,835,19,2.28,"2,999","56,980",0,0
2025.04.09.,PC,271,7,2.59,"1,344","9,405",0,0
2025.04.09.,모바일,773,15,1.95,"2,339","35,079",0,0
2025.04.10.,PC,237,5,2.11,"1,995","9,977",0,0
2025.04.10.,모바일,814,12,1.48,"1,481","17,776",0,0
2025.04.11.,PC,199,3,1.51,884,"2,651",0,0
2025.04.11.,모바일,760,12,1.58,"1,721","20,647",0,0
2025.04.12.,PC,114,3,2.64,"1,866","5,599",0,0
2025.04.12.,모바일,802,9,1.13,816,"7,348",0,0
2025.04.13.,PC,83,2,2.41,66,132,0,0
2025.04.13.,모바일,831,11,1.33,"2,527","27,797",0,0
2025.04.14.,PC,270,2,0.75,"1,419","2,838",0,0
2025.04.14.,모바일,917,19,2.08,"2,022","38,412",0,0
2025.04.15.,PC,233,5,2.15,"1,430","7,150",0,0
2025.04.15.,모바일,858,17,1.99,"1,392","23,672",0,0
2025.04.16.,PC,220,3,1.37,634,"1,903",0,0
2025.04.16.,모바일,763,12,1.58,"1,845","22,143",0,0
2025.04.17.,PC,187,3,1.61,70,209,0,0
2025.04.17.,모바일,717,7,0.98,"1,790","12,529",0,0
2025.04.18.,PC,199,4,2.02,220,880,0,0
2025.04.18.,모바일,833,8,0.97,569,"4,554",0,0
2025.04.19.,PC,110,1,0.91,77,77,0,0
2025.04.19.,모바일,794,11,1.39,"1,168","12,848",0,0
2025.04.20.,PC,108,2,1.86,"1,133","2,266",0,0
2025.04.20.,모바일,973,19,1.96,"2,980","56,617",0,0
2025.04.21.,PC,272,4,1.48,930,"3,718",0,0
2025.04.21.,모바일,879,8,0.92,"2,476","19,811",0,0
2025.04.22.,PC,270,5,1.86,552,"2,761",0,0
2025.04.22.,모바일,922,12,1.31,"2,900","34,804",0,0
2025.04.23.,PC,205,4,1.96,968,"3,872",0,0
2025.04.23.,모바일,784,8,1.03,"3,567","28,534",0,0
2025.04.24.,PC,250,3,1.2,"1,104","3,311",0,0
2025.04.24.,모바일,882,10,1.14,"1,383","13,827",0,0
