"일별보고서(2025.03.31.~2025.06.30.),ablegym_33:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,427,4,0.94,"1,686","6,743",0,0
2025.03.31.,모바일,908,14,1.55,"5,484","76,780",0,0
2025.04.01.,PC,383,3,0.79,55,165,0,0
2025.04.01.,모바일,605,10,1.66,"3,224","32,241",0,0
2025.04.02.,PC,398,5,1.26,"1,041","5,203",0,0
2025.04.02.,모바일,"1,031",15,1.46,"2,930","43,945",0,0
2025.04.03.,PC,409,6,1.47,"1,938","11,627",0,0
2025.04.03.,모바일,921,11,1.2,"4,377","48,147",0,0
2025.04.04.,PC,386,1,0.26,"6,006","6,006",0,0
2025.04.04.,모바일,784,9,1.15,"9,695","87,252",0,0
2025.04.05.,PC,148,4,2.71,"1,416","5,665",0,0
2025.04.05.,모바일,"1,050",9,0.86,"2,815","25,333",0,0
2025.04.06.,PC,140,3,2.15,"1,745","5,236",0,0
2025.04.06.,모바일,"1,022",11,1.08,"5,552","61,072",0,0
2025.04.07.,PC,433,8,1.85,393,"3,146",0,0
2025.04.07.,모바일,962,14,1.46,"7,826","109,560",0,0
2025.04.08.,PC,1,0,0,0,0,0,0
2025.04.09.,PC,105,0,0,0,0,0,0
2025.04.09.,모바일,285,3,1.06,"1,111","3,333",0,0
2025.04.10.,PC,328,6,1.83,"1,786","10,714",0,0
2025.04.10.,모바일,811,15,1.85,"6,612","99,176",0,0
2025.04.11.,PC,323,3,0.93,550,"1,650",0,0
2025.04.11.,모바일,673,9,1.34,"1,415","12,738",0,0
2025.04.12.,PC,107,0,0,0,0,0,0
2025.04.12.,모바일,820,15,1.83,"4,577","68,662",0,0
2025.04.13.,PC,118,3,2.55,"2,871","8,613",0,0
2025.04.13.,모바일,871,7,0.81,330,"2,310",0,0
2025.04.14.,PC,422,9,2.14,"1,190","10,714",0,0
2025.04.14.,모바일,704,11,1.57,"5,030","55,330",0,0
2025.04.15.,PC,328,2,0.61,55,110,0,0
2025.04.15.,모바일,718,11,1.54,"2,148","23,628",0,0
2025.04.16.,PC,219,0,0,0,0,0,0
2025.04.16.,모바일,393,7,1.79,"2,849","19,943",0,0
2025.04.17.,PC,112,1,0.9,"1,760","1,760",0,0
2025.04.17.,모바일,334,4,1.2,"5,519","22,077",0,0
2025.04.18.,PC,249,2,0.81,"1,887","3,773",0,0
2025.04.18.,모바일,504,7,1.39,"7,549","52,844",0,0
2025.04.19.,PC,89,1,1.13,"5,049","5,049",0,0
2025.04.19.,모바일,628,5,0.8,"6,083","30,415",0,0
2025.04.20.,PC,69,0,0,0,0,0,0
2025.04.20.,모바일,571,6,1.06,"6,607","39,644",0,0
2025.04.21.,PC,253,3,1.19,"1,995","5,984",0,0
2025.04.21.,모바일,676,8,1.19,"1,955","15,642",0,0
2025.04.22.,PC,325,2,0.62,534,"1,067",0,0
2025.04.22.,모바일,621,5,0.81,"6,994","34,969",0,0
2025.04.23.,PC,267,4,1.5,"1,782","7,128",0,0
2025.04.23.,모바일,674,12,1.79,"5,891","70,697",0,0
2025.04.24.,PC,304,5,1.65,"3,406","17,028",0,0
2025.04.24.,모바일,816,10,1.23,"7,143","71,434",0,0
2025.04.25.,PC,268,0,0,0,0,0,0
2025.04.25.,모바일,466,6,1.29,"4,646","27,874",0,0
2025.04.26.,PC,62,1,1.62,55,55,0,0
2025.04.26.,모바일,637,4,0.63,"9,138","36,553",0,0
2025.04.27.,PC,75,3,4,"1,265","3,795",0,0
2025.04.27.,모바일,"1,347",10,0.75,"4,862","48,620",0,0
2025.04.28.,PC,326,2,0.62,"2,294","4,587",0,0
2025.04.28.,모바일,592,12,2.03,"6,425","77,099",0,0
2025.04.29.,PC,249,4,1.61,875,"3,498",0,0
2025.04.29.,모바일,580,8,1.38,"3,821","30,569",0,0
2025.04.30.,PC,269,1,0.38,55,55,0,0
2025.04.30.,모바일,639,11,1.73,"3,850","42,350",0,0
2025.05.01.,PC,154,3,1.95,"2,519","7,557",0,0
2025.05.01.,모바일,591,8,1.36,"5,068","40,546",0,0
2025.05.02.,PC,205,0,0,0,0,0,0
2025.05.02.,모바일,583,8,1.38,"4,115","32,923",0,0
2025.05.03.,PC,94,2,2.13,"3,729","7,458",0,0
2025.05.03.,모바일,620,11,1.78,"9,648","106,128",0,0
2025.05.04.,PC,63,2,3.18,836,"1,672",0,0
2025.05.04.,모바일,645,5,0.78,"5,507","27,533",0,0
