"일별보고서(2025.03.31.~2025.06.30.),almodels_info:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"6,406",48,0.75,"4,993","239,657",336,336
2025.03.31.,모바일,"11,198",59,0.53,"1,539","90,794",70,70
2025.04.01.,PC,"5,755",47,0.82,"5,071","238,337",320,320
2025.04.01.,모바일,"11,158",44,0.4,"1,242","54,659",70,70
2025.04.02.,PC,"6,696",48,0.72,"5,102","244,915",257,257
2025.04.02.,모바일,"9,113",53,0.59,"2,362","125,191",65,65
2025.04.03.,PC,"7,086",59,0.84,"6,611","390,071",305,305
2025.04.03.,모바일,"11,864",57,0.49,"1,534","87,439",95,95
2025.04.04.,PC,"5,949",49,0.83,"7,069","346,379",353,353
2025.04.04.,모바일,"8,984",41,0.46,"1,635","67,034",71,71
2025.04.05.,PC,"3,418",7,0.21,"3,195","22,363",3,3
2025.04.05.,모바일,"8,412",36,0.43,"1,347","48,499",41,41
2025.04.06.,PC,"3,169",9,0.29,380,"3,421",20,20
2025.04.06.,모바일,"7,458",33,0.45,"1,377","45,441",35,35
2025.04.07.,PC,"6,885",41,0.6,"6,209","254,584",312,312
2025.04.07.,모바일,"7,874",33,0.42,"1,269","41,866",24,24
2025.04.08.,PC,"6,855",43,0.63,"6,305","271,128",287,287
2025.04.08.,모바일,"7,145",36,0.51,"1,462","52,646",22,22
2025.04.09.,PC,"6,345",44,0.7,"5,606","246,675",361,361
2025.04.09.,모바일,"7,758",43,0.56,"1,627","69,982",32,32
2025.04.10.,PC,"4,974",53,1.07,"4,890","259,193",274,274
2025.04.10.,모바일,"8,904",51,0.58,"2,609","133,034",68,68
2025.04.11.,PC,"4,182",41,0.99,"3,733","153,054",157,157
2025.04.11.,모바일,"6,948",43,0.62,"1,542","66,319",14,14
2025.04.12.,PC,"2,352",14,0.6,"1,419","19,866",20,20
2025.04.12.,모바일,"7,142",45,0.64,935,"42,097",22,22
2025.04.13.,PC,"2,530",9,0.36,"1,797","16,170",25,25
2025.04.13.,모바일,"7,840",64,0.82,"1,169","74,833",39,39
2025.04.14.,PC,"5,426",40,0.74,"4,943","197,714",319,319
2025.04.14.,모바일,"8,594",62,0.73,"1,426","88,407",75,75
2025.04.15.,PC,"5,716",57,1,"5,724","326,282",327,327
2025.04.15.,모바일,"7,594",56,0.74,"1,558","87,252",104,104
2025.04.16.,PC,"4,555",50,1.1,"5,727","286,330",169,169
2025.04.16.,모바일,"6,658",56,0.85,"1,520","85,129",111,111
2025.04.17.,PC,"3,188",58,1.82,"4,943","286,671",348,348
2025.04.17.,모바일,"6,726",55,0.82,"1,390","76,472",96,96
2025.04.18.,PC,"2,985",32,1.08,"5,521","176,660",218,218
2025.04.18.,모바일,"7,480",40,0.54,"1,371","54,835",35,35
2025.04.19.,PC,"1,578",7,0.45,319,"2,233",4,4
2025.04.19.,모바일,"8,427",47,0.56,"1,027","48,279",9,9
2025.04.20.,PC,"1,603",11,0.69,630,"6,930",17,17
2025.04.20.,모바일,"7,555",55,0.73,"1,173","64,537",17,17
2025.04.21.,PC,"3,704",38,1.03,"4,958","188,419",436,436
2025.04.21.,모바일,"8,127",42,0.52,"1,649","69,278",32,32
2025.04.22.,PC,"3,669",46,1.26,"6,796","312,609",209,209
2025.04.22.,모바일,"7,344",54,0.74,"2,167","117,029",36,36
2025.04.23.,PC,"3,087",41,1.33,"4,455","182,655",184,184
2025.04.23.,모바일,"7,196",49,0.69,"1,331","65,208",16,16
2025.04.24.,PC,"2,376",43,1.81,"4,978","214,038",198,198
2025.04.24.,모바일,"6,821",40,0.59,"1,976","79,057",13,13
2025.04.25.,PC,"2,287",33,1.45,"4,237","139,810",175,175
2025.04.25.,모바일,"7,190",44,0.62,"2,043","89,881",32,32
2025.04.26.,PC,"1,124",12,1.07,"1,308","15,697",32,32
2025.04.26.,모바일,"6,722",42,0.63,"1,127","47,333",13,13
2025.04.27.,PC,"1,229",9,0.74,"2,304","20,735",27,27
