"일별보고서(2025.03.31.~2025.06.30.),bansull:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"4,475",1,0.03,"1,650","1,650",0,0
2025.03.31.,모바일,"14,994",10,0.07,207,"2,068",0,0
2025.04.01.,PC,"2,057",1,0.05,66,66,0,0
2025.04.01.,모바일,"5,646",7,0.13,"2,263","15,840",0,0
2025.04.02.,PC,"3,433",1,0.03,"3,454","3,454",0,0
2025.04.02.,모바일,"11,011",10,0.1,"1,137","11,374",0,0
2025.04.03.,PC,"3,126",0,0,0,0,0,0
2025.04.03.,모바일,"13,032",11,0.09,"1,286","14,146",0,0
2025.04.04.,PC,"2,478",1,0.05,"1,749","1,749",0,0
2025.04.04.,모바일,"11,205",9,0.09,"2,080","18,722",0,0
2025.04.05.,PC,"2,614",3,0.12,"2,387","7,161",0,0
2025.04.05.,모바일,"15,861",12,0.08,"1,487","17,842",0,0
2025.04.06.,PC,"1,972",0,0,0,0,0,0
2025.04.06.,모바일,"13,443",12,0.09,"2,426","29,117",0,0
2025.04.07.,PC,"1,021",1,0.1,"3,850","3,850",0,0
2025.04.07.,모바일,"4,014",10,0.25,"2,994","29,942",0,0
2025.04.08.,PC,"3,363",1,0.03,"3,267","3,267",0,0
2025.04.08.,모바일,"14,690",11,0.08,"1,059","11,649",0,0
2025.04.09.,PC,"2,754",1,0.04,"3,542","3,542",0,0
2025.04.09.,모바일,"13,899",12,0.09,"1,732","20,779",0,0
2025.04.10.,PC,574,0,0,0,0,0,0
2025.04.10.,모바일,"3,417",11,0.33,"3,155","34,705",0,0
2025.04.11.,PC,"1,263",2,0.16,"1,859","3,718",0,0
2025.04.11.,모바일,"7,384",6,0.09,"1,276","7,656",0,0
2025.04.12.,PC,16,0,0,0,0,0,0
2025.04.12.,모바일,88,6,6.82,"2,653","15,917",0,0
2025.04.13.,PC,7,1,14.29,"3,839","3,839",0,0
2025.04.13.,모바일,96,2,2.09,"2,365","4,730",0,0
2025.04.14.,PC,37,1,2.71,308,308,0,0
2025.04.14.,모바일,94,6,6.39,"2,609","15,653",0,0
2025.04.15.,PC,32,0,0,0,0,0,0
2025.04.15.,모바일,127,7,5.52,"2,508","17,556",0,0
2025.04.16.,PC,33,0,0,0,0,0,0
2025.04.16.,모바일,98,8,8.17,"1,679","13,431",0,0
2025.04.17.,PC,35,3,8.58,"3,029","9,086",0,0
2025.04.17.,모바일,93,10,10.76,"2,576","25,762",0,0
2025.04.18.,PC,23,0,0,0,0,0,0
2025.04.18.,모바일,132,11,8.34,"2,085","22,935",0,0
2025.04.19.,PC,12,1,8.34,"3,960","3,960",0,0
2025.04.19.,모바일,108,6,5.56,"2,521","15,125",0,0
2025.04.21.,PC,36,1,2.78,"2,915","2,915",0,0
2025.04.21.,모바일,140,8,5.72,"2,556","20,449",0,0
2025.04.22.,PC,48,2,4.17,"1,518","3,036",0,0
2025.04.22.,모바일,80,7,8.75,"2,987","20,911",0,0
2025.04.23.,PC,39,2,5.13,"3,388","6,776",0,0
2025.04.23.,모바일,195,7,3.59,"2,277","15,939",0,0
2025.04.24.,PC,40,3,7.5,"2,512","7,535",0,0
2025.04.24.,모바일,143,4,2.8,"3,696","14,784",0,0
2025.04.25.,PC,22,1,4.55,"3,586","3,586",0,0
2025.04.25.,모바일,132,8,6.07,"2,166","17,325",0,0
2025.04.26.,PC,11,0,0,0,0,0,0
2025.04.26.,모바일,98,4,4.09,"1,900","7,601",0,0
2025.04.27.,PC,11,2,18.19,"3,267","6,534",0,0
2025.04.27.,모바일,122,3,2.46,"3,458","10,373",0,0
2025.04.28.,PC,30,2,6.67,"1,815","3,630",0,0
2025.04.28.,모바일,194,8,4.13,"1,878","15,026",0,0
2025.04.29.,PC,46,1,2.18,"3,520","3,520",0,0
2025.04.29.,모바일,145,5,3.45,"2,407","12,034",0,0
2025.04.30.,PC,23,0,0,0,0,0,0
2025.04.30.,모바일,137,3,2.19,"3,707","11,121",0,0
2025.05.01.,PC,19,0,0,0,0,0,0
2025.05.01.,모바일,93,6,6.46,"3,760","22,561",0,0
2025.05.02.,모바일,2,0,0,0,0,0,0
2025.05.06.,PC,21,0,0,0,0,0,0
2025.05.06.,모바일,75,5,6.67,"1,943","9,713",0,0
2025.05.07.,PC,50,1,2,825,825,0,0
2025.05.07.,모바일,185,5,2.71,"2,963","14,817",0,0
2025.05.08.,PC,35,2,5.72,"2,789","5,577",0,0
2025.05.08.,모바일,133,4,3.01,"2,962","11,847",0,0
2025.05.09.,PC,34,1,2.95,132,132,0,0
2025.05.09.,모바일,75,6,8,"3,874","23,243",0,0
2025.05.10.,PC,12,0,0,0,0,0,0
2025.05.10.,모바일,76,2,2.64,292,583,0,0
2025.05.11.,PC,6,0,0,0,0,0,0
2025.05.11.,모바일,71,6,8.46,"2,312","13,871",0,0
2025.05.12.,PC,74,0,0,0,0,0,0
2025.05.12.,모바일,122,7,5.74,"2,395","16,764",0,0
2025.05.13.,PC,56,1,1.79,"5,423","5,423",0,0
2025.05.13.,모바일,107,4,3.74,"1,953","7,810",0,0
2025.05.14.,PC,55,2,3.64,"2,387","4,774",0,0
2025.05.14.,모바일,75,5,6.67,"2,231","11,154",0,0
2025.05.15.,PC,52,1,1.93,253,253,0,0
2025.05.15.,모바일,114,6,5.27,"1,778","10,670",0,0
2025.05.16.,PC,69,1,1.45,"3,938","3,938",0,0
2025.05.16.,모바일,124,3,2.42,"2,185","6,556",0,0
2025.05.17.,PC,14,0,0,0,0,0,0
2025.05.17.,모바일,61,3,4.92,"2,508","7,524",0,0
2025.05.18.,PC,13,0,0,0,0,0,0
2025.05.18.,모바일,58,5,8.63,"2,409","12,045",0,0
2025.05.19.,PC,42,2,4.77,517,"1,034",0,0
2025.05.19.,모바일,129,10,7.76,"1,618","16,181",0,0
2025.05.20.,PC,45,1,2.23,"2,838","2,838",0,0
2025.05.20.,모바일,124,4,3.23,"1,920","7,678",0,0
2025.05.21.,PC,79,5,6.33,944,"4,719",0,0
2025.05.21.,모바일,117,7,5.99,"1,820","12,738",0,0
2025.05.22.,PC,72,3,4.17,"3,417","10,252",0,0
2025.05.22.,모바일,127,7,5.52,"2,953","20,669",0,0
2025.05.23.,PC,112,0,0,0,0,0,0
2025.05.23.,모바일,222,7,3.16,"3,364","23,551",0,0
2025.05.24.,PC,34,3,8.83,"3,098","9,295",0,0
2025.05.24.,모바일,70,1,1.43,"3,971","3,971",0,0
2025.05.25.,PC,21,0,0,0,0,0,0
2025.05.25.,모바일,47,6,12.77,"3,285","19,712",0,0
2025.05.26.,PC,104,6,5.77,"3,276","19,657",0,0
2025.05.26.,모바일,165,5,3.04,"1,652","8,261",0,0
2025.05.27.,PC,102,3,2.95,"2,556","7,667",0,0
2025.05.27.,모바일,189,13,6.88,"1,889","24,563",0,0
2025.05.28.,PC,69,1,1.45,"1,892","1,892",0,0
2025.05.28.,모바일,141,10,7.1,"2,736","27,357",0,0
2025.05.29.,PC,140,1,0.72,99,99,0,0
2025.05.29.,모바일,111,5,4.51,"2,664","13,321",0,0
2025.05.30.,PC,72,1,1.39,"2,959","2,959",0,0
2025.05.30.,모바일,148,6,4.06,"2,823","16,940",0,0
2025.05.31.,PC,20,0,0,0,0,0,0
2025.05.31.,모바일,92,2,2.18,"4,092","8,184",0,0
2025.06.01.,PC,36,2,5.56,"3,245","6,490",0,0
2025.06.01.,모바일,120,2,1.67,"5,572","11,143",0,0
2025.06.02.,PC,82,1,1.22,"3,102","3,102",0,0
2025.06.02.,모바일,181,8,4.42,"1,818","14,542",0,0
2025.06.03.,PC,39,1,2.57,"4,774","4,774",0,0
2025.06.03.,모바일,81,2,2.47,"5,429","10,857",0,0
2025.06.04.,PC,32,2,6.25,"4,697","9,394",0,0
2025.06.04.,모바일,51,4,7.85,"3,949","15,796",0,0
2025.06.05.,PC,43,2,4.66,787,"1,573",0,0
2025.06.05.,모바일,74,2,2.71,"4,538","9,075",0,0
2025.06.06.,PC,23,0,0,0,0,0,0
2025.06.06.,모바일,102,3,2.95,"2,930","8,789",0,0
2025.06.07.,PC,20,2,10,"1,700","3,399",0,0
2025.06.07.,모바일,45,3,6.67,"3,373","10,120",0,0
2025.06.08.,PC,14,0,0,0,0,0,0
2025.06.08.,모바일,46,0,0,0,0,0,0
2025.06.09.,PC,73,0,0,0,0,0,0
2025.06.09.,모바일,60,4,6.67,"3,383","13,530",0,0
2025.06.10.,PC,334,1,0.3,495,495,0,0
2025.06.10.,모바일,211,5,2.37,"1,903","9,515",0,0
2025.06.11.,PC,281,3,1.07,"2,897","8,690",0,0
2025.06.11.,모바일,145,3,2.07,"3,296","9,889",0,0
2025.06.12.,PC,298,3,1.01,"1,745","5,236",0,0
2025.06.12.,모바일,205,3,1.47,"1,547","4,642",0,0
2025.06.13.,PC,183,2,1.1,336,671,0,0
2025.06.13.,모바일,144,1,0.7,"2,882","2,882",0,0
2025.06.14.,PC,38,0,0,0,0,0,0
2025.06.14.,모바일,96,4,4.17,"4,164","16,654",0,0
2025.06.15.,PC,50,0,0,0,0,0,0
2025.06.15.,모바일,104,1,0.97,"6,710","6,710",0,0
2025.06.16.,PC,213,3,1.41,"2,801","8,404",0,0
2025.06.16.,모바일,219,6,2.74,"1,458","8,745",0,0
2025.06.17.,PC,222,1,0.46,451,451,0,0
2025.06.17.,모바일,198,6,3.04,"1,954","11,726",0,0
2025.06.18.,PC,124,2,1.62,"2,981","5,962",0,0
2025.06.18.,모바일,71,3,4.23,"4,195","12,584",0,0
2025.06.19.,PC,214,4,1.87,"1,928","7,711",0,0
2025.06.19.,모바일,164,3,1.83,"2,768","8,305",0,0
2025.06.20.,PC,161,2,1.25,550,"1,100",0,0
2025.06.20.,모바일,103,2,1.95,"2,734","5,467",0,0
2025.06.21.,PC,51,0,0,0,0,0,0
2025.06.21.,모바일,121,1,0.83,"2,871","2,871",0,0
2025.06.22.,PC,51,0,0,0,0,0,0
2025.06.22.,모바일,107,3,2.81,"2,783","8,349",0,0
2025.06.23.,PC,246,0,0,0,0,0,0
2025.06.23.,모바일,240,6,2.5,"3,021","18,128",0,0
2025.06.24.,PC,314,2,0.64,"2,475","4,950",0,0
2025.06.24.,모바일,267,10,3.75,"2,368","23,683",0,0
2025.06.25.,PC,253,2,0.8,"2,090","4,180",0,0
2025.06.25.,모바일,275,5,1.82,"1,511","7,557",0,0
2025.06.26.,PC,226,0,0,0,0,0,0
2025.06.26.,모바일,277,6,2.17,"2,545","15,268",0,0
2025.06.27.,PC,145,1,0.69,550,550,0,0
2025.06.27.,모바일,105,3,2.86,"2,680","8,041",0,0
2025.06.28.,PC,75,0,0,0,0,0,0
2025.06.28.,모바일,91,2,2.2,"4,879","9,757",0,0
2025.06.29.,PC,92,0,0,0,0,0,0
2025.06.29.,모바일,136,4,2.95,"2,272","9,086",0,0
2025.06.30.,PC,205,1,0.49,"2,244","2,244",0,0
2025.06.30.,모바일,191,4,2.1,"2,767","11,066",0,0
