"일별보고서(2025.03.31.~2025.06.30.),gaemi1604:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,58,1,1.73,"1,012","1,012",0,0
2025.03.31.,모바일,189,11,5.83,882,"9,702",0,0
2025.04.01.,PC,61,1,1.64,165,165,0,0
2025.04.01.,모바일,141,4,2.84,905,"3,619",0,0
2025.04.02.,PC,53,1,1.89,176,176,0,0
2025.04.02.,모바일,156,11,7.06,855,"9,405",0,0
2025.04.03.,PC,71,3,4.23,70,209,0,0
2025.04.03.,모바일,162,10,6.18,"1,585","15,851",0,0
2025.04.04.,PC,38,3,7.9,128,385,0,0
2025.04.04.,모바일,117,6,5.13,842,"5,049",0,0
2025.04.07.,PC,76,0,0,0,0,0,0
2025.04.07.,모바일,171,12,7.02,"1,729","20,746",0,0
2025.04.08.,PC,103,1,0.98,66,66,0,0
2025.04.08.,모바일,189,8,4.24,"1,442","11,539",0,0
2025.04.09.,PC,62,1,1.62,99,99,0,0
2025.04.09.,모바일,186,9,4.84,"1,475","13,277",0,0
2025.04.10.,PC,108,3,2.78,865,"2,596",0,0
2025.04.10.,모바일,235,12,5.11,"1,184","14,212",0,0
2025.04.11.,PC,44,2,4.55,187,374,0,0
2025.04.11.,모바일,145,11,7.59,"1,132","12,452",0,0
2025.04.14.,PC,93,3,3.23,77,231,0,0
2025.04.14.,모바일,229,13,5.68,818,"10,637",0,0
2025.04.15.,PC,97,5,5.16,286,"1,430",0,0
2025.04.15.,모바일,181,10,5.53,906,"9,064",0,0
2025.04.16.,PC,77,1,1.3,77,77,0,0
2025.04.16.,모바일,155,15,9.68,"1,397","20,955",0,0
2025.04.17.,PC,81,4,4.94,701,"2,805",0,0
2025.04.17.,모바일,164,11,6.71,"1,429","15,719",0,0
2025.04.18.,PC,62,2,3.23,501,"1,001",0,0
2025.04.18.,모바일,196,10,5.11,"1,483","14,828",0,0
2025.04.21.,PC,86,2,2.33,391,781,0,0
2025.04.21.,모바일,173,9,5.21,"1,133","10,197",0,0
2025.04.22.,PC,69,2,2.9,484,968,0,0
2025.04.22.,모바일,180,6,3.34,"1,991","11,946",0,0
2025.04.23.,PC,81,2,2.47,77,154,0,0
2025.04.23.,모바일,151,6,3.98,183,"1,100",0,0
2025.04.24.,PC,63,1,1.59,77,77,0,0
2025.04.24.,모바일,176,8,4.55,990,"7,920",0,0
2025.04.25.,PC,58,0,0,0,0,0,0
2025.04.25.,모바일,155,8,5.17,"1,272","10,175",0,0
2025.04.28.,PC,95,2,2.11,121,242,0,0
2025.04.28.,모바일,196,9,4.6,545,"4,906",0,0
2025.04.29.,PC,51,2,3.93,974,"1,947",0,0
2025.04.29.,모바일,183,6,3.28,"1,452","8,712",0,0
2025.04.30.,PC,63,2,3.18,198,396,0,0
2025.04.30.,모바일,113,7,6.2,806,"5,643",0,0
2025.05.01.,PC,25,3,12,550,"1,650",0,0
2025.05.01.,모바일,122,9,7.38,"1,217","10,956",0,0
2025.05.02.,PC,34,1,2.95,77,77,0,0
2025.05.02.,모바일,155,7,4.52,"1,922","13,453",0,0
2025.05.05.,PC,13,2,15.39,"1,265","2,530",0,0
2025.05.05.,모바일,98,4,4.09,"1,205","4,818",0,0
2025.05.06.,PC,27,0,0,0,0,0,0
2025.05.06.,모바일,122,7,5.74,"2,263","15,840",0,0
2025.05.07.,PC,72,1,1.39,"1,034","1,034",0,0
2025.05.07.,모바일,199,16,8.05,"1,246","19,943",0,0
2025.05.08.,PC,69,1,1.45,143,143,0,0
2025.05.08.,모바일,164,7,4.27,"1,218","8,525",0,0
2025.05.09.,PC,61,0,0,0,0,0,0
2025.05.09.,모바일,116,2,1.73,"1,892","3,784",0,0
2025.05.12.,PC,86,1,1.17,77,77,0,0
2025.05.12.,모바일,205,10,4.88,745,"7,447",0,0
2025.05.13.,PC,59,1,1.7,77,77,0,0
2025.05.13.,모바일,287,12,4.19,"1,428","17,138",0,0
2025.05.14.,PC,68,2,2.95,264,528,0,0
2025.05.14.,모바일,183,8,4.38,"1,033","8,261",0,0
2025.05.15.,PC,41,0,0,0,0,0,0
2025.05.15.,모바일,156,4,2.57,"1,394","5,577",0,0
2025.05.16.,PC,44,0,0,0,0,0,0
2025.05.16.,모바일,178,8,4.5,"1,781","14,245",0,0
2025.05.19.,PC,60,3,5,517,"1,551",0,0
2025.05.19.,모바일,234,11,4.71,"1,938","21,318",0,0
2025.05.20.,PC,66,5,7.58,101,506,0,0
2025.05.20.,모바일,187,9,4.82,914,"8,228",0,0
2025.05.21.,PC,60,2,3.34,451,902,0,0
2025.05.21.,모바일,342,12,3.51,"1,508","18,095",0,0
2025.05.22.,PC,44,1,2.28,132,132,0,0
2025.05.22.,모바일,238,5,2.11,"1,958","9,790",0,0
2025.05.23.,PC,68,3,4.42,77,231,0,0
2025.05.23.,모바일,153,5,3.27,183,913,0,0
2025.05.26.,PC,52,1,1.93,99,99,0,0
2025.05.26.,모바일,287,8,2.79,747,"5,973",0,0
2025.05.27.,PC,44,4,9.1,404,"1,617",0,0
2025.05.27.,모바일,238,11,4.63,"1,413","15,543",0,0
2025.05.28.,PC,65,1,1.54,77,77,0,0
2025.05.28.,모바일,199,8,4.03,"1,680","13,442",0,0
2025.05.29.,PC,45,4,8.89,107,429,0,0
2025.05.29.,모바일,204,6,2.95,"1,021","6,127",0,0
2025.05.30.,PC,39,4,10.26,149,594,0,0
2025.05.30.,모바일,131,8,6.11,946,"7,568",0,0
2025.06.02.,PC,37,2,5.41,149,297,0,0
2025.06.02.,모바일,156,11,7.06,"1,498","16,478",0,0
2025.06.03.,PC,17,1,5.89,528,528,0,0
2025.06.03.,모바일,122,8,6.56,"1,308","10,461",0,0
2025.06.04.,PC,58,2,3.45,512,"1,023",0,0
2025.06.04.,모바일,185,13,7.03,"1,406","18,282",0,0
2025.06.05.,PC,72,1,1.39,143,143,0,0
2025.06.05.,모바일,107,6,5.61,"1,612","9,669",0,0
2025.06.06.,PC,14,0,0,0,0,0,0
2025.06.06.,모바일,86,2,2.33,539,"1,078",0,0
2025.06.09.,PC,103,3,2.92,125,374,0,0
2025.06.09.,모바일,196,9,4.6,867,"7,799",0,0
2025.06.10.,PC,60,0,0,0,0,0,0
2025.06.10.,모바일,195,9,4.62,"1,261","11,352",0,0
2025.06.11.,PC,112,1,0.9,253,253,0,0
2025.06.11.,모바일,154,7,4.55,"1,721","12,045",0,0
2025.06.12.,PC,54,1,1.86,77,77,0,0
2025.06.12.,모바일,165,9,5.46,"2,189","19,701",0,0
2025.06.13.,PC,48,0,0,0,0,0,0
2025.06.13.,모바일,133,11,8.28,"1,866","20,526",0,0
2025.06.16.,PC,64,1,1.57,77,77,0,0
2025.06.16.,모바일,145,11,7.59,"1,862","20,482",0,0
2025.06.17.,PC,58,3,5.18,447,"1,342",0,0
2025.06.17.,모바일,205,14,6.83,"1,461","20,460",2,0
2025.06.18.,PC,50,2,4,72,143,0,0
2025.06.18.,모바일,103,7,6.8,822,"5,753",0,0
