"일별보고서(2025.03.31.~2025.06.30.),goodwcw4:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.02.,PC,"1,266",1,0.08,330,330,0,0
2025.04.02.,모바일,640,2,0.32,204,407,0,0
2025.04.03.,PC,209,0,0,0,0,0,0
2025.04.03.,모바일,"1,131",3,0.27,"4,396","13,189",0,0
2025.04.04.,PC,139,0,0,0,0,0,0
2025.04.04.,모바일,989,4,0.41,"5,822","23,287",0,0
2025.04.05.,PC,152,0,0,0,0,0,0
2025.04.05.,모바일,"1,016",5,0.5,"1,584","7,920",0,0
2025.04.06.,PC,184,0,0,0,0,0,0
2025.04.06.,모바일,"1,144",8,0.7,"6,526","52,206",0,0
2025.04.07.,PC,394,0,0,0,0,0,0
2025.04.07.,모바일,"1,386",11,0.8,"3,064","33,704",0,0
2025.04.08.,PC,454,1,0.23,77,77,0,0
2025.04.08.,모바일,"2,184",16,0.74,960,"15,367",0,0
2025.04.09.,PC,567,1,0.18,88,88,0,0
2025.04.09.,모바일,"2,567",14,0.55,"1,652","23,122",0,0
2025.04.10.,PC,507,2,0.4,154,308,0,0
2025.04.10.,모바일,"2,511",24,0.96,"1,248","29,942",0,0
2025.04.11.,PC,418,3,0.72,392,"1,177",0,0
2025.04.11.,모바일,"2,554",16,0.63,858,"13,728",0,0
2025.04.12.,PC,242,1,0.42,99,99,0,0
2025.04.12.,모바일,"2,714",15,0.56,"1,553","23,298",0,0
2025.04.13.,PC,217,0,0,0,0,0,0
2025.04.13.,모바일,"2,692",20,0.75,"1,529","30,580",0,0
2025.04.14.,PC,512,3,0.59,271,814,0,0
2025.04.14.,모바일,"2,663",16,0.61,"1,290","20,647",0,0
2025.04.15.,PC,517,2,0.39,215,429,0,0
2025.04.15.,모바일,"2,805",25,0.9,"1,589","39,732",0,0
2025.04.16.,PC,341,2,0.59,457,913,0,0
2025.04.16.,모바일,"2,645",28,1.06,"1,586","44,418",0,0
2025.04.17.,PC,370,0,0,0,0,0,0
2025.04.17.,모바일,"2,568",29,1.13,"1,749","50,732",0,0
2025.04.18.,PC,374,1,0.27,319,319,0,0
2025.04.18.,모바일,"3,026",26,0.86,"1,660","43,164",0,0
2025.04.19.,PC,210,1,0.48,198,198,0,0
2025.04.19.,모바일,"2,845",21,0.74,"1,835","38,533",0,0
2025.04.20.,PC,211,3,1.43,917,"2,750",0,0
2025.04.20.,모바일,"2,566",19,0.75,784,"14,894",0,0
2025.04.21.,PC,393,1,0.26,473,473,0,0
2025.04.21.,모바일,"2,726",25,0.92,"1,164","29,095",0,0
2025.04.22.,PC,456,4,0.88,652,"2,607",0,0
2025.04.22.,모바일,"2,648",24,0.91,"1,484","35,607",0,0
2025.04.23.,PC,539,4,0.75,259,"1,034",0,0
2025.04.23.,모바일,"2,471",24,0.98,"1,295","31,086",0,0
2025.04.24.,PC,488,5,1.03,"1,397","6,985",0,0
2025.04.24.,모바일,"2,483",26,1.05,"1,586","41,228",1,0
2025.04.25.,PC,551,3,0.55,374,"1,122",0,0
2025.04.25.,모바일,"2,477",29,1.18,"1,405","40,733",0,0
2025.04.26.,PC,272,0,0,0,0,0,0
2025.04.26.,모바일,"2,347",19,0.81,"1,777","33,770",0,0
2025.04.27.,PC,277,0,0,0,0,0,0
2025.04.27.,모바일,"2,661",26,0.98,"1,237","32,153",1,0
2025.04.28.,PC,573,3,0.53,84,253,0,0
2025.04.28.,모바일,"2,793",26,0.94,"1,137","29,557",0,0
2025.04.29.,PC,616,4,0.65,374,"1,496",0,0
2025.04.29.,모바일,"3,094",27,0.88,"1,432","38,665",0,0
2025.04.30.,PC,527,1,0.19,385,385,0,0
2025.04.30.,모바일,"2,696",14,0.52,"1,047","14,652",0,0
2025.05.01.,PC,351,1,0.29,418,418,0,0
2025.05.01.,모바일,"2,849",25,0.88,"1,823","45,573",1,0
2025.05.02.,PC,456,1,0.22,110,110,0,0
2025.05.02.,모바일,"2,742",31,1.14,"2,106","65,274",0,0
2025.05.03.,PC,268,1,0.38,286,286,0,0
2025.05.03.,모바일,"2,542",20,0.79,"1,522","30,448",0,0
2025.05.04.,PC,224,1,0.45,143,143,0,0
2025.05.04.,모바일,"2,604",19,0.73,"1,601","30,426",0,0
2025.05.05.,PC,275,1,0.37,143,143,0,0
2025.05.05.,모바일,"2,249",11,0.49,"1,488","16,368",0,0
2025.05.06.,PC,260,3,1.16,843,"2,530",0,0
2025.05.06.,모바일,"2,730",22,0.81,"1,242","27,324",0,0
2025.05.07.,PC,613,2,0.33,974,"1,947",0,0
2025.05.07.,모바일,"2,965",17,0.58,"2,266","38,522",1,0
2025.05.08.,PC,528,3,0.57,381,"1,144",0,0
2025.05.08.,모바일,"2,926",24,0.83,"1,701","40,832",0,0
2025.05.09.,PC,498,2,0.41,479,957,0,0
2025.05.09.,모바일,"2,791",15,0.54,"1,308","19,613",0,0
2025.05.10.,PC,238,0,0,0,0,0,0
2025.05.10.,모바일,"2,839",30,1.06,"1,364","40,909",1,0
2025.05.11.,PC,251,0,0,0,0,0,0
2025.05.11.,모바일,"3,035",26,0.86,"1,544","40,150",0,0
2025.05.12.,PC,551,4,0.73,853,"3,410",0,0
2025.05.12.,모바일,"2,949",16,0.55,"1,500","24,002",0,0
2025.05.13.,PC,475,2,0.43,567,"1,133",0,0
2025.05.13.,모바일,"3,026",23,0.77,923,"21,219",1,0
2025.05.14.,PC,417,3,0.72,257,770,0,0
2025.05.14.,모바일,"2,829",8,0.29,877,"7,018",0,0
2025.05.15.,PC,487,2,0.42,347,693,0,0
2025.05.15.,모바일,"2,804",22,0.79,"1,160","25,509",0,0
2025.05.16.,PC,364,5,1.38,464,"2,321",0,0
2025.05.16.,모바일,"2,740",20,0.73,"1,286","25,718",0,0
2025.05.17.,PC,142,1,0.71,"1,045","1,045",0,0
2025.05.17.,모바일,"2,714",17,0.63,"1,116","18,975",0,0
