"일별보고서(2025.03.31.~2025.06.30.),gustjd0232:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,600",7,0.44,307,"2,145.55",0,0
2025.03.31.,모바일,"1,857",29,1.57,339,"9,840.05",0,0
2025.04.01.,PC,"1,022",2,0.2,200,400.95,0,0
2025.04.01.,모바일,"3,778",33,0.88,314,"10,357.05",0,0
2025.04.02.,PC,"2,917",8,0.28,298,"2,383.7",0,0
2025.04.02.,모바일,"5,376",49,0.92,296,"14,507.35",0,0
2025.04.03.,PC,788,3,0.39,222,666.05,0,0
2025.04.03.,모바일,"3,223",29,0.9,366,"10,621.6",0,0
2025.04.04.,PC,"3,250",8,0.25,273,"2,182.4",0,0
2025.04.04.,모바일,"7,219",57,0.79,326,"18,566.35",0,0
2025.04.05.,PC,"1,050",3,0.29,243,728.75,0,0
2025.04.05.,모바일,"5,829",69,1.19,303,"20,927.5",0,0
2025.04.06.,PC,"1,054",7,0.67,214,"1,498.2",0,0
2025.04.06.,모바일,"5,693",61,1.08,335,"20,449.55",0,0
2025.04.07.,PC,"1,796",6,0.34,280,"1,679.15",0,0
2025.04.07.,모바일,"3,333",43,1.3,250,"10,728.85",0,0
2025.04.08.,PC,"1,245",5,0.41,168,838.2,0,0
2025.04.08.,모바일,"3,011",41,1.37,240,"9,841.7",0,0
2025.04.09.,PC,"3,024",5,0.17,205,"1,025.75",0,0
2025.04.09.,모바일,"4,705",53,1.13,305,"16,142.5",0,0
2025.04.10.,PC,"2,756",10,0.37,298,"2,982.1",0,0
2025.04.10.,모바일,"5,360",41,0.77,269,"11,011.55",0,0
2025.04.11.,PC,"3,273",16,0.49,209,"3,340.7",0,0
2025.04.11.,모바일,"6,787",41,0.61,317,"12,998.7",0,0
2025.04.12.,PC,992,4,0.41,259,"1,036.75",0,0
2025.04.12.,모바일,"6,899",65,0.95,325,"21,102.4",0,0
2025.04.13.,PC,593,3,0.51,215,645.7,0,0
2025.04.13.,모바일,"4,830",59,1.23,360,"21,211.85",0,0
2025.04.14.,PC,"1,436",10,0.7,243,"2,428.25",0,0
2025.04.14.,모바일,"1,975",35,1.78,279,"9,774.6",0,0
2025.04.15.,PC,705,4,0.57,218,870.65,0,0
2025.04.15.,모바일,"2,188",33,1.51,299,"9,858.2",0,0
2025.04.16.,PC,"2,652",4,0.16,305,"1,221.55",0,0
2025.04.16.,모바일,"3,274",33,1.01,294,"9,687.7",0,0
2025.04.17.,PC,"3,252",9,0.28,280,"2,521.75",0,0
