"일별보고서(2025.03.31.~2025.06.30.),hair6262920:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.03.,PC,33,2,6.07,435,869,0,0
2025.04.03.,모바일,347,6,1.73,268,"1,606",0,0
2025.04.04.,PC,43,2,4.66,77,154,0,0
2025.04.04.,모바일,417,11,2.64,342,"3,762",0,0
2025.04.05.,PC,24,2,8.34,330,660,0,0
2025.04.05.,모바일,342,10,2.93,344,"3,443",0,0
2025.04.06.,PC,32,0,0,0,0,0,0
2025.04.06.,모바일,851,13,1.53,309,"4,015",0,0
2025.04.07.,PC,98,0,0,0,0,0,0
2025.04.07.,모바일,872,11,1.27,373,"4,103",0,0
2025.04.08.,PC,71,2,2.82,308,616,0,0
2025.04.08.,모바일,745,11,1.48,292,"3,212",0,0
2025.04.09.,PC,171,3,1.76,422,"1,265",0,0
2025.04.09.,모바일,751,12,1.6,305,"3,663",0,0
2025.04.10.,PC,190,1,0.53,352,352,0,0
2025.04.10.,모바일,856,6,0.71,359,"2,156",0,0
2025.04.11.,PC,15,0,0,0,0,0,0
2025.04.11.,모바일,196,3,1.54,400,"1,199",0,0
2025.04.12.,PC,98,3,3.07,279,836,0,0
2025.04.12.,모바일,721,6,0.84,306,"1,837",0,0
2025.04.13.,PC,30,0,0,0,0,0,0
2025.04.13.,모바일,413,4,0.97,297,"1,188",0,0
2025.04.18.,PC,28,2,7.15,380,759,0,0
2025.04.18.,모바일,235,6,2.56,273,"1,639",0,0
2025.04.19.,PC,90,1,1.12,77,77,0,0
2025.04.19.,모바일,874,13,1.49,283,"3,685",0,0
2025.04.20.,PC,65,0,0,0,0,0,0
2025.04.20.,모바일,971,14,1.45,253,"3,542",0,0
2025.04.21.,PC,132,1,0.76,220,220,0,0
2025.04.21.,모바일,885,9,1.02,282,"2,541",0,0
2025.04.22.,PC,84,0,0,0,0,0,0
2025.04.22.,모바일,552,11,2,302,"3,322",0,0
2025.04.23.,PC,246,4,1.63,344,"1,375",0,0
2025.04.23.,모바일,"1,054",6,0.57,273,"1,639",0,0
