"일별보고서(2025.03.31.~2025.06.30.),ke1890:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,216",17,1.4,804,"13,669.7",0,0
2025.03.31.,모바일,"6,479",94,1.46,"1,111","104,473.05",0,0
2025.04.01.,PC,"1,110",13,1.18,741,"9,630.5",0,0
2025.04.01.,모바일,"6,489",116,1.79,"1,237","143,543.4",0,0
2025.04.02.,PC,"1,223",12,0.99,501,"6,015.35",0,0
2025.04.02.,모바일,"6,067",116,1.92,"1,120","129,961.15",0,0
2025.04.03.,PC,"1,292",12,0.93,496,"5,954.3",0,0
2025.04.03.,모바일,"6,646",108,1.63,"1,206","130,225.15",0,0
2025.04.04.,PC,"1,186",20,1.69,731,"14,611.3",0,0
2025.04.04.,모바일,"6,863",109,1.59,"1,482","161,570.2",0,0
2025.04.05.,PC,385,1,0.26,"1,938","1,937.65",0,0
2025.04.05.,모바일,"8,756",184,2.11,"1,124","206,736.75",0,0
2025.04.06.,PC,347,7,2.02,555,"3,884.1",0,0
2025.04.06.,모바일,"10,739",216,2.02,977,"211,117.5",0,0
2025.04.07.,PC,"1,116",12,1.08,997,"11,959.75",0,0
2025.04.07.,모바일,"6,446",120,1.87,"1,154","138,523.55",0,0
2025.04.08.,PC,"1,089",16,1.47,778,"12,454.75",0,0
2025.04.08.,모바일,"6,377",88,1.38,"1,285","113,075.05",0,0
2025.04.09.,PC,965,7,0.73,"1,159","8,115.25",0,0
2025.04.09.,모바일,"5,787",112,1.94,990,"110,927.85",0,0
2025.04.10.,PC,954,12,1.26,670,"8,034.95",0,0
2025.04.10.,모바일,"6,376",138,2.17,"1,023","141,175.1",0,0
2025.04.11.,PC,"1,042",13,1.25,"1,054","13,707.65",0,0
2025.04.11.,모바일,"7,929",121,1.53,953,"115,352.6",0,0
2025.04.12.,PC,357,5,1.41,"1,385","6,922.85",0,0
2025.04.12.,모바일,"8,278",170,2.06,"2,106","358,014.8",0,0
2025.04.13.,PC,305,4,1.32,930,"3,719.1",0,0
2025.04.13.,모바일,"8,815",205,2.33,"1,692","346,885",0,0
2025.04.14.,PC,835,12,1.44,459,"5,511.55",0,0
2025.04.14.,모바일,"5,780",93,1.61,721,"67,046.1",0,0
2025.04.15.,PC,891,6,0.68,"1,058","6,350.3",0,0
2025.04.15.,모바일,"7,281",116,1.6,"1,334","154,789.25",0,0
2025.04.16.,PC,852,11,1.3,"1,241","13,648.25",0,0
2025.04.16.,모바일,"5,337",93,1.75,"1,781","165,604.45",0,0
2025.04.17.,PC,711,13,1.83,630,"8,189.5",0,0
2025.04.17.,모바일,"4,780",92,1.93,"1,567","144,186.9",0,0
2025.04.18.,PC,744,13,1.75,716,"9,303.25",0,0
2025.04.18.,모바일,"5,540",92,1.67,"1,539","141,557.9",0,0
2025.04.19.,PC,321,5,1.56,"2,208","11,041.8",0,0
2025.04.19.,모바일,"8,066",194,2.41,"1,619","314,143.5",0,0
2025.04.20.,PC,247,5,2.03,458,"2,290.2",0,0
2025.04.20.,모바일,"10,412",228,2.19,"1,439","328,171.8",0,0
2025.04.21.,PC,627,9,1.44,577,"5,195.85",0,0
2025.04.21.,모바일,"4,893",87,1.78,"1,586","137,990.05",0,0
2025.04.22.,PC,686,6,0.88,869,"5,211.8",0,0
2025.04.22.,모바일,"4,637",108,2.33,"1,556","168,086.6",0,0
2025.04.23.,PC,813,15,1.85,693,"10,394.45",0,0
2025.04.23.,모바일,"5,147",87,1.7,"1,610","140,078.4",0,0
2025.04.24.,PC,853,13,1.53,657,"8,542.6",0,0
2025.04.24.,모바일,"5,138",73,1.43,"1,685","122,994.85",0,0
2025.04.25.,PC,772,16,2.08,641,"10,255.85",0,0
2025.04.25.,모바일,"6,147",96,1.57,"1,506","144,580.15",0,0
2025.04.26.,PC,288,11,3.82,"1,592","17,514.75",0,0
2025.04.26.,모바일,"7,917",183,2.32,"1,929","353,045",0,0
2025.04.27.,PC,278,4,1.44,"1,239","4,954.4",0,0
2025.04.27.,모바일,"7,959",154,1.94,"2,318","357,007.75",0,0
2025.04.28.,PC,748,9,1.21,780,"7,022.4",0,0
2025.04.28.,모바일,"4,785",107,2.24,"1,573","168,281.3",0,0
2025.04.29.,PC,758,9,1.19,"1,675","15,073.85",0,0
2025.04.29.,모바일,"5,350",89,1.67,"1,917","170,634.2",0,0
2025.04.30.,PC,821,15,1.83,892,"13,377.1",0,0
2025.04.30.,모바일,"5,781",74,1.29,"1,748","129,375.4",0,0
2025.05.01.,PC,508,16,3.15,"1,184","18,944.2",0,0
2025.05.01.,모바일,"7,618",153,2.01,"1,642","251,237.25",0,0
2025.05.02.,PC,797,10,1.26,"1,145","11,449.9",0,0
2025.05.02.,모바일,"6,303",119,1.89,"1,538","183,019.65",0,0
2025.05.03.,PC,420,5,1.2,"1,788","8,938.05",0,0
2025.05.03.,모바일,"9,538",206,2.16,"1,961","403,983.25",0,0
2025.05.04.,PC,395,8,2.03,686,"5,490.65",0,0
2025.05.04.,모바일,"14,080",261,1.86,"1,301","339,466.05",0,0
2025.05.05.,PC,405,8,1.98,554,"4,431.9",0,0
2025.05.05.,모바일,"13,128",236,1.8,"1,144","269,914.15",0,0
2025.05.06.,PC,460,7,1.53,510,"3,572.25",0,0
2025.05.06.,모바일,"10,410",227,2.19,"1,421","322,633.85",0,0
2025.05.07.,PC,625,8,1.28,"1,168","9,343.4",0,0
2025.05.07.,모바일,"5,119",102,2,"1,807","184,307.2",0,0
2025.05.08.,PC,768,15,1.96,640,"9,603",0,0
2025.05.08.,모바일,"6,301",110,1.75,"1,398","153,759.65",0,0
2025.05.09.,PC,773,14,1.82,757,"10,598.5",0,0
2025.05.09.,모바일,"5,853",109,1.87,"1,275","138,921.2",0,0
2025.05.10.,PC,359,3,0.84,725,"2,176.35",0,0
2025.05.10.,모바일,"8,676",177,2.05,"1,626","287,849.65",0,0
2025.05.11.,PC,306,7,2.29,"1,460","10,220.65",0,0
2025.05.11.,모바일,"9,541",234,2.46,"1,456","340,800.35",0,0
2025.05.12.,PC,723,6,0.83,911,"5,465.9",0,0
2025.05.12.,모바일,"7,590",86,1.14,922,"79,285.25",0,0
2025.05.13.,PC,931,10,1.08,"1,052","10,517.1",0,0
2025.05.13.,모바일,"6,713",129,1.93,"1,241","160,123.15",0,0
2025.05.14.,PC,600,10,1.67,"1,098","10,980.75",0,0
2025.05.14.,모바일,"5,323",79,1.49,"1,097","86,631.05",0,0
2025.05.15.,PC,734,8,1.09,"1,041","8,327.55",0,0
2025.05.15.,모바일,"5,168",67,1.3,"1,210","81,083.2",0,0
2025.05.16.,PC,701,11,1.57,901,"9,915.95",0,0
2025.05.16.,모바일,"5,267",95,1.81,"1,449","137,644.65",0,0
2025.05.17.,PC,286,8,2.8,"1,236","9,891.75",0,0
2025.05.17.,모바일,"7,523",131,1.75,"1,918","251,204.8",0,0
2025.05.18.,PC,320,7,2.19,"1,518","10,629.3",0,0
2025.05.18.,모바일,"9,147",206,2.26,"1,829","376,848.45",0,0
2025.05.19.,PC,785,12,1.53,984,"11,805.75",0,0
2025.05.19.,모바일,"4,350",101,2.33,"1,281","129,417.2",0,0
2025.05.20.,PC,655,13,1.99,677,"8,807.15",0,0
2025.05.20.,모바일,"4,329",78,1.81,"1,612","125,697",0,0
2025.05.21.,PC,662,16,2.42,893,"14,290.65",0,0
2025.05.21.,모바일,"4,618",91,1.98,"2,053","186,800.9",0,0
2025.05.22.,PC,644,8,1.25,635,"5,082",0,0
2025.05.22.,모바일,"3,883",77,1.99,"1,651","127,098.4",0,0
2025.05.23.,PC,622,7,1.13,563,"3,941.85",0,0
2025.05.23.,모바일,"4,465",75,1.68,"1,456","109,189.3",0,0
2025.05.24.,PC,295,5,1.7,984,"4,918.1",0,0
2025.05.24.,모바일,"7,284",145,2,"1,682","243,961.3",0,0
2025.05.25.,PC,283,3,1.07,953,"2,858.35",0,0
2025.05.25.,모바일,"9,121",168,1.85,"1,704","286,236.5",0,0
2025.05.26.,PC,399,9,2.26,"1,208","10,870.75",0,0
2025.05.26.,모바일,"2,164",58,2.69,"1,532","88,832.7",0,0
2025.05.27.,모바일,1,0,0,0,0,0,0
2025.05.29.,PC,340,8,2.36,861,"6,890.4",0,0
2025.05.29.,모바일,"2,289",43,1.88,"1,562","67,169.3",0,0
2025.05.30.,PC,667,10,1.5,907,"9,074.45",0,0
2025.05.30.,모바일,"5,137",101,1.97,"1,374","138,777.1",0,0
2025.05.31.,PC,346,3,0.87,474,"1,421.2",0,0
2025.05.31.,모바일,"8,088",153,1.9,"1,529","233,946.9",0,0
2025.06.01.,PC,314,10,3.19,"1,177","11,770.55",0,0
2025.06.01.,모바일,"8,253",136,1.65,"2,175","295,794.95",0,0
2025.06.02.,PC,822,8,0.98,785,"6,280.45",0,0
2025.06.02.,모바일,"5,794",115,1.99,"1,377","158,384.6",0,0
2025.06.03.,PC,437,7,1.61,"1,282","8,972.7",0,0
2025.06.03.,모바일,"9,245",201,2.18,"1,876","377,111.9",0,0
2025.06.04.,PC,706,8,1.14,"1,146","9,167.4",0,0
2025.06.04.,모바일,"4,111",67,1.63,"2,089","139,957.4",0,0
2025.06.05.,PC,872,15,1.73,780,"11,705.1",0,0
2025.06.05.,모바일,"5,398",101,1.88,"1,359","137,241.5",0,0
2025.06.06.,PC,280,4,1.43,"1,586","6,342.05",0,0
2025.06.06.,모바일,"7,419",172,2.32,"2,220","381,845.75",0,0
2025.06.07.,PC,175,4,2.29,678,"2,713.7",0,0
2025.06.07.,모바일,"5,072",89,1.76,"1,855","165,121",0,0
2025.06.08.,PC,296,5,1.69,"1,077","5,385.6",0,0
2025.06.08.,모바일,"8,092",151,1.87,"2,192","330,986.15",0,0
2025.06.09.,PC,824,9,1.1,794,"7,148.9",0,0
2025.06.09.,모바일,"4,942",89,1.81,"1,810","161,046.05",0,0
2025.06.10.,PC,887,11,1.25,816,"8,972.7",0,0
2025.06.10.,모바일,"5,053",82,1.63,"1,641","134,590.5",0,0
2025.06.11.,PC,854,20,2.35,766,"15,327.4",0,0
2025.06.11.,모바일,"5,436",79,1.46,"1,798","142,056.2",0,0
2025.06.12.,PC,848,8,0.95,835,"6,679.2",0,0
2025.06.12.,모바일,"4,967",87,1.76,"1,555","135,275.25",0,0
2025.06.13.,PC,847,12,1.42,"1,141","13,693.9",0,0
2025.06.13.,모바일,"5,509",88,1.6,"1,506","132,534.6",0,0
2025.06.14.,PC,499,6,1.21,"1,190","7,137.9",0,0
2025.06.14.,모바일,"9,646",121,1.26,"1,563","189,102.1",0,0
2025.06.15.,PC,412,6,1.46,"1,081","6,483.95",0,0
2025.06.15.,모바일,"8,714",181,2.08,"1,638","296,413.7",0,0
2025.06.16.,PC,880,11,1.25,767,"8,440.85",0,0
2025.06.16.,모바일,"4,872",92,1.89,"1,341","123,377.65",0,0
2025.06.17.,PC,978,11,1.13,707,"7,775.35",0,0
2025.06.17.,모바일,"5,801",90,1.56,"1,331","119,753.7",0,0
2025.06.18.,PC,939,10,1.07,900,"8,996.35",0,0
2025.06.18.,모바일,"5,304",99,1.87,"1,212","119,967.1",0,0
2025.06.19.,PC,968,18,1.86,900,"16,193.1",0,0
