"일별보고서(2025.03.31.~2025.06.30.),kej419900:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"21,088",14,0.07,75,"1,056",0,0
2025.03.31.,모바일,"292,956",137,0.05,74,"10,131",0,0
2025.04.01.,PC,"14,036",19,0.14,77,"1,463",0,0
2025.04.01.,모바일,"263,539",101,0.04,76,"7,678",0,0
2025.04.02.,PC,"20,845",7,0.04,71,495,0,0
2025.04.02.,모바일,"252,746",146,0.06,75,"10,945",0,0
2025.04.03.,PC,"33,770",7,0.03,71,495,0,0
2025.04.03.,모바일,"298,211",90,0.04,73,"6,534",0,0
2025.04.04.,PC,"9,981",6,0.07,73,440,0,0
2025.04.04.,모바일,"70,475",77,0.11,71,"5,489",0,0
2025.04.05.,PC,"14,959",14,0.1,74,"1,034",0,0
2025.04.05.,모바일,"120,454",139,0.12,74,"10,241",0,0
2025.04.06.,PC,"23,767",11,0.05,82,902,0,0
2025.04.06.,모바일,"169,230",126,0.08,72,"9,009",0,0
2025.04.07.,PC,"6,563",3,0.05,77,231,0,0
2025.04.07.,모바일,"46,914",48,0.11,69,"3,289",0,0
2025.04.08.,PC,"4,616",7,0.16,71,495,0,0
2025.04.08.,모바일,"9,121",44,0.49,74,"3,234",0,0
2025.04.09.,PC,"2,569",6,0.24,73,440,0,0
2025.04.09.,모바일,"8,262",31,0.38,69,"2,134",0,0
2025.04.10.,PC,"3,464",3,0.09,70,209,0,0
2025.04.10.,모바일,"14,442",35,0.25,66,"2,321",0,0
2025.04.11.,PC,"1,256",3,0.24,77,231,0,0
2025.04.11.,모바일,"6,800",40,0.59,64,"2,574",0,0
2025.04.12.,PC,472,1,0.22,66,66,0,0
2025.04.12.,모바일,"5,903",62,1.06,63,"3,916",0,0
2025.04.13.,PC,534,0,0,0,0,0,0
2025.04.13.,모바일,"5,136",52,1.02,66,"3,443",0,0
2025.04.14.,PC,"1,280",3,0.24,59,176,0,0
2025.04.14.,모바일,"5,541",30,0.55,67,"2,002",0,0
2025.04.15.,PC,"1,505",3,0.2,62,187,0,0
2025.04.15.,모바일,"5,089",41,0.81,71,"2,915",0,0
2025.04.16.,PC,"1,377",3,0.22,55,165,0,0
2025.04.16.,모바일,"5,561",31,0.56,67,"2,079",0,0
2025.04.17.,PC,"1,228",4,0.33,63,253,0,0
2025.04.17.,모바일,"4,193",35,0.84,68,"2,387",0,0
2025.04.18.,PC,"1,097",6,0.55,66,396,0,0
2025.04.18.,모바일,"5,994",43,0.72,66,"2,827",0,0
2025.04.19.,PC,470,1,0.22,55,55,0,0
2025.04.19.,모바일,"5,144",55,1.07,65,"3,553",0,0
2025.04.20.,PC,480,0,0,0,0,0,0
2025.04.20.,모바일,"3,739",52,1.4,67,"3,465",0,0
2025.04.21.,PC,"1,443",4,0.28,63,253,0,0
2025.04.21.,모바일,"4,156",32,0.77,66,"2,123",0,0
2025.04.22.,PC,"1,281",4,0.32,61,242,0,0
2025.04.22.,모바일,"2,860",20,0.7,68,"1,364",0,0
2025.04.23.,PC,"1,565",6,0.39,70,418,0,0
2025.04.23.,모바일,"2,621",33,1.26,66,"2,167",0,0
2025.04.24.,PC,"1,637",3,0.19,70,209,0,0
2025.04.24.,모바일,"1,899",16,0.85,61,968,0,0
2025.04.25.,PC,"1,343",2,0.15,77,154,0,0
