"일별보고서(2025.03.31.~2025.06.30.),komi4943:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"2,273",13,0.58,668,"8,679",0,0
2025.03.31.,모바일,"14,863",46,0.31,"1,131","52,019",0,0
2025.04.01.,PC,"2,775",16,0.58,914,"14,630",0,0
2025.04.01.,모바일,"15,101",66,0.44,"1,331","87,824",0,0
2025.04.02.,PC,"3,003",26,0.87,933,"24,255",0,0
2025.04.02.,모바일,"16,758",58,0.35,"1,039","60,247",0,0
2025.04.03.,PC,"3,265",15,0.46,610,"9,152",0,0
2025.04.03.,모바일,"16,406",74,0.46,"1,180","87,307",0,0
2025.04.04.,PC,"2,837",11,0.39,981,"10,791",0,0
2025.04.04.,모바일,"15,826",67,0.43,"1,377","92,268",0,0
2025.04.05.,PC,"1,275",9,0.71,922,"8,294",0,0
2025.04.05.,모바일,"21,098",80,0.38,"1,145","91,564",0,0
2025.04.06.,PC,983,4,0.41,699,"2,794",0,0
2025.04.06.,모바일,"24,944",86,0.35,"1,130","97,218",0,0
2025.04.07.,PC,"2,949",19,0.65,926,"17,589",0,0
2025.04.07.,모바일,"18,336",58,0.32,"1,253","72,688",0,0
2025.04.08.,PC,"3,453",30,0.87,805,"24,145",0,0
2025.04.08.,모바일,"16,703",58,0.35,"1,401","81,279",0,0
2025.04.09.,PC,"3,184",20,0.63,"1,004","20,075",0,0
2025.04.09.,모바일,"16,916",61,0.37,"1,472","89,815",0,0
2025.04.10.,PC,"2,476",15,0.61,615,"9,218",0,0
2025.04.10.,모바일,"18,819",76,0.41,"1,208","91,795",0,0
2025.04.11.,PC,"3,147",20,0.64,928,"18,568",0,0
2025.04.11.,모바일,"20,661",64,0.31,942,"60,258",0,0
2025.04.12.,PC,"1,024",5,0.49,583,"2,915",0,0
2025.04.12.,모바일,"24,646",84,0.35,943,"79,189",0,0
2025.04.13.,PC,"1,162",4,0.35,490,"1,958",0,0
2025.04.13.,모바일,"27,278",94,0.35,"1,075","101,046",0,0
2025.04.14.,PC,"3,189",22,0.69,972,"21,384",0,0
2025.04.14.,모바일,"18,209",79,0.44,978,"77,286",0,0
2025.04.15.,PC,"2,396",20,0.84,838,"16,753",0,0
2025.04.15.,모바일,"14,894",59,0.4,"1,509","89,045",0,0
2025.04.16.,PC,"2,919",17,0.59,"1,046","17,776",0,0
2025.04.16.,모바일,"17,944",71,0.4,988,"70,147",0,0
2025.04.17.,PC,"2,546",28,1.1,"1,140","31,922",0,0
2025.04.17.,모바일,"14,511",74,0.51,980,"72,512",0,0
2025.04.18.,PC,"2,383",23,0.97,946,"21,769",0,0
2025.04.18.,모바일,"15,609",74,0.48,"1,057","78,188",0,0
2025.04.19.,PC,"1,208",6,0.5,513,"3,080",0,0
2025.04.19.,모바일,"26,839",79,0.3,"1,154","91,201",0,0
2025.04.20.,PC,964,6,0.63,528,"3,168",0,0
2025.04.20.,모바일,"19,704",67,0.35,"1,126","75,449",0,0
2025.04.21.,PC,"4,539",14,0.31,831,"11,627",0,0
2025.04.21.,모바일,"20,150",62,0.31,"1,206","74,778",0,0
2025.04.22.,PC,"2,543",15,0.59,857,"12,859",0,0
2025.04.22.,모바일,"16,937",43,0.26,948,"40,766",0,0
2025.04.23.,PC,"2,513",13,0.52,592,"7,700",0,0
2025.04.23.,모바일,"15,636",50,0.32,"1,074","53,713",0,0
2025.04.24.,PC,"2,003",23,1.15,887,"20,394",0,0
2025.04.24.,모바일,"9,338",39,0.42,"1,160","45,232",0,0
2025.04.25.,PC,"1,289",12,0.94,739,"8,866",0,0
2025.04.25.,모바일,"10,814",57,0.53,"1,223","69,696",0,0
2025.04.26.,PC,764,6,0.79,942,"5,654",0,0
2025.04.26.,모바일,"17,530",65,0.38,"1,239","80,509",0,0
2025.04.27.,PC,668,5,0.75,801,"4,004",0,0
2025.04.27.,모바일,"18,216",61,0.34,"1,096","66,847",0,0
2025.04.28.,PC,"3,375",17,0.51,988,"16,797",0,0
2025.04.28.,모바일,"17,452",69,0.4,"1,276","88,055",0,0
2025.04.29.,PC,"2,697",17,0.64,820,"13,948",0,0
2025.04.29.,모바일,"17,223",59,0.35,"1,213","71,577",0,0
2025.04.30.,PC,"2,868",17,0.6,863,"14,674",0,0
2025.04.30.,모바일,"14,236",55,0.39,"1,073","59,026",0,0
2025.05.01.,PC,"1,572",9,0.58,985,"8,866",0,0
2025.05.01.,모바일,"25,312",78,0.31,"1,165","90,882",0,0
2025.05.02.,PC,"2,251",17,0.76,817,"13,882",0,0
2025.05.02.,모바일,"18,869",68,0.37,"1,211","82,368",0,0
2025.05.03.,PC,724,3,0.42,363,"1,089",0,0
2025.05.03.,모바일,"16,100",83,0.52,"1,291","107,118",0,0
2025.05.04.,PC,855,9,1.06,"1,057","9,515",0,0
2025.05.04.,모바일,"24,514",79,0.33,"1,207","95,348",0,0
2025.05.05.,PC,902,6,0.67,444,"2,662",0,0
2025.05.05.,모바일,"24,149",78,0.33,"1,221","95,271",0,0
2025.05.06.,PC,857,6,0.71,994,"5,962",0,0
2025.05.06.,모바일,"19,579",85,0.44,"1,149","97,691",0,0
2025.05.07.,PC,"2,396",18,0.76,802,"14,432",0,0
2025.05.07.,모바일,"17,011",74,0.44,"1,099","81,356",0,0
2025.05.08.,PC,"2,947",22,0.75,876,"19,272",0,0
2025.05.08.,모바일,"16,566",68,0.42,"1,268","86,218",0,0
2025.05.09.,PC,"2,439",16,0.66,"1,122","17,952",0,0
2025.05.09.,모바일,"11,979",70,0.59,"1,287","90,079",0,0
2025.05.10.,PC,966,6,0.63,"1,601","9,603",0,0
2025.05.10.,모바일,"17,367",92,0.53,"1,050","96,602",0,0
2025.05.11.,PC,759,13,1.72,705,"9,163",0,0
2025.05.11.,모바일,"18,230",95,0.53,"1,035","98,318",0,0
2025.05.12.,PC,"2,179",30,1.38,"1,018","30,547",0,0
2025.05.12.,모바일,"13,533",81,0.6,738,"59,741",0,0
2025.05.13.,PC,"2,646",22,0.84,892,"19,613",0,0
2025.05.13.,모바일,"11,404",79,0.7,"1,087","85,844",0,0
2025.05.14.,PC,"2,687",23,0.86,900,"20,691",0,0
2025.05.14.,모바일,"14,120",90,0.64,938,"84,414",0,0
2025.05.15.,PC,"2,521",17,0.68,"1,233","20,966",0,0
2025.05.15.,모바일,"13,790",81,0.59,779,"63,096",0,0
2025.05.16.,PC,"2,288",19,0.84,"1,119","21,252",0,0
2025.05.16.,모바일,"13,125",85,0.65,957,"81,378",0,0
2025.05.17.,PC,743,3,0.41,528,"1,584",0,0
2025.05.17.,모바일,"14,570",85,0.59,"1,228","104,401",0,0
2025.05.18.,PC,776,5,0.65,541,"2,706",0,0
2025.05.18.,모바일,"15,466",84,0.55,"1,111","93,335",0,0
2025.05.19.,PC,"2,981",23,0.78,994,"22,869",0,0
2025.05.19.,모바일,"12,600",63,0.5,"1,206","75,977",0,0
2025.05.20.,PC,"2,482",20,0.81,679,"13,585",0,0
2025.05.20.,모바일,"11,881",62,0.53,"1,406","87,186",0,0
