"일별보고서(2025.03.31.~2025.06.30.),kontae_lee:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"2,326",15,0.65,616,"9,242.2",0,0
2025.03.31.,모바일,"5,679",46,0.82,481,"22,111.65",0,0
2025.04.01.,PC,"2,280",15,0.66,712,"10,673.3",0,0
2025.04.01.,모바일,"4,958",34,0.69,514,"17,476.8",0,0
2025.04.02.,PC,"2,173",14,0.65,591,"8,270.35",0,0
2025.04.02.,모바일,"4,488",46,1.03,451,"20,738.85",0,0
2025.04.03.,PC,"3,243",17,0.53,645,"10,963.7",0,0
2025.04.03.,모바일,"5,698",43,0.76,550,"23,662.1",0,0
2025.04.04.,PC,"2,374",18,0.76,523,"9,412.15",0,0
2025.04.04.,모바일,"5,873",36,0.62,602,"21,663.4",0,0
2025.04.05.,PC,741,8,1.08,733,"5,861.35",0,0
2025.04.05.,모바일,"5,320",62,1.17,505,"31,293.35",0,0
2025.04.06.,PC,785,2,0.26,523,"1,046.1",0,0
2025.04.06.,모바일,"7,984",62,0.78,711,"44,091.3",0,0
2025.04.07.,PC,"2,672",18,0.68,505,"9,095.35",0,0
2025.04.07.,모바일,"6,155",50,0.82,545,"27,254.7",0,0
2025.04.08.,PC,"3,328",18,0.55,815,"14,665.2",0,0
2025.04.08.,모바일,"6,890",42,0.61,517,"21,695.85",0,0
2025.04.09.,PC,"3,016",21,0.7,621,"13,036.65",0,0
2025.04.09.,모바일,"6,425",38,0.6,585,"22,236.5",0,0
2025.04.10.,PC,"2,879",21,0.73,585,"12,284.8",0,0
2025.04.10.,모바일,"6,085",42,0.7,556,"23,349.7",0,0
2025.04.11.,PC,"2,421",23,0.96,564,"12,963.5",0,0
2025.04.11.,모바일,"5,007",39,0.78,591,"23,038.95",0,0
2025.04.12.,PC,831,6,0.73,406,"2,433.2",0,0
2025.04.12.,모바일,"10,648",94,0.89,701,"65,871.85",0,0
2025.04.13.,PC,"1,239",6,0.49,358,"2,149.95",0,0
2025.04.13.,모바일,"16,378",99,0.61,550,"54,426.9",0,0
2025.04.14.,PC,"2,519",23,0.92,720,"16,568.75",0,0
2025.04.14.,모바일,"6,560",83,1.27,653,"54,183.8",0,0
2025.04.15.,PC,"2,299",41,1.79,757,"31,045.3",0,0
2025.04.15.,모바일,"5,496",77,1.41,631,"48,584.25",0,0
2025.04.16.,PC,"2,252",33,1.47,697,"23,014.75",0,0
2025.04.16.,모바일,"4,618",70,1.52,660,"46,186.8",0,0
2025.04.17.,PC,"2,542",22,0.87,794,"17,469.65",0,0
2025.04.17.,모바일,"6,607",70,1.06,683,"47,810.4",0,0
2025.04.18.,PC,"2,191",30,1.37,848,"25,435.3",0,0
2025.04.18.,모바일,"4,890",71,1.46,733,"52,010.75",0,0
2025.04.19.,PC,786,10,1.28,802,"8,015.7",0,0
2025.04.19.,모바일,"6,554",131,2,799,"104,632",0,0
2025.04.20.,PC,"1,101",12,1.09,744,"8,930.35",0,0
2025.04.20.,모바일,"16,925",127,0.76,788,"100,134.1",0,0
2025.04.21.,PC,"5,821",25,0.43,803,"20,084.9",0,0
2025.04.21.,모바일,"11,205",67,0.6,704,"47,194.4",0,0
2025.04.22.,PC,"5,610",34,0.61,806,"27,401",0,0
2025.04.22.,모바일,"15,612",68,0.44,678,"46,094.4",0,0
2025.04.23.,PC,"4,276",35,0.82,845,"29,559.75",0,0
2025.04.23.,모바일,"8,131",63,0.78,705,"44,411.95",0,0
2025.04.24.,PC,"4,860",28,0.58,977,"27,342.7",0,0
2025.04.24.,모바일,"11,143",71,0.64,680,"48,280.1",0,0
2025.04.25.,PC,"5,864",35,0.6,804,"28,156.15",0,0
2025.04.25.,모바일,"19,060",121,0.64,790,"95,550.95",0,0
2025.04.26.,PC,"1,276",14,1.1,"1,038","14,528.8",0,0
2025.04.26.,모바일,"16,414",141,0.86,790,"111,419.55",0,0
2025.04.27.,PC,754,12,1.6,"1,008","12,091.2",0,0
2025.04.27.,모바일,"12,369",120,0.98,834,"100,062.05",0,0
2025.04.28.,PC,"3,001",17,0.57,904,"15,367",0,0
2025.04.28.,모바일,"6,344",73,1.16,723,"52,763.7",0,0
2025.04.29.,PC,"2,697",30,1.12,836,"25,094.3",0,0
2025.04.29.,모바일,"6,123",80,1.31,670,"53,637.65",0,0
2025.04.30.,PC,"3,079",41,1.34,953,"39,087.95",0,0
2025.04.30.,모바일,"7,486",89,1.19,735,"65,413.7",0,0
2025.05.01.,PC,"2,454",19,0.78,969,"18,418.4",0,0
2025.05.01.,모바일,"18,891",127,0.68,803,"102,027.75",0,0
2025.05.02.,PC,"3,013",43,1.43,"1,018","43,765.7",0,0
2025.05.02.,모바일,"9,067",104,1.15,723,"75,231.2",0,0
2025.05.03.,PC,"1,156",11,0.96,932,"10,255.3",0,0
2025.05.03.,모바일,"10,149",152,1.5,797,"121,092.95",0,0
2025.05.04.,PC,597,7,1.18,893,"6,251.85",0,0
2025.05.04.,모바일,"9,097",142,1.57,881,"125,051.85",0,0
2025.05.05.,PC,589,9,1.53,841,"7,570.2",0,0
2025.05.05.,모바일,"9,294",153,1.65,837,"127,996.55",0,0
2025.05.06.,PC,"1,047",9,0.86,982,"8,836.3",0,0
2025.05.06.,모바일,"17,292",140,0.81,880,"123,231.35",0,0
2025.05.07.,PC,"5,465",34,0.63,908,"30,860.5",0,0
2025.05.07.,모바일,"16,509",118,0.72,792,"93,467",0,0
2025.05.08.,PC,"4,160",30,0.73,805,"24,157.65",0,0
2025.05.08.,모바일,"10,289",111,1.08,829,"91,977.05",0,0
2025.05.09.,PC,"2,641",29,1.1,"1,019","29,539.4",0,0
2025.05.09.,모바일,"6,560",103,1.58,838,"86,274.1",0,0
2025.05.10.,PC,"1,408",7,0.5,"1,189","8,320.4",0,0
2025.05.10.,모바일,"15,095",148,0.99,764,"113,080",0,0
2025.05.11.,PC,487,9,1.85,"1,013","9,117.35",0,0
2025.05.11.,모바일,"8,012",136,1.7,877,"119,258.15",0,0
2025.05.12.,PC,"2,661",29,1.09,954,"27,658.95",0,0
2025.05.12.,모바일,"7,065",78,1.11,843,"65,769",0,0
2025.05.13.,PC,"5,049",25,0.5,873,"21,821.25",0,0
2025.05.13.,모바일,"14,105",95,0.68,780,"74,147.15",0,0
2025.05.14.,PC,"5,295",27,0.51,929,"25,073.95",0,0
2025.05.14.,모바일,"15,969",86,0.54,812,"69,864.3",0,0
2025.05.15.,PC,"5,214",26,0.5,803,"20,884.05",0,0
2025.05.15.,모바일,"16,400",80,0.49,760,"60,761.25",0,0
2025.05.16.,PC,"2,628",42,1.6,902,"37,887.3",0,0
2025.05.16.,모바일,"7,144",92,1.29,833,"76,627.65",0,0
2025.05.17.,PC,513,5,0.98,"1,426","7,130.75",0,0
2025.05.17.,모바일,"5,627",117,2.08,"1,021","119,480.9",0,0
2025.05.18.,PC,797,8,1.01,989,"7,912.85",0,0
2025.05.18.,모바일,"15,082",143,0.95,893,"127,754.55",0,0
2025.05.19.,PC,"2,375",24,1.02,"1,042","25,000.8",0,0
2025.05.19.,모바일,"6,423",94,1.47,"1,013","95,184.1",0,0
2025.05.20.,PC,"2,547",24,0.95,870,"20,889.55",0,0
2025.05.20.,모바일,"7,417",81,1.1,979,"79,336.95",0,0
2025.05.21.,PC,"2,708",31,1.15,"1,101","34,137.4",0,0
2025.05.21.,모바일,"6,966",86,1.24,"1,019","87,606.2",0,0
2025.05.22.,PC,"1,850",30,1.63,"1,010","30,305",0,0
2025.05.22.,모바일,"6,103",92,1.51,941,"86,570.55",0,0
2025.05.23.,PC,"3,137",33,1.06,995,"32,821.8",0,0
2025.05.23.,모바일,"10,330",78,0.76,"1,015","79,187.35",0,0
2025.05.24.,PC,"1,186",16,1.35,"1,076","17,218.3",0,0
2025.05.24.,모바일,"14,817",109,0.74,884,"96,355.6",0,0
2025.05.25.,PC,799,7,0.88,348,"2,438.15",0,0
2025.05.25.,모바일,"11,684",115,0.99,939,"107,943.55",0,0
2025.05.26.,PC,"1,948",27,1.39,"1,038","28,027.45",0,0
2025.05.26.,모바일,"5,539",83,1.5,967,"80,275.8",0,0
2025.05.27.,PC,"4,078",30,0.74,"1,060","31,801.55",0,0
2025.05.27.,모바일,"9,871",95,0.97,956,"90,793.45",0,0
2025.05.28.,PC,"3,380",21,0.63,921,"19,348.45",0,0
2025.05.28.,모바일,"10,914",102,0.94,940,"95,851.25",0,0
2025.05.29.,PC,"3,936",23,0.59,"1,071","24,637.8",0,0
2025.05.29.,모바일,"12,617",90,0.72,970,"87,263.55",0,0
2025.05.30.,PC,"1,980",27,1.37,988,"26,687.1",0,0
2025.05.30.,모바일,"6,378",111,1.75,808,"89,681.9",0,0
2025.05.31.,PC,674,9,1.34,884,"7,955.2",0,0
2025.05.31.,모바일,"7,694",117,1.53,970,"113,446.85",0,0
2025.06.01.,PC,991,9,0.91,635,"5,716.7",0,0
2025.06.01.,모바일,"16,440",143,0.87,944,"134,988.15",0,0
2025.06.02.,PC,"4,001",25,0.63,"1,020","25,493.6",0,0
2025.06.02.,모바일,"12,288",99,0.81,922,"91,245.55",0,0
2025.06.03.,PC,970,10,1.04,"1,044","10,443.4",0,0
2025.06.03.,모바일,"9,186",116,1.27,823,"95,444.25",0,0
2025.06.04.,PC,"2,860",26,0.91,901,"23,423.95",0,0
2025.06.04.,모바일,"9,425",83,0.89,816,"67,767.7",0,0
2025.06.05.,PC,"2,098",30,1.43,998,"29,927.15",0,0
2025.06.05.,모바일,"7,047",100,1.42,852,"85,223.05",0,0
2025.06.06.,PC,836,7,0.84,907,"6,347.55",0,0
2025.06.06.,모바일,"13,406",135,1.01,900,"121,509.85",0,0
2025.06.07.,PC,"1,127",9,0.8,"1,133","10,194.25",0,0
2025.06.07.,모바일,"14,460",111,0.77,866,"96,091.6",0,0
2025.06.08.,PC,"1,087",6,0.56,776,"4,653",0,0
2025.06.08.,모바일,"17,545",138,0.79,817,"112,713.15",0,0
2025.06.09.,PC,"1,864",25,1.35,"1,032","25,805.45",0,0
2025.06.09.,모바일,"5,433",88,1.62,839,"73,820.45",0,0
2025.06.10.,PC,"2,063",34,1.65,925,"31,453.95",0,0
2025.06.10.,모바일,"5,903",94,1.6,890,"83,614.85",0,0
2025.06.11.,PC,"1,826",27,1.48,"1,047","28,279.9",0,0
2025.06.11.,모바일,"5,803",92,1.59,969,"89,118.7",0,0
2025.06.12.,PC,"2,154",33,1.54,806,"26,606.25",0,0
2025.06.12.,모바일,"6,405",116,1.82,822,"95,316.65",0,0
2025.06.13.,PC,"3,688",24,0.66,912,"21,876.25",0,0
2025.06.13.,모바일,"16,427",108,0.66,890,"96,069.05",0,0
2025.06.14.,PC,593,11,1.86,875,"9,628.85",0,0
2025.06.14.,모바일,"7,271",121,1.67,895,"108,279.05",0,0
2025.06.15.,PC,565,4,0.71,"1,173","4,690.4",0,0
2025.06.15.,모바일,"7,266",126,1.74,863,"108,715.75",0,0
2025.06.16.,PC,"4,096",31,0.76,979,"30,345.7",0,0
2025.06.16.,모바일,"10,299",98,0.96,963,"94,338.2",0,0
2025.06.17.,PC,"3,977",28,0.71,"1,012","28,323.35",0,0
2025.06.17.,모바일,"11,212",97,0.87,957,"92,860.9",0,0
2025.06.18.,PC,"2,552",24,0.95,974,"23,376.65",0,0
2025.06.18.,모바일,"7,069",87,1.24,"1,066","92,718.45",0,0
2025.06.19.,PC,"3,010",33,1.1,942,"31,075.55",0,0
2025.06.19.,모바일,"8,683",73,0.85,907,"66,185.35",0,0
2025.06.20.,PC,"2,748",32,1.17,918,"29,378.8",0,0
2025.06.20.,모바일,"9,005",97,1.08,982,"95,275.4",0,0
2025.06.21.,PC,757,12,1.59,644,"7,730.25",0,0
2025.06.21.,모바일,"10,846",109,1.01,935,"101,962.3",0,0
2025.06.22.,PC,792,8,1.02,"1,011","8,089.95",0,0
2025.06.22.,모바일,"14,031",137,0.98,885,"121,239.25",0,0
2025.06.23.,PC,"5,006",34,0.68,"1,080","36,728.45",0,0
2025.06.23.,모바일,"14,281",96,0.68,905,"86,855.45",0,0
2025.06.24.,PC,"3,857",37,0.96,806,"29,806.7",0,0
2025.06.24.,모바일,"10,608",82,0.78,851,"69,799.95",0,0
2025.06.25.,PC,"3,035",37,1.22,961,"35,563.55",0,0
2025.06.25.,모바일,"8,959",97,1.09,897,"86,979.2",0,0
2025.06.26.,PC,"2,838",28,0.99,872,"24,411.75",0,0
2025.06.26.,모바일,"9,972",101,1.02,925,"93,390",0,0
2025.06.27.,PC,"3,221",40,1.25,869,"34,742.95",0,0
2025.06.27.,모바일,"10,639",100,0.94,887,"88,738.1",0,0
2025.06.28.,PC,"1,097",12,1.1,"1,231","14,770.8",0,0
2025.06.28.,모바일,"18,728",121,0.65,"1,007","121,839.85",0,0
2025.06.29.,PC,636,11,1.73,473,"5,206.85",0,0
2025.06.29.,모바일,"11,521",114,0.99,919,"104,812.95",0,0
2025.06.30.,PC,"3,345",40,1.2,799,"31,949.5",0,0
2025.06.30.,모바일,"10,089",97,0.97,936,"90,791.25",0,0
