"일별보고서(2025.03.31.~2025.06.30.),kwang2949:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.02.,PC,80,4,5,"4,439","17,754",0,0
2025.04.02.,모바일,82,5,6.1,"4,052","20,262",0,0
2025.04.03.,PC,84,0,0,0,0,0,0
2025.04.03.,모바일,59,4,6.78,"3,352","13,409",0,0
2025.04.04.,PC,32,1,3.13,"4,389","4,389",0,0
2025.04.04.,모바일,46,2,4.35,"5,495","10,989",0,0
2025.04.07.,PC,64,2,3.13,"2,288","4,576",0,0
2025.04.07.,모바일,100,8,8,"4,081","32,648",0,0
2025.04.08.,PC,61,1,1.64,"2,431","2,431",0,0
2025.04.08.,모바일,94,6,6.39,"4,688","28,127",0,0
2025.04.09.,PC,54,0,0,0,0,0,0
2025.04.09.,모바일,52,1,1.93,"4,906","4,906",0,0
2025.04.10.,PC,84,0,0,0,0,0,0
2025.04.10.,모바일,84,5,5.96,"5,722","28,611",0,0
2025.04.11.,PC,81,0,0,0,0,0,0
2025.04.11.,모바일,72,3,4.17,"4,015","12,045",0,0
2025.04.14.,PC,99,1,1.02,"1,144","1,144",0,0
2025.04.14.,모바일,68,3,4.42,"4,514","13,541",0,0
2025.04.15.,PC,74,1,1.36,"5,324","5,324",0,0
2025.04.15.,모바일,51,1,1.97,"8,624","8,624",0,0
2025.04.16.,PC,92,1,1.09,638,638,0,0
2025.04.16.,모바일,105,2,1.91,"2,723","5,445",0,0
2025.04.17.,PC,80,0,0,0,0,0,0
2025.04.17.,모바일,132,2,1.52,"2,371","4,741",0,0
2025.04.18.,PC,78,2,2.57,"5,473","10,945",0,0
2025.04.18.,모바일,115,3,2.61,"4,044","12,133",0,0
2025.04.21.,PC,144,6,4.17,"2,774","16,643",0,0
2025.04.21.,모바일,113,5,4.43,"3,318","16,588",0,0
2025.04.22.,PC,121,4,3.31,"4,587","18,348",0,0
2025.04.22.,모바일,120,3,2.5,"4,470","13,409",0,0
2025.04.23.,PC,105,1,0.96,"7,249","7,249",0,0
2025.04.23.,모바일,127,5,3.94,"3,043","15,213",0,0
2025.04.24.,PC,99,2,2.03,"4,604","9,207",0,0
2025.04.24.,모바일,103,1,0.98,"2,310","2,310",0,0
2025.04.25.,PC,67,2,2.99,"4,587","9,174",0,0
2025.04.25.,모바일,85,1,1.18,"4,653","4,653",0,0
2025.04.28.,PC,104,2,1.93,"3,003","6,006",0,0
2025.04.28.,모바일,92,2,2.18,"5,539","11,077",0,0
2025.04.29.,PC,107,3,2.81,"1,470","4,411",0,0
2025.04.29.,모바일,114,3,2.64,"4,594","13,783",0,0
2025.04.30.,PC,78,2,2.57,"3,520","7,040",0,0
2025.04.30.,모바일,131,5,3.82,"5,647","28,237",0,0
2025.05.01.,PC,36,1,2.78,"1,914","1,914",0,0
2025.05.01.,모바일,88,5,5.69,"4,512","22,561",0,0
2025.05.02.,PC,50,1,2,"4,202","4,202",0,0
2025.05.02.,모바일,102,6,5.89,"6,030","36,179",0,0
2025.05.07.,PC,123,0,0,0,0,0,0
2025.05.07.,모바일,117,2,1.71,"6,419","12,837",0,0
2025.05.08.,PC,99,0,0,0,0,0,0
2025.05.08.,모바일,119,6,5.05,"6,021","36,124",0,0
2025.05.09.,PC,72,1,1.39,"3,080","3,080",0,0
2025.05.09.,모바일,80,2,2.5,"5,698","11,396",0,0
2025.05.11.,모바일,1,0,0,0,0,0,0
2025.05.12.,PC,130,2,1.54,"2,866","5,731",0,0
2025.05.12.,모바일,123,7,5.7,"4,537","31,757",0,0
2025.05.13.,PC,71,0,0,0,0,0,0
2025.05.13.,모바일,113,4,3.54,"4,334","17,336",0,0
2025.05.14.,PC,74,0,0,0,0,0,0
2025.05.14.,모바일,106,1,0.95,"3,619","3,619",0,0
2025.05.15.,PC,80,1,1.25,"2,750","2,750",0,0
2025.05.15.,모바일,92,4,4.35,"3,622","14,487",0,0
2025.05.19.,PC,86,4,4.66,"5,492","21,967",0,0
2025.05.19.,모바일,100,4,4,"4,323","17,292",0,0
2025.05.20.,PC,101,1,1,"4,268","4,268",0,0
2025.05.20.,모바일,98,4,4.09,"4,400","17,600",0,0
2025.05.21.,PC,72,3,4.17,"3,381","10,142",0,0
2025.05.21.,모바일,79,5,6.33,"4,222","21,109",0,0
2025.05.22.,PC,113,4,3.54,"3,383","13,530",0,0
2025.05.22.,모바일,76,3,3.95,"5,280","15,840",0,0
2025.05.23.,PC,32,0,0,0,0,0,0
2025.05.23.,모바일,49,5,10.21,"4,706","23,529",0,0
2025.05.26.,PC,147,4,2.73,"4,378","17,512",0,0
2025.05.26.,모바일,145,6,4.14,"5,031","30,184",0,0
2025.05.27.,PC,93,1,1.08,"3,542","3,542",0,0
2025.05.27.,모바일,75,3,4,"4,367","13,101",0,0
2025.05.28.,PC,108,0,0,0,0,0,0
2025.05.28.,모바일,107,2,1.87,"4,274","8,547",0,0
2025.05.29.,PC,109,2,1.84,"4,400","8,800",0,0
2025.05.29.,모바일,158,5,3.17,"3,854","19,272",0,0
2025.05.30.,PC,74,0,0,0,0,0,0
2025.05.30.,모바일,121,2,1.66,"6,028","12,056",0,0
2025.05.31.,PC,4,0,0,0,0,0,0
2025.05.31.,모바일,35,2,5.72,"6,320","12,639",0,0
2025.06.01.,PC,2,0,0,0,0,0,0
2025.06.01.,모바일,36,1,2.78,"6,358","6,358",0,0
2025.06.02.,PC,76,0,0,0,0,0,0
2025.06.02.,모바일,96,8,8.34,"4,945","39,556",0,0
2025.06.03.,PC,42,1,2.39,"2,948","2,948",0,0
2025.06.03.,모바일,60,7,11.67,"4,585","32,098",0,0
2025.06.04.,PC,113,2,1.77,"4,109","8,217",0,0
2025.06.04.,모바일,96,10,10.42,"3,576","35,761",0,0
2025.06.05.,PC,111,1,0.91,"6,160","6,160",0,0
2025.06.05.,모바일,111,5,4.51,"5,436","27,181",0,0
2025.06.06.,PC,43,1,2.33,"1,573","1,573",0,0
2025.06.06.,모바일,119,2,1.69,"4,615","9,229",0,0
2025.06.07.,PC,8,1,12.5,"5,357","5,357",0,0
2025.06.07.,모바일,45,6,13.34,"5,555","33,330",0,0
2025.06.08.,PC,3,0,0,0,0,0,0
2025.06.08.,모바일,18,2,11.12,"4,950","9,900",0,0
2025.06.09.,PC,113,2,1.77,"3,229","6,457",0,0
2025.06.09.,모바일,117,3,2.57,"4,048","12,144",0,0
2025.06.10.,PC,142,3,2.12,"4,015","12,045",0,0
2025.06.10.,모바일,163,7,4.3,"5,596","39,171",0,0
2025.06.11.,PC,114,0,0,0,0,0,0
2025.06.11.,모바일,134,8,5.98,"4,378","35,024",0,0
2025.06.12.,PC,99,2,2.03,"3,069","6,138",0,0
2025.06.12.,모바일,145,9,6.21,"3,982","35,838",0,0
2025.06.13.,PC,76,1,1.32,"4,345","4,345",0,0
2025.06.13.,모바일,92,8,8.7,"4,575","36,597",0,0
2025.06.14.,PC,4,0,0,0,0,0,0
2025.06.14.,모바일,55,3,5.46,"4,250","12,749",0,0
2025.06.15.,PC,7,0,0,0,0,0,0
2025.06.15.,모바일,38,3,7.9,"4,268","12,804",0,0
2025.06.16.,PC,136,5,3.68,"3,740","18,700",0,0
2025.06.16.,모바일,146,9,6.17,"4,416","39,743",0,0
2025.06.17.,PC,38,1,2.64,"6,787","6,787",0,0
2025.06.17.,모바일,45,2,4.45,"4,109","8,217",0,0
2025.06.23.,PC,115,3,2.61,"2,952","8,855",0,0
2025.06.23.,모바일,130,11,8.47,"3,815","41,965",0,0
2025.06.24.,PC,85,1,1.18,"6,435","6,435",0,0
2025.06.24.,모바일,121,6,4.96,"3,284","19,701",0,0
2025.06.25.,PC,111,0,0,0,0,0,0
2025.06.25.,모바일,297,6,2.03,"3,067","18,403",0,0
2025.06.26.,PC,89,2,2.25,"1,716","3,432",0,0
2025.06.26.,모바일,260,5,1.93,"2,858","14,289",0,0
2025.06.27.,PC,84,3,3.58,"3,249","9,746",0,0
2025.06.27.,모바일,229,5,2.19,"3,234","16,170",0,0
2025.06.28.,PC,12,1,8.34,"3,553","3,553",0,0
2025.06.28.,모바일,220,7,3.19,"3,657","25,597",0,0
2025.06.29.,PC,12,0,0,0,0,0,0
2025.06.29.,모바일,223,5,2.25,"2,611","13,057",0,0
2025.06.30.,PC,75,1,1.34,"3,773","3,773",0,0
2025.06.30.,모바일,239,6,2.52,"3,174","19,041",0,0
