"일별보고서(2025.03.31.~2025.06.30.),lahaf7:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.05.29.,PC,36,0,0,0,0,0,0
2025.05.29.,모바일,94,1,1.07,"3,729","3,729",0,0
2025.05.30.,PC,70,4,5.72,"2,593","10,373",0,0
2025.05.30.,모바일,120,3,2.5,"2,116","6,347",0,0
2025.05.31.,PC,36,1,2.78,"3,773","3,773",0,0
2025.05.31.,모바일,146,5,3.43,"2,913","14,564",0,0
2025.06.01.,PC,47,1,2.13,"1,551","1,551",0,0
2025.06.01.,모바일,412,5,1.22,"3,630","18,150",0,0
2025.06.02.,PC,186,5,2.69,"1,362","6,809",0,0
2025.06.02.,모바일,419,6,1.44,"1,687","10,120",0,0
2025.06.03.,PC,43,0,0,0,0,0,0
2025.06.03.,모바일,241,6,2.49,"3,058","18,348",0,0
2025.06.04.,PC,143,6,4.2,"4,110","24,662",0,0
2025.06.04.,모바일,267,2,0.75,"2,107","4,213",0,0
2025.06.05.,PC,318,3,0.95,"2,475","7,425",0,0
2025.06.05.,모바일,538,4,0.75,"3,053","12,210",0,0
2025.06.06.,PC,97,2,2.07,"3,735","7,469",0,0
2025.06.06.,모바일,405,5,1.24,"2,460","12,298",0,0
2025.06.07.,PC,57,0,0,0,0,0,0
2025.06.07.,모바일,399,4,1.01,"4,109","16,434",0,0
2025.06.08.,PC,60,1,1.67,77,77,0,0
2025.06.08.,모바일,283,1,0.36,"2,431","2,431",0,0
2025.06.09.,PC,222,4,1.81,"3,919","15,675",0,0
2025.06.09.,모바일,197,2,1.02,"2,118","4,235",0,0
2025.06.11.,PC,5,0,0,0,0,0,0
2025.06.11.,모바일,38,2,5.27,"4,081","8,162",0,0
2025.06.12.,PC,279,4,1.44,"2,926","11,704",0,0
2025.06.12.,모바일,597,5,0.84,"2,471","12,353",0,0
2025.06.13.,PC,253,3,1.19,"2,592","7,777",0,0
2025.06.13.,모바일,285,8,2.81,"1,206","9,647",0,0
2025.06.14.,PC,92,0,0,0,0,0,0
2025.06.14.,모바일,257,3,1.17,"2,691","8,074",0,0
2025.06.15.,PC,41,1,2.44,"3,399","3,399",0,0
2025.06.15.,모바일,160,3,1.88,"3,887","11,660",0,0
2025.06.16.,PC,290,1,0.35,"3,212","3,212",0,0
2025.06.16.,모바일,527,9,1.71,"3,359","30,228",0,0
2025.06.17.,PC,291,2,0.69,"2,107","4,213",0,0
2025.06.17.,모바일,563,6,1.07,"3,042","18,249",0,0
2025.06.18.,PC,272,1,0.37,"3,663","3,663",0,0
2025.06.18.,모바일,648,9,1.39,"2,943","26,488",0,0
2025.06.19.,PC,785,6,0.77,"3,790","22,737",0,0
2025.06.19.,모바일,"1,745",9,0.52,"3,205","28,842",0,0
2025.06.20.,PC,"1,243",5,0.41,"3,934","19,668",0,0
2025.06.20.,모바일,"2,695",20,0.75,"2,879","57,585",0,0
2025.06.21.,PC,339,2,0.59,"3,696","7,392",0,0
2025.06.21.,모바일,"2,326",7,0.31,"3,396","23,771",0,0
2025.06.22.,PC,242,1,0.42,77,77,0,0
2025.06.22.,모바일,"1,319",2,0.16,"2,816","5,632",0,0
2025.06.23.,PC,"1,333",2,0.16,"2,030","4,059",0,0
2025.06.23.,모바일,"2,018",9,0.45,"2,959","26,631",0,0
2025.06.24.,PC,"1,257",2,0.16,"4,026","8,052",0,0
2025.06.24.,모바일,"2,002",12,0.6,"2,073","24,871",0,0
2025.06.25.,PC,613,1,0.17,77,77,0,0
2025.06.25.,모바일,"1,504",4,0.27,"3,058","12,232",0,0
2025.06.26.,PC,"1,420",5,0.36,"3,036","15,180",0,0
2025.06.26.,모바일,"1,467",6,0.41,"2,680","16,082",0,0
2025.06.27.,PC,"1,512",2,0.14,"3,740","7,480",0,0
2025.06.27.,모바일,"1,679",6,0.36,"3,667","22,000",0,0
2025.06.28.,PC,421,2,0.48,"3,850","7,700",0,0
2025.06.28.,모바일,"1,625",8,0.5,"3,461","27,687",0,0
2025.06.29.,PC,326,0,0,0,0,0,0
2025.06.29.,모바일,"1,483",9,0.61,"2,944","26,499",0,0
2025.06.30.,PC,"1,975",5,0.26,"2,526","12,628",0,0
2025.06.30.,모바일,"2,790",15,0.54,"2,834","42,504",0,0
