"일별보고서(2025.03.31.~2025.06.30.),letro890310:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,713,2,0.29,"1,133","2,266",0,0
2025.03.31.,모바일,208,3,1.45,568,"1,705",0,0
2025.04.01.,PC,746,0,0,0,0,0,0
2025.04.01.,모바일,180,3,1.67,84,253,0,0
2025.04.02.,PC,731,1,0.14,242,242,0,0
2025.04.02.,모바일,"1,672",7,0.42,924,"6,468",0,0
2025.04.03.,PC,558,0,0,0,0,0,0
2025.04.03.,모바일,"1,810",3,0.17,491,"1,474",0,0
2025.04.04.,PC,527,0,0,0,0,0,0
2025.04.04.,모바일,715,2,0.28,682,"1,364",0,0
2025.04.05.,PC,400,0,0,0,0,0,0
2025.04.05.,모바일,239,4,1.68,880,"3,520",0,0
2025.04.06.,PC,178,0,0,0,0,0,0
2025.04.06.,모바일,257,3,1.17,337,"1,012",0,0
2025.04.07.,PC,462,0,0,0,0,0,0
2025.04.07.,모바일,"1,172",3,0.26,400,"1,199",0,0
2025.04.08.,PC,"1,068",0,0,0,0,0,0
2025.04.08.,모바일,"1,099",2,0.19,545,"1,089",0,0
2025.04.09.,PC,377,0,0,0,0,0,0
2025.04.09.,모바일,443,1,0.23,77,77,0,0
2025.04.10.,PC,397,0,0,0,0,0,0
2025.04.10.,모바일,260,3,1.16,473,"1,419",0,0
2025.04.11.,PC,526,1,0.2,77,77,0,0
2025.04.11.,모바일,343,2,0.59,"1,507","3,014",0,0
2025.04.12.,PC,267,1,0.38,"1,397","1,397",0,0
2025.04.12.,모바일,254,1,0.4,726,726,0,0
2025.04.13.,PC,174,0,0,0,0,0,0
2025.04.13.,모바일,194,4,2.07,470,"1,881",0,0
2025.04.14.,PC,429,3,0.7,128,385,0,0
2025.04.14.,모바일,162,1,0.62,77,77,0,0
2025.04.15.,PC,418,3,0.72,939,"2,816",0,0
2025.04.15.,모바일,190,4,2.11,338,"1,353",0,0
2025.04.16.,PC,445,1,0.23,121,121,0,0
2025.04.16.,모바일,184,1,0.55,77,77,0,0
2025.04.17.,PC,473,1,0.22,363,363,0,0
2025.04.17.,모바일,319,1,0.32,77,77,0,0
2025.04.18.,PC,423,0,0,0,0,0,0
2025.04.18.,모바일,237,4,1.69,465,"1,859",0,0
2025.04.19.,PC,176,0,0,0,0,0,0
2025.04.19.,모바일,231,2,0.87,627,"1,254",0,0
2025.04.20.,PC,163,0,0,0,0,0,0
2025.04.20.,모바일,321,1,0.32,77,77,0,0
2025.04.21.,PC,316,0,0,0,0,0,0
2025.04.21.,모바일,279,5,1.8,387,"1,936",0,0
2025.04.22.,PC,452,0,0,0,0,0,0
2025.04.22.,모바일,228,1,0.44,539,539,0,0
2025.04.23.,PC,473,0,0,0,0,0,0
2025.04.23.,모바일,314,2,0.64,88,176,0,0
2025.04.24.,PC,376,1,0.27,77,77,0,0
2025.04.24.,모바일,203,1,0.5,528,528,0,0
2025.04.25.,PC,475,0,0,0,0,0,0
2025.04.25.,모바일,218,2,0.92,726,"1,452",0,0
2025.04.26.,PC,276,1,0.37,187,187,0,0
2025.04.26.,모바일,426,2,0.47,"1,529","3,058",0,0
2025.04.27.,PC,378,0,0,0,0,0,0
2025.04.27.,모바일,864,5,0.58,"1,349","6,743",0,0
2025.04.28.,PC,721,2,0.28,847,"1,694",0,0
2025.04.28.,모바일,593,9,1.52,461,"4,147",0,0
2025.04.29.,PC,565,4,0.71,253,"1,012",0,0
2025.04.29.,모바일,805,5,0.63,427,"2,134",0,0
2025.04.30.,PC,437,0,0,0,0,0,0
2025.04.30.,모바일,416,8,1.93,961,"7,689",0,0
2025.05.01.,PC,76,0,0,0,0,0,0
2025.05.01.,모바일,190,9,4.74,"1,437","12,936",0,0
2025.05.02.,PC,510,2,0.4,292,583,0,0
