"일별보고서(2025.03.31.~2025.06.30.),missko_1983:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"2,241",24,1.08,71,"1,705",0,0
2025.03.31.,모바일,"776,921",845,0.11,110,"93,258",10,"5,617,800"
2025.04.01.,PC,"2,372",23,0.97,74,"1,705",0,0
2025.04.01.,모바일,"810,663",683,0.09,105,"71,731",2,"801,000"
2025.04.02.,PC,"2,188",25,1.15,73,"1,826",1,"525,000"
2025.04.02.,모바일,"756,003",583,0.08,94,"54,901",3,"1,656,000"
2025.04.03.,PC,"2,082",28,1.35,72,"2,002",0,0
2025.04.03.,모바일,"884,669",649,0.08,87,"56,639",6,"3,845,900"
2025.04.04.,PC,"2,000",35,1.75,71,"2,497",4,"2,492,000"
2025.04.04.,모바일,"1,082,448",677,0.07,90,"60,896",7,"4,388,900"
2025.04.05.,PC,"1,250",9,0.72,61,550,0,0
2025.04.05.,모바일,"865,001",674,0.08,91,"61,226",6,"3,120,900"
2025.04.06.,PC,883,12,1.36,78,935,0,0
2025.04.06.,모바일,"912,438",744,0.09,91,"67,914",1,"1,275,900"
2025.04.07.,PC,"2,380",24,1.01,66,"1,573",1,"644,900"
2025.04.07.,모바일,"990,984",747,0.08,92,"68,695",8,"4,591,800"
2025.04.08.,PC,"2,687",23,0.86,68,"1,573",0,0
2025.04.08.,모바일,"1,020,558",746,0.08,91,"67,892",6,"2,867,000"
2025.04.09.,PC,"2,563",22,0.86,77,"1,694",1,"633,000"
2025.04.09.,모바일,"1,200,930",730,0.07,92,"67,144",1,"558,900"
2025.04.10.,PC,"2,288",26,1.14,67,"1,738",0,0
2025.04.10.,모바일,"1,219,728",662,0.06,92,"60,896",4,"2,548,000"
2025.04.11.,PC,"2,007",21,1.05,67,"1,408",0,0
2025.04.11.,모바일,"946,391",603,0.07,94,"56,606",8,"4,645,900"
2025.04.12.,PC,819,5,0.62,73,363,0,0
