"일별보고서(2025.03.31.~2025.06.30.),na_ya2:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"8,013",3,0.04,"1,423","4,268",0,0
2025.03.31.,모바일,"17,766",10,0.06,483,"4,829",0,0
2025.04.01.,PC,"3,494",3,0.09,"2,002","6,006",0,0
2025.04.01.,모바일,"7,835",2,0.03,"1,095","2,189",0,0
2025.04.02.,PC,"6,479",6,0.1,"1,461","8,767",0,0
2025.04.02.,모바일,"14,700",16,0.11,831,"13,299",0,0
2025.04.03.,PC,"6,141",2,0.04,"1,898","3,795",0,0
2025.04.03.,모바일,"16,051",9,0.06,953,"8,580",0,0
2025.04.04.,PC,"6,152",0,0,0,0,0,0
2025.04.04.,모바일,"17,957",13,0.08,846,"11,000",0,0
2025.04.05.,PC,"2,048",2,0.1,"2,112","4,224",0,0
2025.04.05.,모바일,"14,845",6,0.05,946,"5,676",0,0
2025.04.06.,PC,3,0,0,0,0,0,0
2025.04.06.,모바일,55,2,3.64,"1,903","3,806",0,0
2025.04.07.,PC,"6,556",3,0.05,"1,921","5,764",0,0
2025.04.07.,모바일,"17,162",13,0.08,"1,194","15,521",0,0
2025.04.08.,PC,"8,062",5,0.07,942,"4,708",0,0
2025.04.08.,모바일,"18,201",9,0.05,999,"8,987",0,0
2025.04.09.,PC,"8,286",2,0.03,"2,052","4,103",0,0
2025.04.09.,모바일,"20,045",11,0.06,"1,163","12,793",0,0
2025.04.10.,PC,"7,558",2,0.03,"1,705","3,410",0,0
2025.04.10.,모바일,"18,530",12,0.07,"1,024","12,287",0,0
2025.04.11.,PC,"7,716",1,0.02,308,308,0,0
2025.04.11.,모바일,"19,910",13,0.07,718,"9,328",0,0
2025.04.12.,PC,"3,115",1,0.04,275,275,0,0
2025.04.12.,모바일,"19,377",7,0.04,592,"4,147",0,0
2025.04.13.,PC,8,1,12.5,"1,980","1,980",0,0
2025.04.13.,모바일,55,1,1.82,"1,584","1,584",0,0
2025.04.14.,PC,"9,154",9,0.1,"1,571","14,135",0,0
2025.04.14.,모바일,"21,573",12,0.06,673,"8,074",0,0
2025.04.15.,PC,"8,716",7,0.09,762,"5,335",0,0
2025.04.15.,모바일,"20,756",11,0.06,414,"4,554",0,0
2025.04.16.,PC,"8,591",1,0.02,"1,925","1,925",0,0
2025.04.16.,모바일,"21,021",7,0.04,580,"4,059",0,0
2025.04.17.,PC,"8,491",2,0.03,875,"1,749",0,0
2025.04.17.,모바일,"22,381",10,0.05,448,"4,477",0,0
2025.04.18.,PC,"8,154",3,0.04,"1,346","4,037",0,0
2025.04.18.,모바일,"21,514",17,0.08,775,"13,167",0,0
2025.04.19.,PC,"3,175",0,0,0,0,0,0
2025.04.19.,모바일,"20,520",9,0.05,485,"4,367",0,0
2025.04.20.,PC,8,0,0,0,0,0,0
2025.04.20.,모바일,85,1,1.18,"1,826","1,826",0,0
2025.04.21.,PC,"10,469",6,0.06,"1,447","8,679",0,0
2025.04.21.,모바일,"23,475",20,0.09,606,"12,111",0,0
2025.04.22.,PC,"10,660",3,0.03,"1,041","3,124",0,0
2025.04.22.,모바일,"23,971",20,0.09,612,"12,232",0,0
2025.04.23.,PC,"10,288",4,0.04,"1,042","4,169",0,0
2025.04.23.,모바일,"24,069",13,0.06,680,"8,844",0,0
2025.04.24.,PC,"8,806",4,0.05,954,"3,817",0,0
2025.04.24.,모바일,"21,656",17,0.08,565,"9,603",0,0
2025.04.25.,PC,"8,415",0,0,0,0,0,0
2025.04.25.,모바일,"20,015",11,0.06,586,"6,446",0,0
2025.04.26.,PC,"3,811",4,0.11,"1,161","4,642",0,0
2025.04.26.,모바일,"20,891",8,0.04,359,"2,871",0,0
2025.04.27.,PC,3,0,0,0,0,0,0
2025.04.27.,모바일,64,1,1.57,"1,837","1,837",0,0
2025.04.28.,PC,"8,822",4,0.05,"1,504","6,017",0,0
2025.04.28.,모바일,"19,537",7,0.04,572,"4,004",0,0
2025.04.29.,PC,"1,301",2,0.16,"1,265","2,530",0,0
2025.04.29.,모바일,"2,204",8,0.37,"1,414","11,308",0,0
2025.04.30.,PC,697,5,0.72,889,"4,444",0,0
