"일별보고서(2025.03.31.~2025.06.30.),ohfeagyou:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,2,1,50,55,55,0,0
2025.03.31.,모바일,13,2,15.39,55,110,0,0
2025.04.01.,PC,"1,820",1,0.06,55,55,0,0
2025.04.01.,모바일,"4,214",11,0.27,197,"2,167",0,0
2025.04.02.,PC,"7,356",5,0.07,59,297,0,0
2025.04.02.,모바일,"11,446",9,0.08,332,"2,992",0,0
2025.04.03.,PC,"5,563",0,0,0,0,0,0
2025.04.03.,모바일,"10,530",16,0.16,272,"4,356",0,0
2025.04.04.,PC,"3,420",1,0.03,77,77,0,0
2025.04.04.,모바일,"7,229",17,0.24,382,"6,501",0,0
2025.04.05.,PC,"3,418",0,0,0,0,0,0
2025.04.05.,모바일,"4,701",14,0.3,299,"4,191",0,0
2025.04.06.,PC,"3,884",0,0,0,0,0,0
2025.04.06.,모바일,"5,175",13,0.26,323,"4,202",0,0
2025.04.07.,PC,"5,104",0,0,0,0,0,0
2025.04.07.,모바일,"7,802",22,0.29,316,"6,952",0,0
2025.04.08.,PC,"9,003",2,0.03,77,154,0,0
2025.04.08.,모바일,"11,164",14,0.13,380,"5,313",0,0
2025.04.09.,PC,"6,517",1,0.02,440,440,0,0
2025.04.09.,모바일,"10,864",19,0.18,333,"6,325",0,0
2025.04.10.,PC,"4,308",0,0,0,0,0,0
2025.04.10.,모바일,"7,967",18,0.23,304,"5,478",0,0
2025.04.11.,PC,"4,558",2,0.05,484,968,0,0
2025.04.11.,모바일,"6,752",18,0.27,290,"5,225",0,0
2025.04.12.,PC,"2,855",0,0,0,0,0,0
2025.04.12.,모바일,"3,994",10,0.26,309,"3,091",0,0
2025.04.13.,PC,"3,351",0,0,0,0,0,0
2025.04.13.,모바일,"3,675",17,0.47,307,"5,214",0,0
2025.04.14.,PC,"9,395",2,0.03,506,"1,012",0,0
2025.04.14.,모바일,"11,528",18,0.16,360,"6,479",0,0
2025.04.15.,PC,"5,214",1,0.02,77,77,0,0
2025.04.15.,모바일,"8,217",20,0.25,330,"6,600",0,0
2025.04.16.,PC,"7,475",1,0.02,550,550,0,0
2025.04.16.,모바일,"7,853",18,0.23,293,"5,280",0,0
2025.04.17.,PC,"5,571",1,0.02,495,495,0,0
2025.04.17.,모바일,"9,284",25,0.27,267,"6,666",0,0
2025.04.18.,PC,"4,356",2,0.05,297,594,0,0
2025.04.18.,모바일,"7,894",21,0.27,360,"7,568",0,0
2025.04.19.,PC,"4,296",0,0,0,0,0,0
