"일별보고서(2025.03.31.~2025.06.30.),onnuri68:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,314,0,0,0,0,0,0
2025.03.31.,모바일,"1,186",0,0,0,0,0,0
2025.04.01.,PC,256,2,0.79,319,638,0,0
2025.04.01.,모바일,859,1,0.12,660,660,0,0
2025.04.02.,PC,104,0,0,0,0,0,0
2025.04.02.,모바일,426,0,0,0,0,0,0
2025.04.03.,PC,179,2,1.12,330,660,0,0
2025.04.03.,모바일,464,0,0,0,0,0,0
2025.04.04.,PC,163,0,0,0,0,0,0
2025.04.04.,모바일,460,0,0,0,0,0,0
2025.04.05.,PC,118,0,0,0,0,0,0
2025.04.05.,모바일,478,0,0,0,0,0,0
2025.04.06.,PC,204,0,0,0,0,0,0
2025.04.06.,모바일,794,0,0,0,0,0,0
2025.04.07.,PC,316,0,0,0,0,0,0
2025.04.07.,모바일,839,0,0,0,0,0,0
2025.04.08.,PC,223,0,0,0,0,0,0
2025.04.08.,모바일,526,0,0,0,0,0,0
2025.04.09.,PC,267,0,0,0,0,0,0
2025.04.09.,모바일,564,0,0,0,0,0,0
2025.04.10.,PC,254,1,0.4,77,77,0,0
2025.04.10.,모바일,597,1,0.17,77,77,0,0
2025.04.11.,PC,239,0,0,0,0,0,0
2025.04.11.,모바일,606,1,0.17,627,627,0,0
2025.04.12.,PC,102,0,0,0,0,0,0
2025.04.12.,모바일,510,0,0,0,0,0,0
2025.04.13.,PC,152,0,0,0,0,0,0
2025.04.13.,모바일,642,0,0,0,0,0,0
2025.04.14.,PC,190,0,0,0,0,0,0
2025.04.14.,모바일,544,0,0,0,0,0,0
2025.04.15.,PC,173,0,0,0,0,0,0
2025.04.15.,모바일,432,0,0,0,0,0,0
2025.04.16.,PC,159,1,0.63,539,539,0,0
2025.04.16.,모바일,372,0,0,0,0,0,0
2025.04.17.,PC,298,0,0,0,0,0,0
2025.04.17.,모바일,449,0,0,0,0,0,0
2025.04.18.,PC,143,0,0,0,0,0,0
2025.04.18.,모바일,491,0,0,0,0,0,0
2025.04.19.,PC,105,0,0,0,0,0,0
2025.04.19.,모바일,474,0,0,0,0,0,0
