"일별보고서(2025.03.31.~2025.06.30.),rarien23:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.01.,PC,"67,163",12,0.02,210,"2,518.45",0,0
2025.04.01.,모바일,"261,028",158,0.07,143,"22,657.8",0,0
2025.04.02.,PC,"75,266",10,0.02,190,"1,903",0,0
2025.04.02.,모바일,"252,155",129,0.06,139,"17,945.4",0,0
2025.04.03.,PC,"61,176",3,0.01,170,510.95,0,0
2025.04.03.,모바일,"228,866",110,0.05,137,"15,114.55",0,0
2025.04.04.,PC,"53,080",9,0.02,141,"1,266.1",0,0
2025.04.04.,모바일,"245,008",115,0.05,136,"15,675",0,0
2025.04.05.,PC,"31,036",2,0.01,167,333.85,0,0
2025.04.05.,모바일,"251,027",167,0.07,141,"23,580.7",0,0
2025.04.06.,PC,"34,215",3,0.01,225,675.4,0,0
2025.04.06.,모바일,"286,865",158,0.06,151,"23,881.55",0,0
2025.04.07.,PC,"62,160",5,0.01,215,"1,076.35",0,0
2025.04.07.,모바일,"334,754",114,0.04,142,"16,174.4",0,0
2025.04.08.,PC,"61,193",14,0.03,184,"2,572.9",0,0
2025.04.08.,모바일,"356,048",102,0.03,139,"14,221.9",0,0
2025.04.09.,PC,"62,806",10,0.02,194,"1,935.45",0,0
2025.04.09.,모바일,"329,107",100,0.04,150,"15,022.7",0,0
2025.04.10.,PC,"58,313",12,0.03,161,"1,937.65",0,0
2025.04.10.,모바일,"302,205",77,0.03,144,"11,092.4",0,0
2025.04.11.,PC,"56,526",10,0.02,151,"1,511.4",0,0
2025.04.11.,모바일,"292,547",99,0.04,142,"14,086.05",0,0
2025.04.12.,PC,"41,981",9,0.03,128,"1,155",0,0
2025.04.12.,모바일,"304,162",97,0.04,142,"13,739",0,0
2025.04.13.,PC,"42,447",10,0.03,145,"1,452.55",0,0
2025.04.13.,모바일,"298,887",72,0.03,137,"9,829.6",0,0
2025.04.14.,PC,"62,351",10,0.02,179,"1,790.25",0,0
2025.04.14.,모바일,"313,310",81,0.03,129,"10,440.1",0,0
2025.04.15.,PC,"59,601",15,0.03,185,"2,779.15",0,0
2025.04.15.,모바일,"309,510",93,0.04,135,"12,596.65",0,0
2025.04.16.,PC,"59,281",9,0.02,192,"1,727",0,0
2025.04.16.,모바일,"299,080",89,0.03,146,"13,020.7",0,0
2025.04.17.,PC,"68,618",8,0.02,196,"1,571.35",0,0
2025.04.17.,모바일,"447,522",134,0.03,128,"17,197.4",0,0
2025.04.18.,PC,"65,221",7,0.02,169,"1,186.35",0,0
