"일별보고서(2025.03.31.~2025.06.30.),rhtnq3s78:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,75,0,0,0,0,0,0
2025.03.31.,모바일,341,6,1.76,279,"1,672",0,0
2025.04.01.,PC,76,0,0,0,0,0,0
2025.04.01.,모바일,312,5,1.61,416,"2,079",0,0
2025.04.02.,PC,47,0,0,0,0,0,0
2025.04.02.,모바일,238,4,1.69,525,"2,101",0,0
2025.04.03.,PC,64,0,0,0,0,0,0
2025.04.03.,모바일,357,7,1.97,366,"2,563",0,0
2025.04.04.,PC,56,1,1.79,110,110,0,0
2025.04.04.,모바일,335,6,1.8,447,"2,684",0,0
2025.04.05.,PC,24,1,4.17,825,825,0,0
2025.04.05.,모바일,324,4,1.24,344,"1,375",0,0
2025.04.06.,PC,12,0,0,0,0,0,0
2025.04.06.,모바일,296,7,2.37,352,"2,464",0,0
2025.04.07.,PC,73,0,0,0,0,0,0
2025.04.07.,모바일,301,4,1.33,352,"1,408",0,0
2025.04.08.,PC,60,1,1.67,99,99,0,0
2025.04.08.,모바일,234,4,1.71,308,"1,232",0,0
2025.04.09.,PC,46,0,0,0,0,0,0
2025.04.09.,모바일,281,3,1.07,315,946,0,0
2025.04.10.,PC,40,2,5,88,176,0,0
2025.04.10.,모바일,296,9,3.05,385,"3,465",0,0
2025.04.11.,PC,43,1,2.33,99,99,0,0
2025.04.11.,모바일,226,3,1.33,385,"1,155",0,0
2025.04.12.,PC,26,0,0,0,0,0,0
2025.04.12.,모바일,271,7,2.59,350,"2,453",0,0
2025.04.13.,PC,38,0,0,0,0,0,0
2025.04.13.,모바일,245,4,1.64,363,"1,452",0,0
2025.04.14.,PC,46,0,0,0,0,0,0
2025.04.14.,모바일,197,7,3.56,405,"2,838",0,0
2025.04.15.,PC,60,1,1.67,209,209,0,0
2025.04.15.,모바일,194,7,3.61,343,"2,398",0,0
2025.04.16.,PC,95,1,1.06,77,77,0,0
2025.04.16.,모바일,256,6,2.35,334,"2,002",0,0
2025.04.17.,PC,52,0,0,0,0,0,0
2025.04.17.,모바일,303,10,3.31,348,"3,476",0,0
2025.04.18.,PC,41,0,0,0,0,0,0
2025.04.18.,모바일,296,7,2.37,446,"3,124",0,0
2025.04.19.,PC,20,0,0,0,0,0,0
2025.04.19.,모바일,257,6,2.34,330,"1,980",0,0
