"일별보고서(2025.03.31.~2025.06.30.),skjrchan127:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,7,2,28.58,"3,927","7,854",0,0
2025.03.31.,모바일,3,0,0,0,0,0,0
2025.04.01.,PC,6,0,0,0,0,0,0
2025.04.01.,모바일,12,0,0,0,0,0,0
2025.04.02.,PC,4,1,25,"3,553","3,553",0,0
2025.04.02.,모바일,2,0,0,0,0,0,0
2025.04.03.,PC,5,0,0,0,0,0,0
2025.04.03.,모바일,11,1,9.1,88,88,0,0
2025.04.04.,PC,6,0,0,0,0,0,0
2025.04.04.,모바일,10,0,0,0,0,0,0
2025.04.05.,모바일,8,0,0,0,0,0,0
2025.04.06.,PC,2,0,0,0,0,0,0
2025.04.06.,모바일,7,1,14.29,99,99,0,0
2025.04.07.,PC,4,1,25,"5,071","5,071",0,0
2025.04.07.,모바일,4,0,0,0,0,0,0
2025.04.08.,모바일,7,1,14.29,"5,423","5,423",0,0
2025.04.09.,PC,4,1,25,"4,840","4,840",0,0
2025.04.09.,모바일,22,0,0,0,0,0,0
2025.04.10.,PC,12,0,0,0,0,0,0
2025.04.10.,모바일,10,0,0,0,0,0,0
2025.04.11.,PC,3,0,0,0,0,0,0
2025.04.11.,모바일,15,1,6.67,88,88,0,0
2025.04.12.,PC,1,0,0,0,0,0,0
2025.04.12.,모바일,2,0,0,0,0,0,0
2025.04.13.,PC,10,0,0,0,0,0,0
2025.04.13.,모바일,4,0,0,0,0,0,0
2025.04.14.,PC,4,0,0,0,0,0,0
2025.04.14.,모바일,16,0,0,0,0,0,0
2025.04.15.,PC,16,1,6.25,"3,421","3,421",0,0
2025.04.15.,모바일,7,0,0,0,0,0,0
2025.05.13.,모바일,2,0,0,0,0,0,0
2025.05.14.,모바일,1,0,0,0,0,0,0
2025.05.16.,모바일,1,1,100,"5,368","5,368",0,0
2025.06.02.,모바일,3,0,0,0,0,0,0
2025.06.03.,PC,3,0,0,0,0,0,0
2025.06.03.,모바일,7,1,14.29,"1,738","1,738",0,0
2025.06.04.,PC,5,0,0,0,0,0,0
2025.06.04.,모바일,5,0,0,0,0,0,0
2025.06.05.,PC,9,2,22.23,"3,823","7,645",0,0
2025.06.05.,모바일,2,0,0,0,0,0,0
2025.06.06.,PC,148,0,0,0,0,0,0
2025.06.06.,모바일,"1,717",0,0,0,0,0,0
2025.06.07.,PC,107,0,0,0,0,0,0
2025.06.07.,모바일,"1,602",1,0.07,77,77,0,0
2025.06.08.,PC,89,0,0,0,0,0,0
2025.06.08.,모바일,"1,679",1,0.06,77,77,0,0
2025.06.09.,PC,88,0,0,0,0,0,0
2025.06.09.,모바일,"1,492",1,0.07,77,77,0,0
2025.06.10.,PC,67,0,0,0,0,0,0
2025.06.10.,모바일,"1,881",0,0,0,0,0,0
2025.06.11.,PC,76,0,0,0,0,0,0
2025.06.11.,모바일,"1,668",0,0,0,0,0,0
2025.06.12.,PC,"1,215",0,0,0,0,0,0
2025.06.12.,모바일,"8,015",1,0.02,77,77,0,0
2025.06.13.,PC,716,1,0.14,77,77,0,0
2025.06.13.,모바일,"3,186",0,0,0,0,0,0
2025.06.14.,PC,"1,097",2,0.19,77,154,0,0
2025.06.14.,모바일,"5,734",0,0,0,0,0,0
2025.06.15.,PC,"1,309",2,0.16,77,154,0,0
2025.06.15.,모바일,"6,370",1,0.02,77,77,0,0
2025.06.16.,PC,"1,043",2,0.2,77,154,0,0
2025.06.16.,모바일,"5,436",0,0,0,0,0,0
2025.06.17.,PC,756,3,0.4,862,"2,585",0,0
2025.06.17.,모바일,"5,473",2,0.04,"2,635","5,269",0,0
2025.06.18.,PC,"1,332",1,0.08,77,77,0,0
2025.06.18.,모바일,"12,280",6,0.05,77,462,0,0
2025.06.19.,PC,"2,427",3,0.13,77,231,0,0
2025.06.19.,모바일,"24,908",3,0.02,77,231,0,0
2025.06.20.,PC,"2,809",1,0.04,77,77,0,0
2025.06.20.,모바일,"29,425",13,0.05,77,"1,001",0,0
2025.06.21.,PC,"3,703",2,0.06,165,330,0,0
2025.06.21.,모바일,"25,516",11,0.05,77,847,0,0
2025.06.22.,PC,"4,112",1,0.03,77,77,0,0
2025.06.22.,모바일,"35,730",9,0.03,77,693,0,0
2025.06.23.,PC,"1,144",1,0.09,781,781,0,0
2025.06.23.,모바일,"13,395",5,0.04,477,"2,387",0,0
2025.06.24.,PC,256,1,0.4,"1,265","1,265",0,0
2025.06.24.,모바일,412,4,0.98,682,"2,728",0,0
2025.06.25.,PC,242,2,0.83,"1,073","2,145",0,0
2025.06.25.,모바일,366,4,1.1,971,"3,883",0,0
2025.06.26.,PC,98,0,0,0,0,0,0
2025.06.26.,모바일,134,2,1.5,424,847,0,0
2025.06.27.,모바일,5,0,0,0,0,0,0
2025.06.28.,PC,1,0,0,0,0,0,0
2025.06.30.,PC,204,0,0,0,0,0,0
2025.06.30.,모바일,265,1,0.38,913,913,0,0
