"일별보고서(2025.03.31.~2025.06.30.),skyxi12:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,672,6,0.9,141,847,0,0
2025.03.31.,모바일,"2,592",22,0.85,168,"3,696",0,0
2025.04.01.,PC,373,5,1.35,220,"1,100",0,0
2025.04.01.,모바일,"1,473",13,0.89,189,"2,453",0,0
2025.04.02.,PC,599,2,0.34,154,308,0,0
2025.04.02.,모바일,"2,102",14,0.67,174,"2,431",0,0
2025.04.03.,PC,516,3,0.59,161,484,0,0
2025.04.03.,모바일,"1,772",14,0.8,175,"2,453",0,0
2025.04.04.,PC,684,4,0.59,217,869,0,0
2025.04.04.,모바일,"1,875",14,0.75,169,"2,365",0,0
2025.04.05.,PC,193,2,1.04,187,374,0,0
2025.04.05.,모바일,"3,865",30,0.78,157,"4,697",0,0
2025.04.06.,PC,278,4,1.44,206,825,0,0
2025.04.06.,모바일,"4,676",31,0.67,141,"4,367",0,0
2025.04.07.,PC,179,2,1.12,275,550,0,0
2025.04.07.,모바일,456,3,0.66,81,242,0,0
2025.04.10.,PC,359,3,0.84,84,253,0,0
2025.04.10.,모바일,653,8,1.23,129,"1,034",0,0
2025.04.11.,PC,773,8,1.04,179,"1,430",0,0
2025.04.11.,모바일,"1,881",11,0.59,131,"1,441",0,0
2025.04.12.,PC,356,3,0.85,238,715,0,0
2025.04.12.,모바일,"3,381",24,0.71,113,"2,717",0,0
2025.04.13.,PC,266,4,1.51,176,704,0,0
2025.04.13.,모바일,"3,059",38,1.25,125,"4,741",0,0
2025.04.14.,PC,702,7,1,217,"1,518",0,0
2025.04.14.,모바일,"2,621",18,0.69,142,"2,552",0,0
2025.04.15.,PC,412,7,1.7,198,"1,386",0,0
2025.04.15.,모바일,"1,198",8,0.67,153,"1,221",0,0
2025.04.16.,모바일,3,0,0,0,0,0,0
2025.04.17.,모바일,2,0,0,0,0,0,0
2025.04.20.,PC,153,1,0.66,143,143,0,0
2025.04.20.,모바일,"1,536",14,0.92,139,"1,947",0,0
2025.04.21.,PC,756,4,0.53,195,781,0,0
2025.04.21.,모바일,"2,293",21,0.92,148,"3,113",0,0
2025.04.22.,PC,564,12,2.13,177,"2,123",0,0
2025.04.22.,모바일,"1,400",11,0.79,159,"1,749",0,0
2025.04.23.,PC,23,1,4.35,242,242,0,0
2025.04.23.,모바일,101,1,1,154,154,0,0
2025.04.28.,PC,474,0,0,0,0,0,0
2025.04.28.,모바일,960,10,1.05,139,"1,386",0,0
2025.04.29.,PC,"1,264",10,0.8,188,"1,881",0,0
2025.04.29.,모바일,"2,193",13,0.6,154,"2,002",0,0
2025.04.30.,PC,"1,006",5,0.5,189,946,0,0
2025.04.30.,모바일,"2,512",24,0.96,130,"3,113",0,0
2025.05.01.,PC,547,5,0.92,112,561,0,0
2025.05.01.,모바일,"3,391",20,0.59,157,"3,146",0,0
2025.05.02.,PC,902,6,0.67,117,704,0,0
2025.05.02.,모바일,"4,737",37,0.79,120,"4,433",0,0
2025.05.03.,PC,570,2,0.36,154,308,0,0
