"일별보고서(2025.03.31.~2025.06.30.),sojininterior:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.04.07.,PC,1,0,0,0,0,0,0
2025.04.07.,모바일,5,1,20,"2,167","2,167",0,0
2025.04.08.,PC,26,2,7.7,"2,244","4,488",0,0
2025.04.08.,모바일,11,0,0,0,0,0,0
2025.04.09.,PC,7,1,14.29,"2,970","2,970",0,0
2025.04.09.,모바일,43,2,4.66,"3,823","7,645",0,0
2025.04.10.,PC,11,0,0,0,0,0,0
2025.04.10.,모바일,29,2,6.9,"3,982","7,964",0,0
2025.04.11.,PC,3,0,0,0,0,0,0
2025.04.11.,모바일,16,2,12.5,"4,092","8,184",0,0
2025.04.12.,PC,1,0,0,0,0,0,0
2025.04.12.,모바일,16,0,0,0,0,0,0
2025.04.13.,PC,2,0,0,0,0,0,0
2025.04.13.,모바일,34,3,8.83,"3,487","10,461",0,0
2025.04.14.,PC,4,1,25,"3,839","3,839",0,0
2025.04.14.,모바일,12,2,16.67,"3,421","6,842",0,0
2025.04.15.,PC,12,0,0,0,0,0,0
2025.04.15.,모바일,25,1,4,"2,189","2,189",0,0
2025.04.16.,PC,18,0,0,0,0,0,0
2025.04.16.,모바일,15,0,0,0,0,0,0
2025.04.17.,PC,1,0,0,0,0,0,0
2025.04.17.,모바일,17,1,5.89,"3,817","3,817",0,0
2025.04.18.,PC,10,1,10,"3,740","3,740",0,0
2025.04.18.,모바일,29,1,3.45,"3,762","3,762",0,0
2025.04.19.,PC,8,0,0,0,0,0,0
2025.04.19.,모바일,48,4,8.34,"3,484","13,937",0,0
2025.04.20.,PC,47,0,0,0,0,0,0
2025.04.20.,모바일,120,0,0,0,0,0,0
2025.04.21.,PC,"1,404",0,0,0,0,0,0
2025.04.21.,모바일,"5,401",6,0.12,"2,024","12,144",0,0
2025.04.22.,PC,"3,325",1,0.04,"3,047","3,047",0,0
2025.04.22.,모바일,"12,746",4,0.04,"1,752","7,007",0,0
2025.04.23.,PC,"2,248",1,0.05,"2,563","2,563",0,0
2025.04.23.,모바일,"11,205",9,0.09,"1,734","15,609",0,0
2025.04.24.,PC,40,2,5,"2,206","4,411",0,0
2025.04.24.,모바일,68,2,2.95,"1,628","3,256",0,0
2025.04.25.,PC,58,3,5.18,"3,245","9,735",0,0
2025.04.25.,모바일,73,6,8.22,666,"3,993",0,0
2025.04.26.,PC,"2,091",1,0.05,"4,774","4,774",0,0
2025.04.26.,모바일,"9,359",5,0.06,"2,343","11,715",0,0
2025.04.27.,PC,"3,111",1,0.04,"4,708","4,708",0,0
2025.04.27.,모바일,"19,977",14,0.08,"2,557","35,794",0,0
2025.04.28.,PC,"1,195",2,0.17,"2,745","5,489",0,0
2025.04.28.,모바일,"4,905",4,0.09,"2,101","8,404",0,0
2025.04.29.,PC,"2,164",3,0.14,957,"2,871",0,0
2025.04.29.,모바일,"11,123",5,0.05,"2,152","10,758",0,0
2025.04.30.,PC,"2,306",1,0.05,"2,233","2,233",0,0
2025.04.30.,모바일,"12,621",7,0.06,"2,296","16,071",0,0
2025.05.01.,PC,39,0,0,0,0,0,0
2025.05.01.,모바일,98,4,4.09,"2,041","8,162",0,0
2025.05.02.,PC,47,1,2.13,"2,431","2,431",0,0
2025.05.02.,모바일,69,3,4.35,818,"2,453",0,0
2025.05.03.,PC,19,0,0,0,0,0,0
2025.05.03.,모바일,26,0,0,0,0,0,0
2025.05.04.,PC,8,0,0,0,0,0,0
2025.05.04.,모바일,27,0,0,0,0,0,0
2025.05.05.,PC,2,0,0,0,0,0,0
2025.05.05.,모바일,32,1,3.13,"3,245","3,245",0,0
2025.05.06.,PC,25,2,8,"2,437","4,873",0,0
2025.05.06.,모바일,45,1,2.23,77,77,0,0
2025.05.07.,PC,37,2,5.41,"2,228","4,455",0,0
2025.05.07.,모바일,28,1,3.58,"2,156","2,156",0,0
2025.05.08.,PC,44,0,0,0,0,0,0
2025.05.08.,모바일,31,2,6.46,"2,217","4,433",0,0
2025.05.09.,PC,38,2,5.27,"2,426","4,851",0,0
2025.05.09.,모바일,13,2,15.39,"1,111","2,222",0,0
2025.05.10.,PC,11,1,9.1,550,550,0,0
2025.05.10.,모바일,10,1,10,"2,255","2,255",0,0
2025.05.11.,PC,9,1,11.12,"2,222","2,222",0,0
2025.05.11.,모바일,20,2,10,77,154,0,0
2025.05.12.,PC,42,2,4.77,"2,415","4,829",0,0
2025.05.12.,모바일,35,1,2.86,"1,980","1,980",0,0
2025.05.13.,PC,26,1,3.85,"2,233","2,233",0,0
2025.05.13.,모바일,17,0,0,0,0,0,0
2025.05.14.,PC,40,1,2.5,"2,409","2,409",0,0
2025.05.14.,모바일,40,2,5,"1,232","2,464",0,0
2025.05.15.,PC,24,0,0,0,0,0,0
2025.05.15.,모바일,23,2,8.7,"2,156","4,312",0,0
2025.05.16.,PC,29,1,3.45,572,572,0,0
2025.05.16.,모바일,21,0,0,0,0,0,0
2025.05.17.,PC,7,0,0,0,0,0,0
2025.05.17.,모바일,19,0,0,0,0,0,0
2025.05.18.,PC,7,0,0,0,0,0,0
2025.05.18.,모바일,18,0,0,0,0,0,0
2025.05.19.,PC,35,2,5.72,"2,277","4,554",0,0
2025.05.19.,모바일,43,4,9.31,"1,034","4,136",0,0
2025.05.20.,PC,27,2,7.41,"2,217","4,433",0,0
2025.05.20.,모바일,26,3,11.54,"1,492","4,477",0,0
2025.05.21.,PC,23,2,8.7,"2,299","4,598",0,0
2025.05.21.,모바일,18,6,33.34,975,"5,852",0,0
2025.05.22.,PC,30,0,0,0,0,0,0
2025.05.22.,모바일,29,3,10.35,275,825,0,0
2025.05.23.,PC,20,1,5,55,55,0,0
2025.05.23.,모바일,8,0,0,0,0,0,0
2025.05.24.,PC,8,0,0,0,0,0,0
2025.05.24.,모바일,24,1,4.17,"2,321","2,321",0,0
2025.05.25.,PC,2,1,50,"1,892","1,892",0,0
2025.05.25.,모바일,29,3,10.35,"2,655","7,964",0,0
2025.05.26.,PC,36,5,13.89,"1,228","6,138",0,0
2025.05.26.,모바일,18,0,0,0,0,0,0
2025.05.27.,PC,9,0,0,0,0,0,0
2025.05.27.,모바일,9,0,0,0,0,0,0
2025.05.28.,PC,3,0,0,0,0,0,0
2025.05.28.,모바일,21,2,9.53,"1,144","2,288",0,0
2025.05.29.,PC,10,0,0,0,0,0,0
2025.05.29.,모바일,27,3,11.12,"1,584","4,752",0,0
2025.05.30.,PC,23,1,4.35,"2,134","2,134",0,0
2025.05.30.,모바일,25,2,8,77,154,0,0
2025.05.31.,PC,9,0,0,0,0,0,0
2025.05.31.,모바일,25,0,0,0,0,0,0
2025.06.01.,PC,6,0,0,0,0,0,0
2025.06.01.,모바일,31,2,6.46,"1,348","2,695",0,0
2025.06.02.,PC,21,2,9.53,"2,409","4,818",0,0
2025.06.02.,모바일,29,0,0,0,0,0,0
2025.06.03.,PC,2,0,0,0,0,0,0
2025.06.03.,모바일,29,2,6.9,"1,205","2,409",0,0
2025.06.04.,PC,31,3,9.68,"2,116","6,347",0,0
2025.06.04.,모바일,21,3,14.29,77,231,0,0
2025.06.05.,PC,23,0,0,0,0,0,0
2025.06.05.,모바일,18,1,5.56,"1,859","1,859",0,0
2025.06.06.,PC,16,0,0,0,0,0,0
2025.06.06.,모바일,44,1,2.28,77,77,0,0
2025.06.07.,PC,14,0,0,0,0,0,0
2025.06.07.,모바일,65,4,6.16,"1,969","7,876",0,0
2025.06.08.,PC,7,1,14.29,"2,178","2,178",0,0
2025.06.08.,모바일,67,3,4.48,"2,270","6,809",0,0
2025.06.09.,PC,31,1,3.23,"2,255","2,255",0,0
2025.06.09.,모바일,45,1,2.23,682,682,0,0
2025.06.10.,PC,25,1,4,"3,168","3,168",0,0
2025.06.10.,모바일,44,4,9.1,"2,186","8,745",0,0
2025.06.11.,PC,37,1,2.71,"2,123","2,123",0,0
2025.06.11.,모바일,43,1,2.33,"2,288","2,288",0,0
2025.06.12.,PC,16,1,6.25,"2,288","2,288",0,0
2025.06.12.,모바일,18,3,16.67,"1,016","3,047",0,0
2025.06.13.,PC,24,1,4.17,"2,277","2,277",0,0
2025.06.13.,모바일,36,3,8.34,"1,811","5,434",0,0
2025.06.14.,모바일,27,1,3.71,"2,299","2,299",0,0
2025.06.15.,PC,5,0,0,0,0,0,0
2025.06.15.,모바일,24,3,12.5,"1,019","3,058",0,0
2025.06.16.,PC,28,1,3.58,"2,376","2,376",0,0
2025.06.16.,모바일,34,2,5.89,"1,089","2,178",0,0
2025.06.17.,PC,21,2,9.53,"2,101","4,202",0,0
2025.06.17.,모바일,18,2,11.12,"1,419","2,838",0,0
2025.06.18.,PC,12,0,0,0,0,0,0
2025.06.18.,모바일,10,0,0,0,0,0,0
2025.06.19.,PC,34,4,11.77,"2,126","8,503",0,0
2025.06.19.,모바일,23,1,4.35,"2,431","2,431",0,0
2025.06.20.,PC,20,0,0,0,0,0,0
2025.06.20.,모바일,32,2,6.25,"1,425","2,849",0,0
2025.06.21.,PC,2,0,0,0,0,0,0
2025.06.21.,모바일,23,5,21.74,"2,176","10,879",0,0
2025.06.22.,PC,10,0,0,0,0,0,0
2025.06.22.,모바일,23,2,8.7,"1,430","2,860",0,0
2025.06.23.,PC,54,0,0,0,0,0,0
2025.06.23.,모바일,30,1,3.34,"2,783","2,783",0,0
2025.06.24.,PC,19,1,5.27,"2,816","2,816",0,0
2025.06.24.,모바일,22,1,4.55,"2,310","2,310",0,0
2025.06.25.,PC,13,1,7.7,"2,244","2,244",0,0
2025.06.25.,모바일,56,6,10.72,"1,907","11,440",0,0
2025.06.26.,PC,8,0,0,0,0,0,0
2025.06.26.,모바일,27,3,11.12,"3,007","9,020",0,0
2025.06.27.,PC,38,0,0,0,0,0,0
2025.06.27.,모바일,30,1,3.34,"3,245","3,245",0,0
2025.06.28.,PC,18,0,0,0,0,0,0
2025.06.28.,모바일,23,0,0,0,0,0,0
2025.06.29.,PC,4,0,0,0,0,0,0
2025.06.29.,모바일,19,2,10.53,"2,200","4,400",0,0
2025.06.30.,PC,16,1,6.25,660,660,0,0
2025.06.30.,모바일,29,2,6.9,"1,375","2,750",0,0
