"일별보고서(2025.03.31.~2025.06.30.),soojunghou:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"14,034",9,0.07,675,"6,072",0,0
2025.03.31.,모바일,"44,911",32,0.08,624,"19,976",0,0
2025.04.01.,PC,"12,892",10,0.08,704,"7,040",0,0
2025.04.01.,모바일,"44,669",43,0.1,310,"13,343",0,0
2025.04.02.,PC,"12,839",4,0.04,822,"3,289",0,0
2025.04.02.,모바일,"40,339",38,0.1,505,"19,184",0,0
2025.04.03.,PC,"10,227",7,0.07,602,"4,213",0,0
2025.04.03.,모바일,"40,765",37,0.1,527,"19,481",0,0
2025.04.04.,PC,"7,931",5,0.07,752,"3,762",0,0
2025.04.04.,모바일,"39,109",36,0.1,485,"17,457",0,0
2025.04.05.,PC,"6,255",3,0.05,227,682,0,0
2025.04.05.,모바일,"42,702",35,0.09,463,"16,203",0,0
2025.04.06.,PC,"7,241",3,0.05,356,"1,067",0,0
2025.04.06.,모바일,"45,568",43,0.1,610,"26,213",0,0
2025.04.07.,PC,"10,092",9,0.09,917,"8,250",0,0
2025.04.07.,모바일,"44,006",41,0.1,685,"28,094",0,0
2025.04.08.,PC,"10,815",10,0.1,904,"9,042",0,0
2025.04.08.,모바일,"46,738",38,0.09,483,"18,370",0,0
2025.04.09.,PC,"10,551",9,0.09,"1,089","9,801",0,0
2025.04.09.,모바일,"49,224",40,0.09,834,"33,374",0,0
2025.04.10.,PC,"9,298",11,0.12,764,"8,404",0,0
2025.04.10.,모바일,"47,665",47,0.1,492,"23,122",0,0
2025.04.11.,PC,"8,549",6,0.08,752,"4,510",0,0
2025.04.11.,모바일,"47,236",43,0.1,501,"21,549",0,0
2025.04.12.,PC,"6,687",6,0.09,"1,260","7,557",0,0
2025.04.12.,모바일,"46,814",34,0.08,597,"20,284",0,0
2025.04.13.,PC,"7,642",5,0.07,361,"1,804",0,0
2025.04.13.,모바일,"52,567",52,0.1,461,"23,947",0,0
2025.04.14.,PC,"10,208",8,0.08,894,"7,150",0,0
2025.04.14.,모바일,"50,094",35,0.07,525,"18,381",0,0
2025.04.15.,PC,"9,423",13,0.14,585,"7,601",0,0
2025.04.15.,모바일,"44,262",40,0.1,437,"17,468",0,0
2025.04.16.,PC,"9,716",7,0.08,680,"4,763",0,0
2025.04.16.,모바일,"45,315",39,0.09,474,"18,502",0,0
2025.04.17.,PC,"9,798",13,0.14,891,"11,583",0,0
2025.04.17.,모바일,"48,148",53,0.12,645,"34,177",0,0
2025.04.18.,PC,"8,508",14,0.17,852,"11,924",0,0
2025.04.18.,모바일,"43,550",53,0.13,680,"36,036",0,0
2025.04.19.,PC,"7,839",6,0.08,264,"1,584",0,0
2025.04.19.,모바일,"48,196",51,0.11,454,"23,133",0,0
2025.04.20.,PC,"8,408",12,0.15,438,"5,258",0,0
2025.04.20.,모바일,"52,776",53,0.11,840,"44,506",0,0
2025.04.21.,PC,"11,075",18,0.17,614,"11,055",0,0
2025.04.21.,모바일,"50,124",58,0.12,372,"21,593",0,0
2025.04.22.,PC,"10,790",19,0.18,592,"11,242",0,0
2025.04.22.,모바일,"52,992",54,0.11,434,"23,452",0,0
2025.04.23.,PC,"10,608",13,0.13,378,"4,917",0,0
2025.04.23.,모바일,"54,183",45,0.09,629,"28,303",0,0
2025.04.24.,PC,"9,913",9,0.1,474,"4,268",0,0
2025.04.24.,모바일,"51,923",62,0.12,482,"29,876",0,0
2025.04.25.,PC,"9,437",11,0.12,919,"10,109",0,0
2025.04.25.,모바일,"49,932",47,0.1,480,"22,539",0,0
2025.04.26.,PC,"7,755",6,0.08,251,"1,507",0,0
2025.04.26.,모바일,"49,814",53,0.11,425,"22,528",0,0
2025.04.27.,PC,"7,870",3,0.04,"4,844","14,531",0,0
2025.04.27.,모바일,"53,491",44,0.09,394,"17,325",0,0
2025.04.28.,PC,"9,423",20,0.22,801,"16,016",0,0
2025.04.28.,모바일,"51,215",30,0.06,444,"13,321",0,0
2025.04.29.,PC,"9,938",13,0.14,479,"6,226",0,0
2025.04.29.,모바일,"47,180",42,0.09,238,"9,977",0,0
2025.04.30.,PC,"10,079",14,0.14,514,"7,194",0,0
2025.04.30.,모바일,"45,436",49,0.11,596,"29,205",0,0
2025.05.01.,PC,"9,015",11,0.13,752,"8,272",0,0
2025.05.01.,모바일,"43,157",41,0.1,523,"21,439",0,0
2025.05.02.,PC,"8,636",9,0.11,463,"4,169",0,0
2025.05.02.,모바일,"43,424",27,0.07,371,"10,010",0,0
2025.05.03.,PC,"6,953",4,0.06,737,"2,948",0,0
2025.05.03.,모바일,"43,731",33,0.08,540,"17,820",0,0
2025.05.04.,PC,"6,485",2,0.04,"1,111","2,222",0,0
2025.05.04.,모바일,"46,104",51,0.12,493,"25,135",0,0
2025.05.05.,PC,"7,277",7,0.1,658,"4,609",0,0
2025.05.05.,모바일,"48,132",44,0.1,542,"23,837",0,0
2025.05.06.,PC,"8,165",5,0.07,295,"1,474",0,0
2025.05.06.,모바일,"49,410",42,0.09,595,"24,981",0,0
2025.05.07.,PC,"10,295",15,0.15,528,"7,920",0,0
2025.05.07.,모바일,"49,763",46,0.1,533,"24,530",0,0
2025.05.08.,PC,"10,007",9,0.09,447,"4,026",0,0
2025.05.08.,모바일,"44,453",37,0.09,392,"14,498",0,0
2025.05.09.,PC,"10,290",11,0.11,445,"4,895",0,0
2025.05.09.,모바일,"46,087",40,0.09,503,"20,130",0,0
2025.05.10.,PC,"8,519",6,0.08,513,"3,080",0,0
2025.05.10.,모바일,"48,176",40,0.09,532,"21,263",0,0
2025.05.11.,PC,"9,067",5,0.06,475,"2,376",0,0
2025.05.11.,모바일,"50,572",40,0.08,559,"22,352",0,0
2025.05.12.,PC,"11,131",12,0.11,905,"10,857",0,0
2025.05.12.,모바일,"46,645",42,0.1,468,"19,657",0,0
2025.05.13.,PC,"8,637",15,0.18,528,"7,920",0,0
2025.05.13.,모바일,"44,736",28,0.07,293,"8,217",0,0
2025.05.14.,PC,"5,853",9,0.16,636,"5,720",0,0
2025.05.14.,모바일,"44,340",51,0.12,471,"24,024",0,0
2025.05.15.,PC,"5,902",10,0.17,557,"5,566",0,0
2025.05.15.,모바일,"43,082",58,0.14,351,"20,361",0,0
2025.05.16.,PC,"5,640",15,0.27,376,"5,643",0,0
2025.05.16.,모바일,"40,440",48,0.12,465,"22,330",0,0
2025.05.17.,PC,"4,913",9,0.19,345,"3,102",0,0
2025.05.17.,모바일,"40,756",38,0.1,438,"16,632",0,0
2025.05.18.,PC,"5,229",5,0.1,563,"2,816",0,0
2025.05.18.,모바일,"49,150",55,0.12,324,"17,831",0,0
2025.05.19.,PC,"6,376",15,0.24,659,"9,878",0,0
2025.05.19.,모바일,"51,945",39,0.08,373,"14,553",0,0
2025.05.20.,PC,"5,980",15,0.26,415,"6,226",0,0
2025.05.20.,모바일,"48,584",44,0.1,394,"17,347",0,0
2025.05.21.,PC,"5,348",13,0.25,395,"5,137",0,0
2025.05.21.,모바일,"48,876",46,0.1,429,"19,712",0,0
2025.05.22.,PC,"6,508",16,0.25,591,"9,449",0,0
2025.05.22.,모바일,"57,960",61,0.11,437,"26,642",0,0
2025.05.23.,PC,"6,068",4,0.07,231,924,0,0
2025.05.23.,모바일,"49,127",35,0.08,403,"14,091",0,0
2025.05.24.,PC,"4,302",3,0.07,557,"1,672",0,0
2025.05.24.,모바일,"47,954",46,0.1,418,"19,206",0,0
2025.05.25.,PC,"5,183",8,0.16,"1,046","8,371",0,0
2025.05.25.,모바일,"48,508",43,0.09,932,"40,095",0,0
2025.05.26.,PC,"3,727",19,0.51,475,"9,020",0,0
2025.05.26.,모바일,"29,745",41,0.14,420,"17,226",0,0
2025.05.27.,PC,"1,554",15,0.97,653,"9,790",0,0
2025.05.27.,모바일,"2,677",24,0.9,719,"17,259",0,0
2025.05.28.,PC,"1,609",8,0.5,385,"3,080",0,0
2025.05.28.,모바일,"2,744",20,0.73,778,"15,565",0,0
2025.05.29.,PC,"1,526",8,0.53,287,"2,299",0,0
2025.05.29.,모바일,"2,595",26,1.01,536,"13,937",0,0
2025.05.30.,PC,"1,274",6,0.48,471,"2,827",0,0
2025.05.30.,모바일,"2,262",18,0.8,638,"11,484",0,0
2025.05.31.,PC,699,6,0.86,557,"3,344",0,0
2025.05.31.,모바일,"2,356",19,0.81,653,"12,408",0,0
2025.06.01.,PC,627,5,0.8,537,"2,684",0,0
2025.06.01.,모바일,"2,181",15,0.69,910,"13,651",0,0
2025.06.02.,PC,"1,370",14,1.03,602,"8,426",0,0
2025.06.02.,모바일,"2,128",10,0.47,888,"8,877",0,0
2025.06.03.,PC,690,4,0.58,399,"1,595",0,0
2025.06.03.,모바일,"2,896",21,0.73,530,"11,121",0,0
2025.06.04.,PC,"1,531",12,0.79,913,"10,956",0,0
2025.06.04.,모바일,"2,897",26,0.9,780,"20,284",0,0
2025.06.05.,PC,"1,424",8,0.57,393,"3,146",0,0
2025.06.05.,모바일,"2,623",22,0.84,653,"14,366",0,0
2025.06.06.,PC,643,2,0.32,396,792,0,0
2025.06.06.,모바일,"2,571",15,0.59,538,"8,074",0,0
2025.06.07.,PC,651,3,0.47,341,"1,023",0,0
2025.06.07.,모바일,"2,963",25,0.85,481,"12,023",0,0
2025.06.08.,PC,597,2,0.34,336,671,0,0
2025.06.08.,모바일,"2,584",20,0.78,392,"7,832",0,0
2025.06.09.,PC,"1,644",10,0.61,444,"4,444",0,0
2025.06.09.,모바일,"2,354",24,1.02,781,"18,733",0,0
2025.06.10.,PC,"1,354",9,0.67,420,"3,784",0,0
2025.06.10.,모바일,"2,271",22,0.97,734,"16,148",0,0
2025.06.11.,PC,"1,375",12,0.88,498,"5,973",0,0
2025.06.11.,모바일,"2,415",19,0.79,926,"17,600",0,0
2025.06.12.,PC,884,9,1.02,"2,388","21,494",0,0
2025.06.12.,모바일,"1,224",10,0.82,"1,376","13,761",0,0
2025.06.13.,PC,"1,280",5,0.4,363,"1,815",0,0
2025.06.13.,모바일,"2,108",20,0.95,771,"15,411",0,0
2025.06.14.,PC,741,7,0.95,858,"6,006",0,0
2025.06.14.,모바일,"2,149",26,1.21,806,"20,955",0,0
2025.06.15.,PC,270,0,0,0,0,0,0
2025.06.15.,모바일,725,5,0.69,605,"3,025",0,0
2025.06.16.,PC,211,2,0.95,281,561,0,0
2025.06.16.,모바일,618,8,1.3,"1,114","8,910",0,0
2025.06.17.,PC,"1,303",11,0.85,328,"3,608",0,0
2025.06.17.,모바일,"2,623",18,0.69,722,"12,991",0,0
2025.06.18.,PC,94,1,1.07,121,121,0,0
2025.06.18.,모바일,588,4,0.69,743,"2,970",0,0
2025.06.21.,PC,337,4,1.19,253,"1,012",0,0
2025.06.21.,모바일,"1,134",11,0.98,"1,070","11,770",0,0
2025.06.22.,PC,509,2,0.4,451,902,0,0
2025.06.22.,모바일,"2,251",19,0.85,"1,039","19,734",0,0
2025.06.23.,PC,"1,256",6,0.48,308,"1,848",0,0
2025.06.23.,모바일,"1,983",10,0.51,840,"8,404",0,0
2025.06.24.,PC,"1,252",12,0.96,673,"8,074",0,0
2025.06.24.,모바일,"2,073",15,0.73,"1,078","16,170",0,0
2025.06.25.,PC,"1,825",25,1.37,353,"8,833",0,0
2025.06.25.,모바일,"2,530",29,1.15,846,"24,530",0,0
2025.06.26.,PC,"1,202",15,1.25,433,"6,490",0,0
2025.06.26.,모바일,"1,933",15,0.78,607,"9,108",0,0
2025.06.27.,PC,"1,401",20,1.43,577,"11,539",0,0
2025.06.27.,모바일,"2,461",18,0.74,809,"14,564",0,0
2025.06.28.,PC,"1,665",30,1.81,433,"13,002",0,0
2025.06.28.,모바일,"3,943",69,1.75,402,"27,731",0,0
2025.06.29.,PC,827,9,1.09,430,"3,872",0,0
2025.06.29.,모바일,"2,311",32,1.39,397,"12,705",0,0
2025.06.30.,PC,503,5,1,341,"1,705",0,0
2025.06.30.,모바일,"1,150",12,1.05,434,"5,203",0,0
