"일별보고서(2025.03.31.~2025.06.30.),sooppeu:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,150,6,4,"1,214","7,282",0,0
2025.03.31.,모바일,72,4,5.56,828,"3,311",0,0
2025.04.01.,PC,142,4,2.82,"1,939","7,755",0,0
2025.04.01.,모바일,99,5,5.06,"1,030","5,148",0,0
2025.04.02.,PC,85,8,9.42,"1,583","12,661",1,"1,020,000"
2025.04.02.,모바일,72,1,1.39,77,77,0,0
2025.04.03.,PC,97,6,6.19,"1,038","6,226",0,0
2025.04.03.,모바일,49,2,4.09,"1,617","3,234",0,0
2025.04.04.,PC,91,7,7.7,"1,678","11,748",0,0
2025.04.04.,모바일,89,2,2.25,"1,766","3,531",0,0
2025.04.05.,PC,47,1,2.13,"1,298","1,298",0,0
2025.04.05.,모바일,62,2,3.23,"1,601","3,201",0,0
2025.04.06.,PC,29,1,3.45,"2,112","2,112",0,0
2025.04.06.,모바일,64,1,1.57,"1,496","1,496",0,0
2025.04.07.,PC,158,7,4.44,"1,650","11,550",0,0
2025.04.07.,모바일,79,5,6.33,"1,071","5,357",0,0
2025.04.08.,PC,145,9,6.21,"1,778","16,005",0,0
2025.04.08.,모바일,110,6,5.46,"1,667","9,999",0,0
2025.04.09.,PC,165,7,4.25,"1,428","9,999",0,0
2025.04.09.,모바일,103,2,1.95,"1,584","3,168",0,0
2025.04.10.,PC,142,6,4.23,"1,307","7,843",0,0
2025.04.10.,모바일,86,0,0,0,0,0,0
2025.04.11.,PC,115,5,4.35,"1,162","5,808",0,0
2025.04.11.,모바일,84,2,2.39,"1,606","3,212",0,0
2025.04.12.,PC,31,1,3.23,"2,365","2,365",0,0
2025.04.12.,모바일,92,4,4.35,"1,015","4,059",0,0
2025.04.13.,PC,37,0,0,0,0,0,0
2025.04.13.,모바일,108,2,1.86,"1,914","3,828",0,0
2025.04.14.,PC,158,6,3.8,"1,591","9,548",0,0
2025.04.14.,모바일,102,4,3.93,817,"3,267",0,0
2025.04.15.,PC,148,4,2.71,968,"3,872",0,0
2025.04.15.,모바일,104,7,6.74,"1,179","8,250",0,0
2025.04.16.,PC,123,3,2.44,"1,247","3,740",0,0
2025.04.16.,모바일,85,3,3.53,"1,144","3,432",0,0
2025.04.17.,PC,146,6,4.11,"1,219","7,315",0,0
2025.04.17.,모바일,115,6,5.22,994,"5,962",0,0
2025.04.18.,PC,177,8,4.52,884,"7,073",0,0
2025.04.18.,모바일,164,5,3.05,"1,124","5,621",0,0
2025.04.19.,PC,49,2,4.09,"1,579","3,157",0,0
2025.04.19.,모바일,121,2,1.66,55,110,0,0
2025.04.20.,PC,70,4,5.72,"2,167","8,668",0,0
2025.04.20.,모바일,164,6,3.66,"1,349","8,096",0,0
2025.04.21.,PC,197,9,4.57,"1,078","9,702",0,0
2025.04.21.,모바일,158,4,2.54,440,"1,760",0,0
2025.04.22.,PC,216,12,5.56,"1,002","12,023",0,0
2025.04.22.,모바일,185,6,3.25,856,"5,137",0,0
2025.04.23.,PC,186,8,4.31,855,"6,842",0,0
2025.04.23.,모바일,172,2,1.17,"1,128","2,255",0,0
2025.04.24.,PC,222,3,1.36,711,"2,134",0,0
2025.04.24.,모바일,130,3,2.31,902,"2,706",0,0
2025.04.25.,PC,170,10,5.89,878,"8,778",0,0
2025.04.25.,모바일,133,3,2.26,792,"2,376",0,0
2025.04.26.,PC,40,2,5,"1,111","2,222",0,0
2025.04.26.,모바일,127,3,2.37,851,"2,552",0,0
2025.04.27.,PC,54,2,3.71,"1,210","2,420",0,0
2025.04.27.,모바일,159,7,4.41,932,"6,523",0,0
2025.04.28.,PC,177,2,1.13,"1,128","2,255",0,0
2025.04.28.,모바일,179,5,2.8,834,"4,169",1,"288,000"
2025.04.29.,PC,213,8,3.76,806,"6,446",1,"104,000"
2025.04.29.,모바일,200,5,2.5,587,"2,937",0,0
2025.04.30.,PC,195,6,3.08,968,"5,808",0,0
2025.04.30.,모바일,178,6,3.38,"1,150","6,897",0,0
