"일별보고서(2025.03.31.~2025.06.30.),ssosso0947:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"1,464",4,0.28,"1,282","5,126.55",0,0
2025.03.31.,모바일,"2,530",32,1.27,904,"28,914.05",0,0
2025.04.01.,PC,"1,972",10,0.51,"1,098","10,979.1",0,0
2025.04.01.,모바일,"4,365",20,0.46,"1,077","21,532.5",0,0
2025.04.02.,PC,"1,961",6,0.31,"1,304","7,821",0,0
2025.04.02.,모바일,"3,412",28,0.83,"1,041","29,142.85",0,0
2025.04.03.,PC,"2,230",10,0.45,"1,215","12,154.45",0,0
2025.04.03.,모바일,"4,602",24,0.53,934,"22,404.8",0,0
2025.04.04.,PC,"1,656",9,0.55,"1,182","10,640.3",0,0
2025.04.04.,모바일,"4,536",22,0.49,986,"21,692",0,0
2025.04.05.,PC,533,5,0.94,"1,007","5,033.6",0,0
2025.04.05.,모바일,"2,354",20,0.85,979,"19,578.35",0,0
2025.04.06.,모바일,12,0,0,0,0,0,0
2025.04.07.,모바일,9,0,0,0,0,0,0
2025.04.08.,모바일,10,0,0,0,0,0,0
2025.04.09.,모바일,10,0,0,0,0,0,0
2025.04.10.,모바일,12,0,0,0,0,0,0
2025.04.11.,모바일,7,0,0,0,0,0,0
2025.04.19.,PC,333,2,0.61,"1,256","2,511.3",0,0
2025.04.19.,모바일,"1,615",27,1.68,"1,111","29,991.5",0,0
2025.04.20.,PC,"1,117",6,0.54,"1,311","7,866.65",0,0
2025.04.20.,모바일,"7,812",27,0.35,975,"26,321.35",0,0
2025.04.21.,PC,"2,422",7,0.29,"1,188","8,315.45",0,0
2025.04.21.,모바일,"6,576",21,0.32,"1,178","24,736.25",0,0
2025.04.22.,PC,"2,189",8,0.37,"1,126","9,009",0,0
2025.04.22.,모바일,"3,357",25,0.75,"1,079","26,974.2",0,0
2025.04.23.,PC,"1,585",8,0.51,"1,159","9,274.65",0,0
2025.04.23.,모바일,"3,076",19,0.62,"1,050","19,952.35",0,0
2025.04.24.,PC,"1,677",4,0.24,"1,013","4,050.2",0,0
2025.04.24.,모바일,"3,730",22,0.59,"1,126","24,774.2",0,0
2025.04.25.,PC,"1,651",9,0.55,981,"8,830.25",0,0
2025.04.25.,모바일,"4,094",26,0.64,927,"24,107.6",0,0
2025.04.26.,PC,823,2,0.25,"1,480","2,959",0,0
