"일별보고서(2025.03.31.~2025.06.30.),yhkimso:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,259,1,0.39,176,176,0,0
2025.03.31.,모바일,468,7,1.5,127,891,0,0
2025.04.01.,PC,231,2,0.87,176,352,0,0
2025.04.01.,모바일,438,11,2.52,124,"1,364",0,0
2025.04.02.,PC,237,2,0.85,176,352,0,0
2025.04.02.,모바일,352,11,3.13,97,"1,067",0,0
2025.04.03.,PC,232,1,0.44,209,209,0,0
2025.04.03.,모바일,459,6,1.31,141,847,0,0
2025.04.04.,PC,180,0,0,0,0,0,0
2025.04.04.,모바일,498,9,1.81,127,"1,144",0,0
2025.04.05.,PC,87,0,0,0,0,0,0
2025.04.05.,모바일,468,6,1.29,106,638,0,0
2025.04.06.,PC,52,0,0,0,0,0,0
2025.04.06.,모바일,393,5,1.28,141,704,0,0
2025.04.07.,PC,313,2,0.64,176,352,0,0
2025.04.07.,모바일,436,7,1.61,88,616,0,0
2025.04.08.,PC,176,1,0.57,176,176,0,0
2025.04.08.,모바일,443,14,3.17,132,"1,848",0,0
2025.04.09.,PC,175,0,0,0,0,0,0
2025.04.09.,모바일,502,8,1.6,140,"1,122",0,0
2025.04.10.,PC,209,1,0.48,165,165,0,0
2025.04.10.,모바일,587,12,2.05,118,"1,419",0,0
2025.04.11.,PC,137,1,0.73,110,110,0,0
2025.04.11.,모바일,427,5,1.18,106,528,0,0
2025.04.12.,PC,90,2,2.23,176,352,0,0
2025.04.12.,모바일,488,2,0.41,116,231,0,0
2025.04.13.,PC,53,0,0,0,0,0,0
2025.04.13.,모바일,544,10,1.84,138,"1,375",0,0
2025.04.14.,PC,191,0,0,0,0,0,0
2025.04.14.,모바일,389,9,2.32,109,979,0,0
2025.04.15.,PC,162,4,2.47,151,605,0,0
2025.04.15.,모바일,407,8,1.97,121,968,0,0
2025.04.16.,PC,183,0,0,0,0,0,0
2025.04.16.,모바일,449,9,2.01,132,"1,188",0,0
2025.04.17.,PC,186,3,1.62,136,407,0,0
2025.04.17.,모바일,496,15,3.03,105,"1,573",0,0
2025.04.18.,PC,165,2,1.22,138,275,0,0
2025.04.18.,모바일,653,15,2.3,133,"1,991",0,0
2025.04.19.,PC,56,1,1.79,55,55,0,0
2025.04.19.,모바일,566,14,2.48,146,"2,046",0,0
2025.04.20.,PC,48,1,2.09,121,121,0,0
2025.04.20.,모바일,680,7,1.03,145,"1,012",0,0
2025.04.21.,PC,179,0,0,0,0,0,0
2025.04.21.,모바일,682,15,2.2,136,"2,046",0,0
2025.04.22.,PC,208,0,0,0,0,0,0
2025.04.22.,모바일,552,9,1.64,94,847,0,0
2025.04.23.,PC,58,0,0,0,0,0,0
2025.04.23.,모바일,170,4,2.36,127,506,0,0
2025.04.25.,모바일,1,0,0,0,0,0,0
2025.04.29.,PC,241,2,0.83,143,286,0,0
2025.04.29.,모바일,425,8,1.89,72,572,0,0
2025.04.30.,PC,305,1,0.33,55,55,0,0
2025.04.30.,모바일,808,7,0.87,71,495,0,0
2025.05.01.,PC,140,1,0.72,176,176,0,0
2025.05.01.,모바일,851,7,0.83,75,528,0,0
2025.05.02.,PC,204,0,0,0,0,0,0
2025.05.02.,모바일,794,6,0.76,81,484,0,0
2025.05.03.,PC,93,0,0,0,0,0,0
2025.05.03.,모바일,778,12,1.55,120,"1,441",0,0
2025.05.04.,PC,72,0,0,0,0,0,0
2025.05.04.,모바일,728,9,1.24,108,968,0,0
2025.05.05.,PC,76,2,2.64,77,154,0,0
2025.05.05.,모바일,783,7,0.9,68,473,0,0
2025.05.06.,PC,96,1,1.05,77,77,0,0
2025.05.06.,모바일,681,10,1.47,86,858,0,0
2025.05.07.,PC,236,0,0,0,0,0,0
2025.05.07.,모바일,762,9,1.19,62,561,0,0
2025.05.08.,PC,273,1,0.37,77,77,0,0
2025.05.08.,모바일,756,9,1.2,65,583,0,0
2025.05.09.,PC,185,0,0,0,0,0,0
2025.05.09.,모바일,649,12,1.85,92,"1,100",0,0
2025.05.10.,PC,103,1,0.98,77,77,0,0
2025.05.10.,모바일,632,9,1.43,64,572,0,0
2025.05.11.,PC,76,0,0,0,0,0,0
2025.05.11.,모바일,721,4,0.56,99,396,0,0
2025.05.12.,PC,274,0,0,0,0,0,0
2025.05.12.,모바일,641,6,0.94,73,440,0,0
2025.05.13.,PC,220,1,0.46,66,66,0,0
2025.05.13.,모바일,724,5,0.7,79,396,0,0
2025.05.14.,PC,160,2,1.25,149,297,0,0
2025.05.14.,모바일,874,8,0.92,66,528,0,0
2025.05.15.,PC,147,1,0.69,209,209,0,0
2025.05.15.,모바일,712,7,0.99,115,803,0,0
2025.05.16.,PC,167,0,0,0,0,0,0
2025.05.16.,모바일,579,2,0.35,66,132,0,0
2025.05.17.,PC,58,0,0,0,0,0,0
2025.05.17.,모바일,645,9,1.4,71,638,0,0
2025.05.18.,PC,70,0,0,0,0,0,0
2025.05.18.,모바일,680,10,1.48,83,825,0,0
2025.05.19.,PC,222,0,0,0,0,0,0
2025.05.19.,모바일,688,9,1.31,100,902,0,0
2025.05.20.,PC,129,1,0.78,77,77,0,0
2025.05.20.,모바일,756,9,1.2,75,671,0,0
2025.05.21.,PC,210,0,0,0,0,0,0
2025.05.21.,모바일,882,10,1.14,81,814,0,0
2025.05.22.,PC,159,1,0.63,77,77,0,0
2025.05.22.,모바일,742,12,1.62,69,825,0,0
2025.05.23.,PC,182,0,0,0,0,0,0
2025.05.23.,모바일,792,9,1.14,94,847,0,0
2025.05.24.,PC,72,0,0,0,0,0,0
2025.05.24.,모바일,644,7,1.09,104,726,0,0
2025.05.25.,PC,57,0,0,0,0,0,0
2025.05.25.,모바일,697,8,1.15,125,"1,001",0,0
2025.05.26.,PC,169,2,1.19,165,330,0,0
2025.05.26.,모바일,693,15,2.17,90,"1,353",0,0
2025.05.27.,PC,151,2,1.33,77,154,0,0
2025.05.27.,모바일,696,11,1.59,111,"1,221",0,0
2025.05.28.,PC,252,1,0.4,220,220,0,0
2025.05.28.,모바일,"1,268",4,0.32,69,275,0,0
2025.05.29.,PC,256,2,0.79,171,341,0,0
2025.05.29.,모바일,"1,239",11,0.89,124,"1,364",0,0
2025.05.30.,PC,206,0,0,0,0,0,0
2025.05.30.,모바일,"1,496",18,1.21,116,"2,090",0,0
2025.05.31.,PC,109,1,0.92,110,110,0,0
2025.05.31.,모바일,"1,374",12,0.88,113,"1,353",0,0
2025.06.01.,PC,110,1,0.91,55,55,0,0
2025.06.01.,모바일,"1,346",17,1.27,108,"1,837",0,0
2025.06.02.,PC,192,5,2.61,101,506,0,0
2025.06.02.,모바일,"1,268",13,1.03,125,"1,628",0,0
2025.06.03.,PC,73,1,1.37,220,220,0,0
2025.06.03.,모바일,980,13,1.33,109,"1,419",0,0
2025.06.04.,PC,165,0,0,0,0,0,0
2025.06.04.,모바일,"1,176",9,0.77,138,"1,243",0,0
2025.06.05.,PC,197,1,0.51,55,55,0,0
2025.06.05.,모바일,"1,090",21,1.93,145,"3,047",0,0
2025.06.06.,PC,59,0,0,0,0,0,0
2025.06.06.,모바일,"1,205",14,1.17,79,"1,100",0,0
2025.06.07.,PC,95,1,1.06,110,110,0,0
2025.06.07.,모바일,954,18,1.89,111,"2,002",0,0
2025.06.08.,PC,73,0,0,0,0,0,0
2025.06.08.,모바일,911,15,1.65,110,"1,650",0,0
2025.06.09.,PC,168,1,0.6,121,121,0,0
2025.06.09.,모바일,"1,092",20,1.84,94,"1,881",0,0
2025.06.10.,PC,242,1,0.42,55,55,0,0
2025.06.10.,모바일,867,14,1.62,163,"2,288",0,0
2025.06.11.,PC,186,1,0.54,55,55,0,0
2025.06.11.,모바일,"1,072",18,1.68,111,"2,002",0,0
