"일별보고서(2025.03.31.~2025.06.30.),zigus99:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,"4,472",6,0.14,678,"4,070",0,0
2025.03.31.,모바일,"5,648",38,0.68,830,"31,537",0,0
2025.04.01.,PC,"2,863",10,0.35,980,"9,801",0,0
2025.04.01.,모바일,"3,317",24,0.73,645,"15,488",1,"13,770"
2025.04.02.,PC,"5,244",12,0.23,949,"11,385",0,0
2025.04.02.,모바일,"5,860",33,0.57,876,"28,897",1,"48,680"
2025.04.03.,PC,"3,041",15,0.5,929,"13,937",0,0
2025.04.03.,모바일,"5,813",34,0.59,"1,075","36,542",1,"13,770"
2025.04.04.,PC,"2,392",10,0.42,844,"8,437",0,0
2025.04.04.,모바일,"4,699",36,0.77,945,"34,012",2,"103,730"
2025.04.05.,PC,"1,536",2,0.14,968,"1,936",0,0
2025.04.05.,모바일,"5,634",43,0.77,903,"38,808",0,0
2025.04.06.,PC,"1,516",4,0.27,413,"1,650",0,0
2025.04.06.,모바일,"4,903",41,0.84,904,"37,059",0,0
2025.04.07.,PC,"11,248",11,0.1,789,"8,679",1,"32,680"
2025.04.07.,모바일,"8,250",44,0.54,"1,001","44,022",1,"37,680"
2025.04.08.,PC,"3,695",8,0.22,"1,024","8,195",0,0
2025.04.08.,모바일,"5,220",31,0.6,"1,045","32,395",2,"180,200"
2025.04.09.,PC,"4,410",14,0.32,"1,045","14,630",2,"89,200"
2025.04.09.,모바일,"5,788",30,0.52,967,"29,018",1,"21,770"
2025.04.10.,PC,"4,508",9,0.2,"1,065","9,581",1,"32,400"
2025.04.10.,모바일,"5,183",36,0.7,"1,005","36,168",2,"297,900"
2025.04.11.,PC,"4,669",8,0.18,"1,360","10,879",3,"53,400"
2025.04.11.,모바일,"5,648",29,0.52,951,"27,588",0,0
2025.04.12.,PC,"2,210",9,0.41,"1,106","9,955",0,0
2025.04.12.,모바일,"6,549",40,0.62,"1,031","41,250",2,"186,680"
2025.04.13.,PC,"2,769",10,0.37,"1,029","10,285",0,0
2025.04.13.,모바일,"8,227",58,0.71,924,"53,581",0,0
2025.04.14.,PC,"6,413",22,0.35,681,"14,982",0,0
2025.04.14.,모바일,"8,025",49,0.62,"1,028","50,358",3,"144,630"
2025.04.15.,PC,"6,161",21,0.35,"1,016","21,329",1,"32,680"
2025.04.15.,모바일,"6,329",37,0.59,"1,095","40,524",1,"40,680"
2025.04.16.,PC,"14,772",10,0.07,979,"9,790",0,0
2025.04.16.,모바일,"11,852",30,0.26,883,"26,477",1,"14,500"
2025.04.17.,PC,"4,951",13,0.27,937,"12,177",1,"27,400"
2025.04.17.,모바일,"7,048",31,0.44,988,"30,624",1,"34,400"
2025.04.18.,PC,"7,925",12,0.16,885,"10,615",1,"46,310"
2025.04.18.,모바일,"8,650",28,0.33,"1,035","28,974",0,0
2025.04.19.,PC,"4,065",5,0.13,"1,129","5,643",0,0
2025.04.19.,모바일,"7,248",46,0.64,"1,192","54,824",0,0
2025.04.20.,PC,"4,928",7,0.15,"1,410","9,867",0,0
2025.04.20.,모바일,"8,565",53,0.62,"1,003","53,185",0,0
2025.04.21.,PC,"13,356",9,0.07,"1,259","11,330",0,0
2025.04.21.,모바일,"9,238",60,0.65,996,"59,752",0,0
2025.04.22.,PC,"4,832",17,0.36,963,"16,379",0,0
2025.04.22.,모바일,"6,035",43,0.72,953,"40,997",1,"172,500"
2025.04.23.,PC,"6,464",8,0.13,817,"6,534",0,0
2025.04.23.,모바일,"6,877",36,0.53,"1,021","36,751",1,"32,680"
2025.04.24.,PC,"15,708",5,0.04,873,"4,367",0,0
2025.04.24.,모바일,"11,621",30,0.26,891,"26,730",3,"138,580"
2025.04.25.,PC,"6,498",6,0.1,865,"5,192",2,"121,610"
2025.04.25.,모바일,"6,748",34,0.51,"1,020","34,672",0,0
2025.04.26.,PC,"11,038",6,0.06,"1,060","6,358",0,0
2025.04.26.,모바일,"7,081",26,0.37,969,"25,201",1,"23,180"
2025.04.27.,PC,"11,415",8,0.08,798,"6,380",0,0
2025.04.27.,모바일,"7,865",36,0.46,774,"27,874",0,0
2025.04.28.,PC,"13,470",20,0.15,608,"12,166",0,0
2025.04.28.,모바일,"6,496",44,0.68,647,"28,468",2,"189,500"
2025.04.29.,PC,"2,325",17,0.74,663,"11,275",3,"130,480"
2025.04.29.,모바일,"6,819",58,0.86,884,"51,293",1,"23,750"
2025.04.30.,PC,"15,189",16,0.11,595,"9,515",0,0
2025.04.30.,모바일,"8,421",59,0.71,680,"40,128",0,0
2025.05.01.,PC,"2,438",4,0.17,908,"3,630",1,"179,600"
2025.05.01.,모바일,"11,148",58,0.53,704,"40,810",7,"227,820"
2025.05.02.,PC,"2,704",12,0.45,634,"7,612",0,0
2025.05.02.,모바일,"9,814",72,0.74,776,"55,902",1,"24,400"
2025.05.03.,PC,"1,765",9,0.51,958,"8,624",0,0
2025.05.03.,모바일,"14,271",94,0.66,918,"86,284",0,0
2025.05.04.,PC,"1,128",5,0.45,953,"4,763",0,0
2025.05.04.,모바일,"12,237",88,0.72,839,"73,799",3,"59,150"
2025.05.05.,PC,"1,510",6,0.4,875,"5,247",0,0
2025.05.05.,모바일,"11,636",82,0.71,751,"61,611",3,"110,230"
