"파워링크보고서(2025.06.01.~2025.06.30.),aosldk2004:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,84,2,94,187,3.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,250,4,190,759,1.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,LG키즈폰,PC,1,0,0,0,18,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,SK키즈폰,모바일,4,0,0,0,18.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,SNS텔레콤,PC,8,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,SNS텔레콤,모바일,60,1,77,77,1.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,Z폴드3,PC,1,0,0,0,18,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,갤럭시Z폴드3가격,PC,6,0,0,0,8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,갤럭시Z폴드3가격,모바일,1,0,0,0,6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,갤럭시폴드3가격,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,공짜스마트폰기기변경,PC,1,0,0,0,6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구성동핸드폰,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구성동핸드폰,모바일,13,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구성동휴대폰,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구성동휴대폰,모바일,7,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,다가동핸드폰,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,다가동핸드폰,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,다가동핸드폰매장,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,다가동휴대폰,모바일,5,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진아이폰,PC,7,0,0,0,8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진아이폰,모바일,4,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진알뜰폰,PC,1,0,0,0,7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진알뜰폰,모바일,2,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진핸드폰,PC,275,0,0,0,6.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진핸드폰,모바일,4,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진휴대폰,PC,50,1,242,242,6.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,당진휴대폰,모바일,33,0,0,0,3.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전알뜰폰,PC,1,0,0,0,15,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전휴대폰,PC,1,0,0,0,20,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전휴대폰싼곳,PC,4,0,0,0,10,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전휴대폰싼곳,모바일,2,0,0,0,7.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동아이폰,모바일,6,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동인터넷,PC,1,0,0,0,16,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동중고폰,PC,4,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동중고폰,모바일,9,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동핸드폰,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동핸드폰,모바일,1,0,0,0,5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동핸드폰가게,모바일,21,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동핸드폰매장,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동휴대폰,PC,10,0,0,0,2.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,두정동휴대폰,모바일,12,0,0,0,1.9,0,0,0,0
