"파워링크보고서(2025.06.01.~2025.06.30.),bonitapilates26:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균체류시간(초),방문당 평균페이지뷰,전환수,전환매출액(원)
"파워링크",쌍용 보니따,MO 지역KW,-,모바일,406,29,622,"18,051",1.4,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,배방다이어트,모바일,26,0,0,0,2.3,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,배방역필라테스,모바일,18,0,0,0,2.6,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,배방필라테스,모바일,3,0,0,0,13.7,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,배방필라테스가격,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,배방필라테스추천,모바일,1,0,0,0,2,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동그룹필라테스,모바일,3,0,0,0,2,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동다이어트,모바일,2,0,0,0,18.5,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동듀엣필라테스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동산후필라테스,모바일,2,0,0,0,3,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동재활운동,모바일,1,0,0,0,4,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동필라테스,모바일,"1,614",4,"2,299","9,196",4.1,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,불당동필라테스가격,모바일,2,0,0,0,2,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,신방동기구필라테스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,신방동다이어트,모바일,6,0,0,0,3,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,신방동필라걸,모바일,10,0,0,0,2.3,0,0,0,0
"파워링크",쌍용 보니따,MO 지역KW,신방동필라테스,모바일,156,15,936,"14,047",1,0,0,0,0
