"파워링크보고서(2025.06.01.~2025.06.30.),chungsu1204:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",메인 캠페인,01.생강분말,-,PC,331,1,748,748,1.8,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,-,모바일,"2,544",18,560,"10,087",1.6,1.09,0.55,1,"12,900"
"파워링크",메인 캠페인,01.생강분말,건생강가루,PC,1,0,0,0,3,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,건생강가루,모바일,8,0,0,0,2.3,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,국내산생강가루,PC,5,0,0,0,2.6,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,국내산생강가루,모바일,53,1,660,660,2,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,국산생강가루,PC,31,1,759,759,2.1,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,국산생강가루,모바일,931,14,700,"9,801",1.7,1,0,1,"23,650"
"파워링크",메인 캠페인,01.생강분말,국산생강분말,PC,5,0,0,0,3.6,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,국산생강분말,모바일,15,0,0,0,2.9,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,따듯한성질,모바일,395,2,77,154,3.3,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,마른생강,PC,9,0,0,0,4.1,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,마른생강,모바일,48,0,0,0,1.6,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,말린생강가루,PC,3,0,0,0,2,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,말린생강가루,모바일,74,2,809,"1,617",1.6,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루,PC,156,0,0,0,7.4,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루,모바일,682,6,440,"2,640",3.8,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루먹는법,PC,19,0,0,0,2.2,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루먹는법,모바일,137,1,517,517,3.5,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루분말,PC,94,1,649,649,2.8,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루분말,모바일,886,23,538,"12,375",2.8,1.1,4.1,2,"25,800"
"파워링크",메인 캠페인,01.생강분말,생강가루차,PC,21,0,0,0,4.9,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루차,모바일,131,1,396,396,3.4,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루추천,PC,11,0,0,0,2.4,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강가루추천,모바일,27,1,638,638,1.6,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말,PC,12,0,0,0,4.9,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말,모바일,144,1,440,440,3.2,1,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말차,PC,3,0,0,0,4,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말차,모바일,14,0,0,0,3.3,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말효능,PC,8,0,0,0,2.6,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강분말효능,모바일,114,0,0,0,1.9,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강차,PC,1,0,0,0,29,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,생강차,모바일,29,0,0,0,17.8,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,찐생강가루,PC,8,0,0,0,2.9,0,0,0,0
"파워링크",메인 캠페인,01.생강분말,찐생강가루,모바일,132,0,0,0,2.5,1,0,0,0
"파워링크",메인 캠페인,02.맥문동,-,PC,403,20,530,"10,604",1.6,1.71,14.35,1,"24,220"
"파워링크",메인 캠페인,02.맥문동,-,모바일,"7,131",230,602,"138,512",1.9,1.11,3.1,7,"277,940"
"파워링크",메인 캠페인,02.맥문동,국내산맥문동,PC,6,1,759,759,1.8,4,289,0,0
"파워링크",메인 캠페인,02.맥문동,국내산맥문동,모바일,45,2,847,"1,694",2.8,1,0,0,0
