"파워링크보고서(2025.06.01.~2025.06.30.),davosstella:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,55,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,187,2,77,154,1.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,김량장동카페,PC,69,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,김량장동카페,모바일,486,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인레스토랑,PC,246,0,0,0,3.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인레스토랑,모바일,287,2,165,330,2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인분위기맛집,모바일,3,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인브런치,PC,6,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인브런치,모바일,64,1,154,154,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인예쁜카페,PC,34,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인예쁜카페,모바일,15,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인처인구브런치맛집,PC,2,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인처인구브런치맛집,모바일,16,1,77,77,1.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인처인구카페,PC,85,0,0,0,5.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인처인구카페,모바일,268,1,77,77,3.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인카페,PC,38,0,0,0,12,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인카페,모바일,40,0,0,0,15.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인파스타맛집,PC,191,0,0,0,2.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,용인파스타맛집,모바일,651,9,112,"1,012",2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구분위기좋은카페,모바일,7,0,0,0,3.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구브런치카페,PC,8,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구브런치카페,모바일,150,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구샌드위치,PC,5,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구샌드위치,모바일,24,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구카페,PC,1,0,0,0,6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구카페맛집,PC,3,0,0,0,6.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,처인구카페맛집,모바일,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,-,PC,28,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,-,모바일,131,4,77,308,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인맛집,PC,"1,292",0,0,0,4.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인맛집,모바일,"1,387",10,628,"6,281",5.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인브런치카페,PC,530,2,726,"1,452",2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인브런치카페,모바일,"2,120",9,428,"3,850",2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인스테이크,PC,68,0,0,0,1.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인스테이크,모바일,322,1,418,418,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인스테이크맛집,PC,68,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인스테이크맛집,모바일,274,7,666,"4,664",1.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인카페추천,PC,351,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,용인카페추천,모바일,"2,660",14,504,"7,051",2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,처인구맛집,PC,"1,489",7,688,"4,818",5.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,처인구맛집,모바일,329,3,660,"1,980",5.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,처인구카페,PC,430,1,341,341,1.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,처인구카페,모바일,"5,479",4,355,"1,419",1,0,0,0,0
"플레이스",처인구 맛집,처인구 맛집_광고그룹#1,-,PC,"16,909",78,634,"49,423",1.8,0,0,0,0
"플레이스",처인구 맛집,처인구 맛집_광고그룹#1,-,모바일,"75,608",327,661,"216,172",2.3,0,0,0,0
