"파워링크보고서(2025.06.01.~2025.06.30.),dhyun89:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#2,-,PC,174,3,84,253,1.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,-,모바일,"1,738",13,96,"1,254",1.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경기가볼만한곳,PC,24,0,0,0,26.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경기가볼만한곳,모바일,149,2,330,660,18.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경기도가볼만한곳,PC,27,0,0,0,41.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경기도가볼만한곳,모바일,147,1,308,308,39.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경기도데이트코스,PC,12,0,0,0,8.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경희대맛집,PC,808,1,286,286,5.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,경희대맛집,모바일,636,1,143,143,3.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,곡반정동맛집,모바일,774,9,276,"2,486",3.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교맛집,PC,25,0,0,0,15.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교맛집,모바일,128,1,198,198,20.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교역맛집,PC,274,0,0,0,5.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교역맛집,모바일,729,0,0,0,3.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교카페거리맛집,PC,690,0,0,0,5.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교카페거리맛집,모바일,"1,332",6,264,"1,584",3.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교호수공원맛집,PC,151,1,253,253,9.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교호수공원맛집,모바일,141,2,325,649,10.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교회식,PC,50,0,0,0,6.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,광교회식,모바일,14,0,0,0,4.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,권선구맛집,PC,161,0,0,0,7.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,권선구맛집,모바일,69,1,330,330,5.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,권선동맛집,PC,427,0,0,0,5.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,권선동맛집,모바일,477,1,330,330,4.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,나혜석거리맛집,PC,284,1,330,330,8.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,나혜석거리맛집,모바일,115,1,330,330,10.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭목살구이,PC,627,0,0,0,6.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭목살구이,모바일,141,0,0,0,4.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭백숙,PC,8,0,0,0,8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭백숙,모바일,25,0,0,0,11.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭전,PC,3,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,닭전,모바일,16,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,동탄능동맛집,PC,160,1,308,308,6.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,동탄능동맛집,모바일,57,0,0,0,5.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,동탄닭갈비,PC,2,0,0,0,4.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포고기집,PC,43,0,0,0,4.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포고기집,모바일,150,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동고기,모바일,1,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동고기집,PC,9,0,0,0,5.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동고기집,모바일,33,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동고깃집,PC,8,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동고깃집,모바일,29,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동닭구이,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동닭내장탕,모바일,3,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동닭특수부위,모바일,2,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포동회식,모바일,2,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포소고기맛집,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#2,망포소고기맛집,모바일,16,0,0,0,2.6,0,0,0,0
