"파워링크보고서(2025.06.01.~2025.06.30.),dldudwls0987:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,-,PC,170,3,165,495,1.4,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,-,모바일,"1,313",9,304,"2,739",1.2,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안대교맛집,PC,2,0,0,0,4,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안대교맛집,모바일,"1,464",2,121,242,2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안동맛집,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안동맛집,모바일,165,1,330,330,2.9,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안리맛집,PC,32,0,0,0,11.7,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,광안리맛집,모바일,"45,652",430,"1,377","592,207",2.7,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,부산광안리맛집,PC,152,0,0,0,9.2,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,부산광안리맛집,모바일,"2,318",21,412,"8,646",2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,부산수영구맛집,PC,8,1,77,77,5.8,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,부산수영구맛집,모바일,618,5,352,"1,760",2.2,0,0,0,0
"파워링크",01. [RD] 메인조합,00. 품질지수-광안리맛집,수영구맛집,PC,4,0,0,0,9,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,-,PC,26,0,0,0,1.7,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,-,모바일,193,0,0,0,1.6,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리근처맛집,PC,1,0,0,0,6,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리근처맛집,모바일,47,0,0,0,2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리맛집추천,모바일,720,3,70,209,2.2,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리야경맛집,PC,1,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리야경맛집,모바일,127,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리주변맛집,PC,1,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,01. 맛집kw,광안리주변맛집,모바일,9,0,0,0,2.1,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,-,PC,35,0,0,0,1.5,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,-,모바일,819,4,215,858,1.3,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리고기맛집,모바일,206,0,0,0,2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리고기집,모바일,287,0,0,0,1.5,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리고기집추천,모바일,23,0,0,0,3.3,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리고깃집,모바일,429,1,165,165,1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리근처고기집,모바일,3,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리유명고기집,모바일,1,0,0,0,1,0,0,0,0
"파워링크",01. [RD] 메인조합,02. 고기kw,광안리핫한고깃집,모바일,11,0,0,0,3.6,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,-,PC,62,1,77,77,2,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,-,모바일,833,3,77,231,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리등심,모바일,21,0,0,0,2.7,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리샤브샤브,모바일,467,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리육회,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리육회,모바일,121,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리육회맛집,모바일,8,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리차돌박이,모바일,54,0,0,0,1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리차돌박이맛집,모바일,27,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리한우,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리한우,모바일,79,0,0,0,2.4,0,0,0,0
"파워링크",01. [RD] 메인조합,03. 한우kw,광안리한우맛집,모바일,10,0,0,0,2.8,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,-,PC,7,0,0,0,2.6,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,-,모바일,69,0,0,0,1.6,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리가족모임,모바일,1,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리단체모임,모바일,5,0,0,0,1.4,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리단체식사,PC,1,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리단체회식,PC,1,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리단체회식장소,모바일,2,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리모임,모바일,33,0,0,0,1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리모임장소,PC,7,0,0,0,9.6,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리모임장소,모바일,48,0,0,0,2.2,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리모임장소추천,모바일,2,0,0,0,3,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리소모임,PC,1,0,0,0,1,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리회식,모바일,749,0,0,0,1.1,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리회식장소,PC,4,0,0,0,4,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리회식장소,모바일,19,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,04. 회식kw,광안리회식장소추천,PC,1,0,0,0,4,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,-,PC,10,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,-,모바일,404,0,0,0,1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리곰탕,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리곰탕,모바일,41,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리된장술밥,모바일,3,0,0,0,1,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리밥집,모바일,187,0,0,0,1.7,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리밥집추천,모바일,31,0,0,0,2.6,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리불고기,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리불고기,모바일,111,0,0,0,2.2,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리육회비빔밥,모바일,10,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심,PC,23,0,0,0,9.7,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심,모바일,261,0,0,0,2.4,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심맛집,PC,20,0,0,0,7.7,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심맛집,모바일,449,2,600,"1,199",1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심메뉴추천,모바일,2,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심식사,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심추천,모바일,3,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심특선,PC,9,0,0,0,1.1,0,0,0,0
"파워링크",01. [RD] 메인조합,05. 점심kw,광안리점심특선,모바일,18,0,0,0,1.2,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,-,PC,1,0,0,0,1,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,-,모바일,55,1,77,77,1.4,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,광안리저녁,모바일,126,1,99,99,1.7,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,광안리저녁식사,PC,1,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,광안리저녁식사,모바일,6,0,0,0,1.2,0,0,0,0
"파워링크",01. [RD] 메인조합,06. 저녁kw,광안리저녁추천,모바일,1,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,-,PC,11,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,-,모바일,45,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리가볼만한곳,모바일,1,0,0,0,4,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리갈만한곳,모바일,6,0,0,0,2.7,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리데이트,모바일,113,0,0,0,1.8,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리데이트코스,모바일,37,0,0,0,1.9,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리여행,모바일,5,0,0,0,2,0,0,0,0
"파워링크",01. [RD] 메인조합,07. 여행kw,광안리여행추천,모바일,4,0,0,0,1.5,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,-,PC,77,2,352,704,1.4,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,-,모바일,620,8,220,"1,760",1.3,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,금련산역맛집,PC,1,0,0,0,6,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,금련산역맛집,모바일,718,3,392,"1,177",1.1,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,부산맛집,모바일,269,5,462,"2,310",14.4,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,수영구맛집,모바일,"6,530",37,291,"10,780",1.5,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,수영구청맛집,PC,1,0,0,0,6,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,수영구청맛집,모바일,123,0,0,0,1.2,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,수영맛집,PC,5,0,0,0,8.8,0,0,0,0
"파워링크",02. [RD] 서브조합,00. 품질지수,수영맛집,모바일,"4,541",39,451,"17,589",2.6,0,0,0,0
"파워링크",02. [RD] 서브조합,01. 맛집kw,-,PC,4,0,0,0,2,0,0,0,0
"파워링크",02. [RD] 서브조합,01. 맛집kw,-,모바일,176,1,495,495,1.5,0,0,0,0
"파워링크",02. [RD] 서브조합,01. 맛집kw,광안리가족모임맛집,모바일,2,0,0,0,1,0,0,0,0
"파워링크",02. [RD] 서브조합,01. 맛집kw,광안리근처맛집,모바일,59,0,0,0,1.6,0,0,0,0
"파워링크",02. [RD] 서브조합,01. 맛집kw,광안리데이트맛집추천,PC,13,0,0,0,1,0,0,0,0
