"파워링크보고서(2025.06.01.~2025.06.30.),dontbty:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,-,PC,333,7,437,"3,058",2.2,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,-,모바일,"3,033",64,344,"22,011",1.6,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,고덕메이드헤어살롱,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,고덕메이드헤어살롱,모바일,111,0,0,0,2.7,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,고덕미용실,PC,115,0,0,0,8.5,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,고덕미용실,모바일,5,0,0,0,18,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,동삭동미용실,PC,206,3,381,"1,144",2,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,동삭동미용실,모바일,674,8,103,825,3.4,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,레이어드컷,모바일,1,0,0,0,61,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,미용실추천,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,비전동미용실,PC,40,0,0,0,6.8,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,비전동미용실,모바일,8,1,88,88,11.4,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,세교동미용실,PC,6,0,0,0,1.7,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,세교동미용실,모바일,89,1,187,187,1.8,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,소사벌미용실,PC,106,3,"1,602","4,807",1.1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,소사벌미용실,모바일,760,41,"1,955","80,157",1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,소사벌에이오브헤어,PC,1,0,0,0,1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,소사벌에이오브헤어,모바일,2,1,77,77,1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,송탄미용실,PC,164,2,105,209,3,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,송탄미용실,모바일,677,8,144,"1,155",3.6,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,안성미용실,PC,163,0,0,0,7.4,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,안성미용실,모바일,62,0,0,0,7.5,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,에이오브헤어,PC,16,1,77,77,1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,에이오브헤어,모바일,152,1,77,77,1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,용이동미용실,PC,74,3,169,506,4.1,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,용이동미용실,모바일,275,9,210,"1,892",3.6,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,용죽미용실,PC,1,0,0,0,3,0,0,0,0
"파워링크",에이오브헤어본점2,에이오브헤어본점2_광고그룹#1,용죽미용실,모바일,4,0,0,0,2.8,0,0,0,0
