"파워링크보고서(2025.06.01.~2025.06.30.),gdrku1:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,-,모바일,2,1,77,77,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프PT,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프강습,모바일,3,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프강습비용,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프레슨,모바일,213,2,"3,119","6,237",1.7,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프레슨가격,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프레슨비,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프레슨비용,모바일,20,2,"2,162","4,323",1.1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프레슨프로,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프배우기,모바일,5,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프스윙연습,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프아카데미,모바일,57,1,"3,531","3,531",3,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프아카데미가격,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프연습,모바일,21,0,0,0,2.7,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프원포인트레슨,모바일,1,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프초보레슨,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프트레이닝,모바일,5,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프퍼터연습,모바일,2,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프퍼팅레슨,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,골프필드연습,모바일,2,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,스크린골프레슨,모바일,5,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,스크린골프레슨비용,모바일,7,1,"2,629","2,629",1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,원포인트골프레슨,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,원포인트레슨,모바일,12,3,"2,207","6,622",1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,인도어골프레슨,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,주니어골프아카데미,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,초보골프레슨,모바일,4,1,"3,696","3,696",1.8,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,초보골프레슨비용,모바일,2,1,693,693,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,퍼터레슨,모바일,3,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,퍼팅레슨,모바일,4,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,-,모바일,902,13,135,"1,749",1.2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프,모바일,"10,161",20,486,"9,713",1.5,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프기초,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프실내연습장,모바일,5,0,0,0,2.2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프연습장,모바일,315,5,"2,946","14,729",1.1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프연습장가격,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프연습장비용,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프예약,모바일,6,0,0,0,1.3,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프장추천,모바일,7,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프존스크린,모바일,3,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프존스크린골프,모바일,16,0,0,0,2.4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프초보,모바일,9,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,골프피트니스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,스크린골프비용,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,스크린골프연습,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,스크린골프예약,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,스크린연습장,모바일,6,0,0,0,2.8,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,실내골프,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,실내골프연습,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,실내골프연습장,모바일,49,1,"4,202","4,202",2.4,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,실내골프장,모바일,4,1,"1,617","1,617",2,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,어린이골프,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,저렴한골프장,모바일,4,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,주니어골프,모바일,14,0,0,0,1.6,0,0,0,0
"파워링크",[루다] 파워링크_MO,00. 메인키워드,키즈골프,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,-,모바일,"1,411",20,436,"8,723",1.2,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,가정동골프레슨,모바일,1,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,가좌골프레슨,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,가좌동골프레슨,모바일,18,1,572,572,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,가좌동골프아카데미,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,석남동골프레슨,모바일,3,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,석남동골프연습장,모바일,2,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,신현동골프레슨,모바일,12,0,0,0,4,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구골프강습,모바일,3,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구골프레슨,모바일,77,4,"2,610","10,439",2.4,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구골프프로레슨,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구드라이버레슨,모바일,2,1,77,77,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구스크린골프강습,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구어린이골프레슨,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구원포인트골프레슨,모바일,1,1,77,77,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구유아골프레슨,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 레슨키워드_지역,인천서구초보골프레슨,모바일,2,0,0,0,3,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 메인키워드_지역,-,모바일,"1,642",18,308,"5,544",1.5,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 메인키워드_지역,가정동GDR골프연습장,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 메인키워드_지역,가정동골프,모바일,7,0,0,0,1.1,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 메인키워드_지역,가정동골프레슨,모바일,13,1,"2,024","2,024",1.7,0,0,0,0
"파워링크",[루다] 파워링크_MO,01. 메인키워드_지역,가정동골프연습장,모바일,8,0,0,0,2.5,0,0,0,0
