"파워링크보고서(2025.06.01.~2025.06.30.),ghostblack0197:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,273,5,370,"1,848",1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,"3,139",13,389,"5,060",1.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구영리고기맛집,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구영리고기맛집,모바일,5,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구영리맛집,PC,132,1,143,143,2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구영리맛집,모바일,890,2,171,341,2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,구영리애견동반,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,무거동고기맛집,모바일,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,무거동맛집,PC,46,0,0,0,6.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,무거동맛집,모바일,94,1,231,231,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,무거동애견동반,모바일,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,무거동애견동반식당,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,범서맛집,PC,6,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,범서맛집,모바일,41,1,198,198,1.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,삼동맛집,모바일,2,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양가볼만한곳,모바일,18,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양고기집,PC,4,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양고기집,모바일,64,0,0,0,1.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양맛집,PC,207,1,638,638,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양맛집,모바일,"1,711",26,726,"18,887",2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양생일파티,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양실내동물원,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양애견동반식당,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양애견동반식당,모바일,17,0,0,0,1.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,언양와우쥬,모바일,11,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산KTX맛집,PC,3,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산KTX맛집,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가리비찜,모바일,3,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가볼만한곳,PC,44,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가볼만한곳,모바일,"3,256",35,"1,236","43,263",2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가족모임,PC,4,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가족모임,모바일,10,0,0,0,3.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산가족식당,모바일,4,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산갈만한곳,PC,13,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산갈만한곳,모바일,106,1,792,792,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고기맛집,PC,44,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고기맛집,모바일,268,1,836,836,3.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고기집,PC,33,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고기집,모바일,154,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고깃집,PC,5,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산고깃집,모바일,64,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,울산대고기맛집,PC,1,0,0,0,2,0,0,0,0
