"파워링크보고서(2025.06.01.~2025.06.30.),glayjang:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,-,PC,381,24,110,"2,629",4,2.09,58.21,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,-,모바일,"1,114",46,113,"5,214",2.9,1.63,15.89,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,골프중고풀세트,PC,2,2,132,264,3.5,3,76.5,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,골프중고풀세트,모바일,6,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,골프채풀세트,PC,43,0,0,0,7.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,골프채풀세트,모바일,94,3,154,462,5.8,1,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,남성중고풀세트,PC,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,남성중고풀세트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,남자중고풀세트,PC,4,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,여성중고풀세트,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,여자중고풀세트,모바일,4,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,중고골프채풀세트,PC,5,0,0,0,14,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1_풀세트#1,중고골프채풀세트,모바일,50,1,154,154,3,1,0,0,0
"쇼핑검색",풀세트쇼핑검색#1,풀세트쇼핑검색#1_광고그룹#1,-,PC,207,5,55,275,5,1,0,0,0
"쇼핑검색",풀세트쇼핑검색#1,풀세트쇼핑검색#1_광고그룹#1,-,모바일,"10,664",16,55,880,7.2,1.04,1.21,0,0
"쇼핑검색",쇼핑검색#1,쇼핑검색#1_광고그룹#1,-,PC,"3,944",77,55,"4,235",4.3,1.15,3.48,1,"1,655,400"
"쇼핑검색",쇼핑검색#1,쇼핑검색#1_광고그룹#1,-,모바일,"161,716",367,55,"20,185",5.4,1.17,11.62,1,"1,097,400"
