"파워링크보고서(2025.06.01.~2025.06.30.),hair6262920:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",🟠[RD] 지역설정 KW,메인 KW,미용실,PC,4,0,0,0,10,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,메인 KW,헤어샵,PC,1,0,0,0,5,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,메인 KW,헤어샵,모바일,5,0,0,0,4.6,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,긴머리컷,PC,1,0,0,0,5,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,단발스타일,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,숏단발펌,PC,1,0,0,0,8,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,숏컷스타일,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,쉼표머리,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,스타일,PC,1,0,0,0,7,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,스타일,모바일,5,0,0,0,3.6,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,컷트,모바일,5,0,0,0,1.6,0,0,0,0
"파워링크",🟠[RD] 지역설정 KW,서브 KW,헤어스타일,PC,2,0,0,0,8.5,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천근처미용실,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천동미용실,PC,226,0,0,0,8.4,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천동미용실,모바일,68,1,77,77,3.8,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천동미용실예약,PC,1,0,0,0,3,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천동미용실추천,모바일,1,0,0,0,4,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천동헤어샵추천,PC,1,0,0,0,2,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천미용실,PC,1,0,0,0,2,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천미용실,모바일,27,0,0,0,2,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천야간미용실,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천여성헤어스타일,모바일,"1,187",5,132,660,2.8,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천역미용실,PC,7,0,0,0,1.9,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천역미용실,모바일,23,0,0,0,1.8,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천역미용실예약,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천역주변미용실,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천역헤어샵,모바일,8,0,0,0,1.8,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,1. 메인+ 메인지역,남천저렴한미용실,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🔵[RD] 지역조합 KW,2. 메인 + 서브지역,경성대근처미용실,PC,1,0,0,0,2,0,0,0,0
