"파워링크보고서(2025.06.01.~2025.06.30.),halla3400:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,-,PC,"11,657",17,486,"8,261",2.7,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,E편한세상시티청라,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,가정동루원시티,PC,40,0,0,0,9.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,가정동부동산,PC,2,0,0,0,23,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,가정역삼부르네상스,PC,291,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동U1,PC,2,0,0,0,7,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동비즈밸리,PC,4,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동아이파크더리버,PC,249,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동아이파크더리버임대,PC,3,0,0,0,3,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동역SK리더스뷰분양가,PC,1,0,0,0,5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,강동이케아,PC,86,0,0,0,4.9,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단롯데캐슬,PC,45,0,0,0,8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단롯데캐슬넥스티엘,PC,39,0,0,0,9.5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단롯데캐슬넥스티엘분양가,PC,4,0,0,0,4.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시,PC,1,0,0,0,83,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시넥스티엘,PC,32,0,0,0,5.3,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시롯데캐슬,PC,18,0,0,0,9.3,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시롯데캐슬넥스티엘,PC,22,0,0,0,9.2,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시롯데캐슬넥스티엘분양가,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시미분양아파트,PC,13,0,0,0,7.2,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시분양예정,PC,2,0,0,0,13.5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단신도시상가분양,PC,2,0,0,0,44,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,검단이편한세상,PC,13,0,0,0,9.5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양구부동산,PC,5,0,0,0,9.4,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양구아파트매매,PC,56,0,0,0,6.4,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양구오피스텔,PC,2,0,0,0,8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양신도시,PC,439,0,0,0,3.9,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양아파트분양,PC,7,0,0,0,5.4,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양위너스카이,PC,4,0,0,0,8.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양유탑유블레스,PC,9,0,0,0,1,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양제일풍경채,PC,8,0,0,0,10.8,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양제일풍경채분양가,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양제일풍경채상가,PC,8,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양제일풍경채오피스텔,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양제일풍경채위너스카이,PC,16,0,0,0,7.1,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양풍경채,PC,62,0,0,0,5.5,0,0,0,0
"파워링크",파워링크#1카카오부동산,파워링크#1카카오부동산_광고그룹#1일루미스테이트,계양효성해링턴플레이스,PC,32,0,0,0,2.6,0,0,0,0
