"파워링크보고서(2025.06.01.~2025.06.30.),hansally7:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),-,PC,9,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),-,모바일,34,0,0,0,1.8,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),근처헬스장,PC,1,0,0,0,10,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),피트니스,PC,27,0,0,0,7.7,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),피트니스,모바일,11,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),피트니스센터,모바일,1,1,528,528,2,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스,PC,24,0,0,0,7.1,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스,모바일,4,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스장,PC,95,0,0,0,8.3,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스장,모바일,46,1,869,869,4.1,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스장가격,PC,5,0,0,0,4.6,0,0,0,0
"파워링크",[RD] 파워링크,01. 헬스장(지역설정),헬스장가격,모바일,5,0,0,0,3.4,0,0,0,0
"파워링크",[RD] 파워링크,01. PT(지역설정),-,PC,20,4,58,231,3.1,0,0,0,0
"파워링크",[RD] 파워링크,01. PT(지역설정),-,모바일,47,2,77,154,2.5,0,0,0,0
"파워링크",[RD] 파워링크,01. PT(지역설정),PT가격,PC,2,0,0,0,7,0,0,0,0
