"파워링크보고서(2025.06.01.~2025.06.30.),imbbo2404:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,-,PC,11,0,0,0,3.6,0,0,0,0
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,-,모바일,16,0,0,0,2.2,0,0,0,0
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,TRENDIO,PC,1,1,77,77,1,1,0,0,0
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,TRENDIO,모바일,7,0,0,0,1.9,0,0,0,0
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,트렌디오,PC,7,1,77,77,1,1,0,0,0
"파워링크",트렌디오 공식홈,트렌디오 공식홈_광고그룹#1,트렌디오,모바일,7,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),-,PC,140,1,88,88,1.7,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),네이버스마트스토어강의,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),네이버스마트스토어대행,PC,3,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),네이버스마트스토어만들기,PC,26,0,0,0,1.3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),네이버스마트스토어제작,PC,5,2,"2,332","4,664",2.2,1.5,2,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),네이버스토어제작,PC,2,0,0,0,4,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어개설,PC,447,1,"2,398","2,398",4.8,1,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어개설대행,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어개설비용,PC,6,0,0,0,4.3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어관리,PC,45,1,"7,117","7,117",2.1,3.5,139,1,10
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어꾸미기,PC,249,7,"1,776","12,430",1.6,1.6,27.5,2,200
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어대행,PC,9,2,"5,335","10,670",2.8,1,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어대행업체,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어등록,PC,35,0,0,0,1.8,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어디자인,PC,52,3,"5,801","17,402",2.6,1,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어리뉴얼,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어만들기,PC,33,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어배너,PC,63,2,"1,958","3,916",1.3,7,"1,671.5",0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어배너제작,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어상세페이지,PC,60,0,0,0,7.1,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어상세페이지디자인,PC,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어상세페이지만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어상세페이지제작,PC,33,2,"8,003","16,005",4.4,1,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어세팅,PC,6,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어쇼핑몰,PC,7,0,0,0,2.6,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어외주,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어웹디자인,PC,3,1,913,913,2.3,4,40,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어제작,PC,19,0,0,0,3.2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어제작대행,PC,4,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어제작비용,PC,3,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어제작업체,PC,5,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어창업,PC,213,4,"2,984","11,935",2.3,1,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어템플릿,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어홈페이지,PC,10,0,0,0,3.4,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스마트스토어홈페이지제작,PC,3,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),스토어제작,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 파워링크 PC,01. 스마트스토어(수목),의류스마트스토어개설,PC,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 PC,02. 상세페이지(수목),-,PC,125,2,528,"1,056",1.8,1,0,0,0
"파워링크",[RD] 파워링크 PC,02. 상세페이지(수목),3D상세페이지,PC,1,0,0,0,5,0,0,0,0
"파워링크",[RD] 파워링크 PC,02. 상세페이지(수목),GIF,PC,429,2,94,187,2.2,1,0,0,0
"파워링크",[RD] 파워링크 PC,02. 상세페이지(수목),GIF만들기,PC,771,4,"1,889","7,557",2.2,1,0,0,0
