"파워링크보고서(2025.06.01.~2025.06.30.),lkmforet2:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 지역설정,01. 자사명,이경민포레,PC,8,0,0,0,7.8,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,이경민포레,모바일,3,0,0,0,4,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,이경민포레청담,모바일,5,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,이경민포레청담본점,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,이경민포레청담본점,모바일,11,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,이경민포레청담점,모바일,76,0,0,0,3.5,0,0,0,0
"파워링크",[RD] 지역설정,01. 자사명,청담이경민포레,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,근처미용실,PC,102,0,0,0,3.2,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,근처미용실,모바일,"1,662",10,"1,617","16,170",1.5,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,내근처미용실,PC,10,0,0,0,1.4,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,내근처미용실,모바일,259,1,528,528,2,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,내주변미용실,PC,6,0,0,0,1.7,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,내주변미용실,모바일,124,1,803,803,1.8,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,내주변헤어샵,모바일,5,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,머리잘하는곳,모바일,20,0,0,0,1.4,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,머리잘하는미용실,모바일,3,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,미용실,PC,817,1,550,550,7,0,0,0,0
"파워링크",[RD] 지역설정,02. 미용실,미용실,모바일,"3,668",8,462,"3,696",4,0,0,0,0
