"파워링크보고서(2025.06.01.~2025.06.30.),medicinalfood:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",모두,여행 / 전국 시즌,-,PC,11,0,0,0,1.1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,-,모바일,87,3,84,253,1.3,1,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월갈만한곳,PC,2,0,0,0,8,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월관광지,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월기차여행,모바일,1,0,0,0,3,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월단풍,모바일,2,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월당일치기여행,모바일,1,0,0,0,2,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월에가볼만한곳,PC,1,0,0,0,10,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월초국내여행지,PC,2,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월초국내여행지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월초여행,모바일,6,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,10월축제,PC,4,0,0,0,18.5,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월가을축제,PC,1,0,0,0,2,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월기차여행,PC,1,0,0,0,7,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월기차여행,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월말여행,모바일,1,0,0,0,2,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월먹거리축제,PC,2,0,0,0,2,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월중순여행지,모바일,2,0,0,0,2,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월지역축제,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월지역축제,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월축제,PC,1,0,0,0,16,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,11월행사,PC,1,0,0,0,10,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,12월31일여행,PC,1,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,12월31일여행,모바일,1,0,0,0,1,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,12월추천여행지,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,12월추천여행지,모바일,16,0,0,0,1.9,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,12월축제,PC,1,0,0,0,17,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1박2일가볼만한곳,PC,1,0,0,0,19,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1박2일여행지추천,모바일,1,0,0,0,28,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1월축제,PC,1,0,0,0,8,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1월축제,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1인국내여행,PC,2,0,0,0,6,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1인국내여행,모바일,1,0,0,0,4,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1인여행지,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1일여행,PC,2,0,0,0,10,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,1일여행,모바일,1,0,0,0,18,0,0,0,0
"파워링크",모두,여행 / 전국 시즌,2박3일여행코스,PC,1,0,0,0,8,0,0,0,0
