"파워링크보고서(2025.06.01.~2025.06.30.),mis3497:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,839,8,308,"2,464",1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,"6,677",31,315,"9,768",1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천가볼만한곳,PC,121,0,0,0,9.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천가볼만한곳,모바일,237,2,204,407,13.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천만국가정원맛집,PC,514,1,176,176,3.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천만국가정원맛집,모바일,"1,561",9,211,"1,903",3.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천만맛집,PC,424,2,220,440,3.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천만맛집,모바일,174,0,0,0,5.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천맛집,PC,"22,281",45,407,"18,293",2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천맛집,모바일,"59,842",500,390,"195,140",2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천먹거리,PC,324,2,110,220,2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천먹거리,모바일,608,3,172,517,2.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천시맛집,PC,144,1,198,198,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천시맛집,모바일,153,5,216,"1,078",3.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천신대맛집,PC,"1,492",10,428,"4,279",1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천신대맛집,모바일,"11,264",76,463,"35,156",2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천신대지구맛집,PC,730,1,396,396,1.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천신대지구맛집,모바일,"2,779",13,266,"3,454",1.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천여행,PC,66,0,0,0,8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천여행,모바일,"5,264",18,141,"2,541",2.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천역맛집,PC,474,1,88,88,2.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천역맛집,모바일,"3,311",6,193,"1,155",2.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천조례동맛집,PC,435,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천조례동맛집,모바일,808,1,176,176,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천쪽갈비,PC,55,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,순천쪽갈비,모바일,347,1,77,77,1.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,신대맛집,PC,340,1,209,209,2.2,0,0,0,0
