"파워링크보고서(2025.06.01.~2025.06.30.),msdh3347:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,-,PC,"5,381",99,166,"16,423",2.8,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,3가족키즈펜션,PC,3,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,3가족키즈풀빌라,PC,3,0,0,0,4,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,4가족키즈펜션,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,4가족키즈풀빌라,PC,3,0,0,0,6.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평가볼만한곳,PC,7,0,0,0,41.9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평가족풀빌라펜션,PC,1,0,0,0,14,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평계곡독채펜션,PC,5,0,0,0,9.6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평단체키즈펜션,PC,6,0,0,0,5.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평단체펜션,PC,5,1,77,77,84.6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평단체풀빌라,PC,1,0,0,0,24,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평대형키즈펜션,PC,13,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평대형키즈풀빌라,PC,21,1,121,121,4.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평독채키즈펜션,PC,4,1,143,143,6.8,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평독채키즈풀빌라,PC,14,0,0,0,5.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평독채펜션,PC,3,0,0,0,84.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평독채풀빌라,PC,2,0,0,0,42.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평럭셔리풀빌라,PC,2,0,0,0,18,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평레일파크,PC,349,0,0,0,5.9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평베고니아새정원,PC,"1,001",3,106,319,4.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평베이비펜션,PC,4,0,0,0,6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평새정원,PC,137,0,0,0,3.6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평수영장글램핑,PC,12,0,0,0,7.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평수영장펜션,PC,5,0,0,0,57,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평신비동물원,PC,286,1,77,77,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평신축키즈펜션,PC,8,0,0,0,4.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평신축키즈풀빌라,PC,85,5,295,"1,474",6.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평아기풀빌라,PC,2,0,0,0,7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평아이들과가볼만한곳,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평아이랑가볼만한곳,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평아이랑갈만한곳,PC,35,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평아이랑펜션,PC,2,0,0,0,6.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평양떼목장,PC,63,0,0,0,4.6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평여름,PC,6,0,0,0,2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평여름휴가,PC,18,0,0,0,6.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈,PC,12,0,0,0,7.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈글램핑,PC,41,0,0,0,9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈독채,PC,4,0,0,0,7.8,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈독채펜션,PC,2,0,0,0,4.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈룸,PC,2,0,0,0,6,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈수영장,PC,2,0,0,0,5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈수영장펜션,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈팬션,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈펜션,PC,3,0,0,0,35.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈펜션추천,PC,9,0,0,0,7.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈풀빌라,PC,22,3,213,638,23.4,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈풀빌라추천,PC,18,0,0,0,5.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈풀빌라펜션,PC,2,0,0,0,26.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평키즈풀펜션,PC,3,0,0,0,7.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평펜션,PC,1,0,0,0,132,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평풀빌라,PC,8,1,77,77,46.4,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평풀빌라독채,PC,4,0,0,0,19.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평풀빌라키즈,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,가평풀빌라펜션,PC,7,0,0,0,41.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,경기도아이와가볼만한곳,PC,1,0,0,0,53,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,경기도키즈풀빌라펜션,PC,2,0,0,0,12,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,경기키즈펜션,PC,2,0,0,0,11,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,경기키즈풀빌라,PC,7,0,0,0,9.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,고우다,PC,4,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,골든트리가평,PC,54,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,국내여름휴양지,PC,11,0,0,0,9.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,국내키즈풀빌라,PC,1,0,0,0,9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,남이금강막국수,PC,7,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,남이섬꼬꼬닭갈비,PC,17,0,0,0,1.9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,남이섬풍경닭갈비,PC,21,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,누마우동,PC,5,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,두메막국수,PC,12,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,드림닭갈비,PC,29,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,럭셔리키즈펜션,PC,3,0,0,0,9.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,르봉뺑,PC,148,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,르봉뺑본점,PC,10,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,리버뷰키즈펜션,PC,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,리버뷰펜션,PC,2,0,0,0,4,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,리버뷰풀빌라,PC,7,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,명가닭갈비,PC,14,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,바람이쉬어가는마당,PC,7,0,0,0,1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,방3개키즈펜션,PC,14,0,0,0,7.1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,방3개키즈풀빌라,PC,30,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,방4개키즈펜션,PC,27,4,63,253,1.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,방4개키즈풀빌라,PC,17,1,77,77,5.2,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,베고니아새정원,PC,954,0,0,0,5.3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,본가신숙희진골막국수,PC,8,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,쁘띠프랑스,PC,4,0,0,0,10,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,쁘띠프랑스마을,PC,29,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,쁘띠프랑스숙소,PC,5,0,0,0,8.4,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,서울근교키즈,PC,4,0,0,0,3,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,서울근교키즈펜션,PC,15,0,0,0,8.5,0,0,0,0
"파워링크",파워링크#메종드힐(PC),파워링크#메종드힐(pc)_광고그룹#1,서울근교키즈풀빌라,PC,47,1,187,187,6.6,0,0,0,0
