"파워링크보고서(2025.06.01.~2025.06.30.),na_ya2:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 파워링크 지역설정,01. 부동산,-,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,-,모바일,6,1,99,99,1.5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,부동산,PC,"3,235",6,741,"4,444",4.5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,부동산,모바일,"8,021",10,809,"8,085",3.2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,부동산급매물,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,부동산매물,PC,30,0,0,0,5.6,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,01. 부동산,부동산매물,모바일,18,0,0,0,3.2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,-,PC,14,0,0,0,1.6,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,-,모바일,6,0,0,0,1.2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,10평사무실,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,건축사사무실,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,복층사무실,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실,PC,1,0,0,0,19,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실계약,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실계약,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실매매,PC,4,0,0,0,6,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실매물,PC,1,0,0,0,8,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실부동산,PC,7,0,0,0,8.7,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실시세,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실월세,PC,2,0,0,0,9,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실임대,PC,1,0,0,0,31,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실임대사이트,PC,3,0,0,0,10,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,사무실전문부동산,PC,1,0,0,0,5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,상가사무실,PC,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,상가사무실임대,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,소형사무실월세,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,스튜디오사무실,모바일,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,월세사무실,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,주택형사무실,모바일,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,테라스사무실,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,02. 사무실,회사사무실,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,-,PC,5,1,55,55,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,-,모바일,12,1,495,495,1.3,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,1층상가,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,1층상가매매,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,1층상가매매,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,가게내놓기,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,가게내놓기,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,부동산상가,PC,5,0,0,0,3.2,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,부동산상가,모바일,5,0,0,0,3.6,0,0,0,0
"파워링크",[RD] 파워링크 지역설정,03. 상가,상가,PC,22,0,0,0,3.8,0,0,0,0
