"파워링크보고서(2025.06.01.~2025.06.30.),onefinedayhadong:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",어느날 하동_메인키워드,PC,-,PC,81,1,165,165,2.3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,-,모바일,385,4,143,572,1.9,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,경남하동민박,PC,1,0,0,0,5,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,경남하동민박,모바일,5,0,0,0,4.6,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,경남하동숙소,모바일,4,0,0,0,11.8,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,계곡캠핑장,모바일,9,0,0,0,30.3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,독채계곡펜션,PC,36,1,154,154,1.7,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,독채계곡펜션,모바일,57,1,154,154,1.6,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,쌍계사계곡,PC,10,0,0,0,3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,쌍계사계곡,모바일,45,0,0,0,2.6,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,여름축제,PC,46,0,0,0,8.5,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,여름축제,모바일,1,0,0,0,24,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,연말국내여행,PC,10,0,0,0,2.9,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,연말국내여행,모바일,1,0,0,0,2,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,우리나라관광지,PC,12,0,0,0,2.7,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,우리나라관광지,모바일,5,0,0,0,2.8,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국가볼만한곳,모바일,6,0,0,0,7,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국벚꽃명소,모바일,1,0,0,0,2,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국여행지,PC,31,0,0,0,2.6,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국여행지,모바일,59,2,116,231,2,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국축제,PC,"1,601",1,77,77,8.6,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,전국축제,모바일,8,0,0,0,19.1,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡민박,PC,21,0,0,0,5.7,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡민박,모바일,20,0,0,0,3.7,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡펜션,PC,6,0,0,0,28.5,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡펜션,모바일,78,1,165,165,19.1,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡평상,PC,52,0,0,0,3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,지리산계곡평상,모바일,84,0,0,0,2.4,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,크리스마스예약,모바일,29,0,0,0,2.3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,하동계곡펜션,모바일,1,0,0,0,3,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,하동독채,모바일,6,0,0,0,2.5,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,하동민박,모바일,1,0,0,0,15,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,하동숙박,모바일,3,0,0,0,13,0,0,0,0
"파워링크",어느날 하동_메인키워드,PC,하동신축펜션,모바일,5,0,0,0,3.4,0,0,0,0
