"파워링크보고서(2025.06.01.~2025.06.30.),robotico1018:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,-,PC,9,0,0,0,1.4,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,-,모바일,18,1,77,77,1.8,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,ROBOT,PC,144,0,0,0,6.2,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,ROBOT,모바일,293,0,0,0,3.8,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,공장자동화로봇,PC,9,0,0,0,2.6,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,공장자동화로봇,모바일,14,0,0,0,2,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,로봇티칭,PC,173,0,0,0,2.6,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,로봇티칭,모바일,83,1,539,539,2.3,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,자동화로봇,PC,28,1,"1,507","1,507",14.2,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,자동화로봇,모바일,5,0,0,0,9.6,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,자동화시스템,PC,2,0,0,0,26.5,0,0,0,0
"파워링크",파워링크-캠페인,A1_파워링크_테스트그룹,자동화시스템,모바일,20,0,0,0,3.4,0,0,0,0
"파워링크",파워링크-캠페인,A3_파워링크_전환그룹(모바일),-,PC,39,3,315,946,2.8,0,0,0,0
"파워링크",파워링크-캠페인,A3_파워링크_전환그룹(모바일),-,모바일,67,6,242,"1,452",1.8,1,55.86,0,0
"파워링크",파워링크-캠페인,A3_파워링크_전환그룹(모바일),ROBOTICS,PC,10,0,0,0,2,0,0,0,0
