"파워링크보고서(2025.06.01.~2025.06.30.),sms59316:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크,성수동재개발 MO,-,PC,"3,095",27,404,"10,912",1.6,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,-,모바일,"6,711",99,453,"44,814",1.6,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,더샤인부동산,PC,161,43,55,"2,365",1.1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,더샤인부동산,모바일,292,86,62,"5,313",1.6,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,도로부지,PC,422,0,0,0,2.2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,도로부지,모바일,974,6,77,462,2.2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,도로부지매매,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,두산중공업트리마제,PC,3,0,0,0,1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,두산중공업트리마제,모바일,1,0,0,0,1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,두산트리마제,PC,8,0,0,0,2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,두산트리마제,모바일,15,0,0,0,1.9,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,빌라투자,PC,74,0,0,0,4.2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울도로부지,PC,11,1,77,77,1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울도로부지,모바일,19,4,77,308,1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라,모바일,20,1,110,110,7.3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라가격,PC,10,0,0,0,7.6,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라가격,모바일,8,0,0,0,4.1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라매매,PC,71,0,0,0,7,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라매매,모바일,9,0,0,0,8.7,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라매물,모바일,1,0,0,0,2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라분양,PC,10,0,0,0,7.6,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라분양,모바일,3,0,0,0,6.7,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라투자,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울빌라투자,모바일,"1,313",0,0,0,2.5,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲지식산업센터,모바일,4,0,0,0,1.8,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제,PC,481,0,0,0,5.8,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제,모바일,276,0,0,0,4,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제28평,모바일,8,0,0,0,2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제가격,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제가격,모바일,1,0,0,0,3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제매매,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울숲트리마제매매,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울시행부지,PC,14,0,0,0,3.4,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울시행부지,모바일,4,0,0,0,2.3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라,PC,5,0,0,0,8.2,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라,모바일,9,0,0,0,4.4,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라매매,PC,5,0,0,0,10.8,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라매매,모바일,31,0,0,0,8,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라매물,모바일,"1,060",2,132,264,2.3,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울신축빌라분양,PC,6,0,0,0,7.8,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울트리마제,PC,17,0,0,0,2.5,0,0,0,0
"파워링크",파워링크,성수동재개발 MO,서울트리마제,모바일,105,0,0,0,2,0,0,0,0
