"파워링크보고서(2025.06.01.~2025.06.30.),top50siheung:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,613,4,388,"1,551",2.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,"3,197",23,534,"12,287",1.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,LENS,PC,18,0,0,0,6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,LENS,모바일,10,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,가산동안경,PC,3,0,0,0,5.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,가산동안경,모바일,3,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,광명안경,PC,43,0,0,0,6.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,광명안경,모바일,1,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구렌즈,모바일,2,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구안경,PC,12,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구안경,모바일,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구안경점,PC,1,0,0,0,5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구안경점,모바일,5,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구에서원데이렌즈잘맞춰주는곳,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구으뜸50,PC,1,1,77,77,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구으뜸50안경,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구청렌즈,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금천구청안경,모바일,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,난시컬러렌즈,PC,64,0,0,0,6.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,난시컬러렌즈,모바일,58,0,0,0,3.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,독산동안경,PC,6,0,0,0,6.7,0,0,0,0
