"파워링크보고서(2025.06.01.~2025.06.30.),wns0092:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,-,PC,29,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,-,모바일,"2,635",11,77,847,2.3,0,0,0,0
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,망포역맛집,PC,50,0,0,0,9.6,0,0,0,0
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,망포역맛집,모바일,24,0,0,0,18.4,0,0,0,0
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,망포역술집,모바일,50,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1_치요망포점,파워링크#1_치요망포점_광고그룹#1,망포역이자카야,모바일,92,1,77,77,1.1,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,-,PC,465,1,330,330,2.1,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,-,모바일,864,3,165,495,2,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통맛집,PC,2,0,0,0,28,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통맛집,모바일,17,0,0,0,41.8,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통술집,PC,10,0,0,0,2.4,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통술집,모바일,92,0,0,0,3.7,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통역맛집,PC,18,0,0,0,14.3,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통역맛집,모바일,12,1,77,77,24.5,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통이자카야,PC,37,0,0,0,2.4,0,0,0,0
"파워링크",파워링크#1_치요 영통점,파워링크#1_치요 영통점_광고그룹#1,영통이자카야,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역설정),근처맛집,모바일,9,0,0,0,6.6,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역설정),내근처맛집,모바일,27,0,0,0,2.9,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역설정),맛집,모바일,204,0,0,0,4,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역설정),모츠나베맛집,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),분위기좋은술집,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),선술집,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),술집,모바일,198,0,0,0,2.9,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),이자카야,모바일,90,0,0,0,3.7,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),이자카야메뉴,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),이자카야안주,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),일본식술집,모바일,2,0,0,0,4,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),혼술집,모바일,4,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),회집,모바일,17,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,01. 술집(지역설정),횟집,모바일,157,1,572,572,1.1,0,0,0,0
"파워링크",[RD] 치요 영통점,02. 회식/외식(지역설정),가족외식,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,02. 회식/외식(지역설정),회식,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 치요 영통점,02. 회식/외식(지역설정),회식메뉴,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 치요 영통점,02. 회식/외식(지역설정),회식메뉴추천,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),가라아게,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),고노와다,모바일,14,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),고로케,모바일,2,1,308,308,3,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),나베,모바일,4,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),모듬사시미,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),모츠나베,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),사시미,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),새우튀김,모바일,3,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),소고기타다끼,모바일,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),스끼야끼,모바일,6,0,0,0,1.2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),스키야끼,PC,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),스키야끼,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),스키야키,모바일,11,0,0,0,2.2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),야끼소바,모바일,4,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),야끼소바맛집,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),야끼우동,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),야끼토리,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),야키토리,모바일,18,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),연어샐러드,모바일,7,0,0,0,2.1,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),연어회맛집,모바일,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),오꼬노미야끼,모바일,9,1,385,385,3,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),오꼬노미야끼맛집,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),오징어튀김,모바일,2,0,0,0,4,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),오징어튀김맛집,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),오코노미야끼,모바일,13,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),차돌박이숙주볶음,모바일,12,0,0,0,2.2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),타다끼,모바일,5,0,0,0,1.2,0,0,0,0
"파워링크",[RD] 치요 영통점,03. 메뉴(지역설정),타코와사비,모바일,6,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 치요 영통점,04. 데이트(지역설정),데이트,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역조합),수원곱창골목맛집,모바일,9,0,0,0,3.1,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역조합),영통구근처맛집,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역조합),영통구맛집,PC,54,1,649,649,2.9,0,0,0,0
"파워링크",[RD] 치요 영통점,00. 맛집(지역조합),영통구맛집,모바일,209,2,534,"1,067",2.8,0,0,0,0
