"파워링크보고서(2025.06.01.~2025.06.30.),worldgym11:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크,파워링크_광고그룹10,-,PC,376,20,389,"7,788",3.5,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,-,모바일,"1,668",67,461,"30,855",1.9,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,강욱순골프,PC,5,0,0,0,1.8,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,강욱순골프,모바일,18,1,77,77,1.3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동GDR,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동GDR,모바일,9,0,0,0,1.6,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프,PC,4,0,0,0,1.8,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프,모바일,11,0,0,0,2.2,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프레슨,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프레슨,모바일,10,0,0,0,3.3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프연습장,PC,5,0,0,0,2,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프연습장,모바일,25,0,0,0,2,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프존,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동골프존,모바일,26,0,0,0,1.8,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동스크린골프,PC,5,0,0,0,1.8,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,고잔동스크린골프,모바일,45,0,0,0,3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프,모바일,2,0,0,0,3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프레슨,PC,1,0,0,0,66,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프실외연습장,PC,25,0,0,0,2,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프실외연습장,모바일,198,1,88,88,2.4,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프연습장,PC,490,0,0,0,68.6,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,골프장,PC,485,0,0,0,44.4,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,본오동골프,모바일,12,1,88,88,2.6,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,본오동골프레슨,PC,3,0,0,0,3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,본오동골프레슨,모바일,3,0,0,0,4,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,새솔동골프,PC,19,0,0,0,3,0,0,0,0
"파워링크",파워링크,파워링크_광고그룹10,새솔동골프,모바일,70,1,88,88,4,0,0,0,0
