"파워링크보고서(2025.06.01.~2025.06.30.),xodud0817:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",오리불고기_pc,02-1_지역_평일,-,PC,9,0,0,0,2.1,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,가람마을맛집,PC,17,0,0,0,4.4,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,고양시맛집,PC,1,0,0,0,10,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,교하맛집,PC,18,0,0,0,4.1,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,금촌맛집,PC,50,0,0,0,1.9,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,운정맛집,PC,116,0,0,0,3.7,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,운정산내마을맛집,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주국밥집,PC,1,0,0,0,3,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주다율동맛집,PC,1,0,0,0,1,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주맛집,PC,364,1,"1,507","1,507",4.4,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주맛집추천,PC,5,0,0,0,3.8,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주시맛집,PC,2,0,0,0,1,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주아울렛맛집,PC,17,0,0,0,2.7,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주오리고기,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주오리맛집,PC,1,0,0,0,3,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주운정맛집,PC,34,0,0,0,3.7,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,파주저녁맛집,PC,1,0,0,0,4,0,0,0,0
"파워링크",오리불고기_pc,02-1_지역_평일,해솔마을,PC,1,0,0,0,3,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,-,PC,4,0,0,0,1.5,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,가람마을맛집,PC,5,0,0,0,3,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,고양시맛집,PC,3,0,0,0,4.7,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,교하맛집,PC,6,0,0,0,2.7,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,금촌맛집,PC,33,1,748,748,1.8,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,다율동맛집,PC,4,0,0,0,1.5,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,산내마을맛집,PC,1,0,0,0,2,0,0,0,0
"파워링크",오리불고기_pc,02-2_지역_주말,운정다율동맛집,PC,1,0,0,0,3,0,0,0,0
