"플레이스보고서(2025.06.01.~2025.06.30.),abcv7825:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",🟣다비치(지역설정) M,00. 브랜드,모바일,다비치안경가격,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,00. 브랜드,모바일,다비치안경춘천점,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,00. 브랜드,모바일,다비치춘천,4,0,0,0,3.5
"파워링크",🟣다비치(지역설정) M,02. 안경/안경테,모바일,비비엠안경테,1,0,0,0,2
"파워링크",🟣다비치(지역설정) M,02. 안경/안경테,모바일,안경도수,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,그레이렌즈,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,난시렌즈,1,0,0,0,23
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,난시컬러렌즈,1,0,0,0,6
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,다비치렌즈가격,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,도수컬러렌즈,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,렌즈,2,0,0,0,11
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,렌즈행사,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,서클렌즈,2,0,0,0,3.5
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,서클렌즈도수,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,원데이렌즈체험,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,원데이써클렌즈,1,0,0,0,2
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,자연스러운렌즈,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,초코렌즈,1,0,0,0,4
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,컬러렌즈,1,0,0,0,14
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,콘텍트렌즈가격,2,0,0,0,3.5
"파워링크",🟣다비치(지역설정) M,03. 렌즈,모바일,투명렌즈,1,0,0,0,10
"파워링크",🟣다비치(지역설정) M,04. 안심누진,모바일,다비치누진다초점안경,1,0,0,0,3
"파워링크",🟣다비치(지역설정) M,04. 안심누진,모바일,다비치다초점,1,0,0,0,1
"파워링크",🟣다비치(지역설정) M,04. 안심누진,모바일,다비치안경렌즈,2,0,0,0,3
"파워링크",🟣다비치(지역설정) M,05. 타브랜드,모바일,1001안경점,2,0,0,0,2.5
"파워링크",🟣다비치(지역설정) P,00. 브랜드,PC,다비치안경,25,0,0,0,5.2
"파워링크",🟣다비치(지역설정) P,00. 브랜드,PC,다비치안경춘천점,2,0,0,0,6.5
"파워링크",🟣다비치(지역설정) P,01. 안경매장,PC,근처안경점,1,0,0,0,7
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,독서안경,2,0,0,0,7
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,반테안경,1,0,0,0,10
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,블루라이트차단안경효과,2,0,0,0,10
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,선글라스안경,1,0,0,0,9
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,안경도수,1,0,0,0,6
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,안경알교체,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,02. 안경/안경테,PC,야간빛번짐안경,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,1회용렌즈,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,다초점콘택트렌즈,1,0,0,0,8
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,랜즈,1,0,0,0,10
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,렌즈브랜드,1,0,0,0,5
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,바슈롬렌즈,1,0,0,0,7
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,서클렌즈,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,아큐브원데이렌즈,1,0,0,0,6
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,아큐브컬러렌즈,1,0,0,0,7
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,아큐브한달렌즈,1,0,0,0,5
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,오아시스렌즈,1,0,0,0,8
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,오투오투렌즈,1,0,0,0,2
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,오피스렌즈,1,0,0,0,6
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,일회용렌즈가격,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,칼자이스렌즈,11,0,0,0,8.3
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,콘택트렌즈,1,0,0,0,8
"파워링크",🟣다비치(지역설정) P,03. 렌즈,PC,콘텍트렌즈가격,1,0,0,0,4
"파워링크",🟣다비치(지역설정) P,04. 안심누진,PC,누진다초점안경,1,0,0,0,9
