"플레이스보고서(2025.06.01.~2025.06.30.),adda-adda:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,1대1필라테스,1,0,0,0,5
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,PILATES,2,0,0,0,8
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,골반유연성,2,0,0,0,1
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,그룹필라테스,4,0,0,0,7.3
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,그룹필라테스가격,1,0,0,0,6
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,근력운동,6,0,0,0,8.3
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,기구필라테스가격,2,0,0,0,3.5
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,기구필라테스지도자,1,0,0,0,8
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,다이어트헬스,1,0,0,0,7
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,매트필라테스,9,0,0,0,8.1
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,목디스크필라테스,2,0,0,0,2
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸의운동,1,0,0,0,2
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸이야필라테스,157,2,451,902,2.9
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸이야필라테스가격,5,0,0,0,1.8
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸이야필라테스스케줄,1,0,0,0,2
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸이야필라테스이벤트,1,0,0,0,3
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,몸필라테스,2,0,0,0,2.5
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,산전필라테스,1,0,0,0,10
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,산후운동,2,0,0,0,9.5
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,상무지구그룹레슨필라테스,1,0,0,0,3
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,상무지구산전필라테스,1,0,0,0,1
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_PC,PC,소도구필라테스,8,0,0,0,9.4
