"플레이스보고서(2025.06.01.~2025.06.30.),alwaysunny01:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,360에어컨청소,3,0,0,0,1.7
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,LG에어컨교육과정,1,0,0,0,1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,T시스템에어컨청소,1,0,0,0,1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,가스청소교육,1,0,0,0,1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,가스학원,1,0,0,0,1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,갤러리에어컨청소,2,0,0,0,2.5
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,경기에어컨청소교육,3,0,0,0,4
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비에어컨청소,1,1,209,209,3
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비에어컨청소학원,1,0,0,0,3
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비지원에어컨,2,0,0,0,2
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비지원에어컨청소,8,0,0,0,4.1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비지원청소교육,2,1,528,528,2
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비지원청소학원,1,0,0,0,4
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비청소,1,0,0,0,1
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,국비청소학원,2,0,0,0,4
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,김포스탠드에어컨청소,3,0,0,0,2
"파워링크",02.[RD] 반짝_PC,"01.청소교육,학원KW",PC,김포에어컨세척,1,0,0,0,4
